h_a,xg,xga,npxg,npxga,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxgd
a,0.44,2.681,0.44,1.92,"{'att': 302, 'def': 24}","{'att': 208, 'def': 24}",6,5,2,4,0.11,l,2022-08-13 16:30:00,0,0,1,0,-1.48
h,1.429,1.502,1.429,1.502,"{'att': 232, 'def': 14}","{'att': 190, 'def': 27}",9,8,0,0,1.272,d,2022-08-20 16:30:00,0,1,0,1,-0.073
a,2.262,0.988,2.262,0.988,"{'att': 297, 'def': 26}","{'att': 192, 'def': 21}",12,9,2,1,2.3,w,2022-08-26 16:30:00,1,0,0,3,1.273
h,0.879,0.443,0.879,0.443,"{'att': 403, 'def': 25}","{'att': 95, 'def': 17}",5,5,1,0,1.804,w,2022-08-31 16:30:00,1,0,0,3,0.436
h,1.282,0.862,1.282,0.862,"{'att': 316, 'def': 24}","{'att': 199, 'def': 14}",5,7,4,0,1.754,w,2022-09-04 18:45:00,1,0,0,3,0.42
a,2.212,0.35,2.212,0.35,"{'att': 118, 'def': 26}","{'att': 281, 'def': 13}",22,4,3,1,2.684,w,2022-09-11 13:00:00,1,0,0,3,1.863
h,1.296,0.992,1.296,0.992,"{'att': 260, 'def': 25}","{'att': 171, 'def': 19}",3,7,3,1,1.619,w,2022-09-18 10:30:00,1,0,0,3,0.304
a,2.177,0.285,2.177,0.285,"{'att': 106, 'def': 17}","{'att': 294, 'def': 14}",12,5,2,1,2.694,w,2022-10-03 18:45:00,1,0,0,3,1.893
h,1.114,1.975,1.114,1.214,"{'att': 181, 'def': 21}","{'att': 306, 'def': 22}",14,6,2,2,0.662,d,2022-10-09 13:00:00,0,1,0,1,-0.1
a,0.69,0.687,0.69,0.687,"{'att': 280, 'def': 15}","{'att': 247, 'def': 26}",4,4,0,0,1.277,d,2022-10-16 13:00:00,0,1,0,1,0.003
h,1.406,1.176,1.406,1.176,"{'att': 192, 'def': 20}","{'att': 220, 'def': 21}",10,5,1,2,1.556,l,2022-10-23 10:30:00,0,0,1,0,0.23
a,1.466,0.639,1.466,0.639,"{'att': 154, 'def': 12}","{'att': 279, 'def': 17}",7,6,0,0,2.05,d,2022-10-30 14:00:00,0,1,0,1,0.826
h,1.653,0.842,1.653,0.842,"{'att': 144, 'def': 19}","{'att': 245, 'def': 35}",10,5,1,1,2.014,d,2022-11-04 18:45:00,0,1,0,1,0.811
a,0.508,2.369,0.508,2.369,"{'att': 221, 'def': 17}","{'att': 224, 'def': 16}",8,8,1,1,0.273,d,2022-11-08 17:30:00,0,1,0,1,-1.862
a,1.007,1.529,1.007,1.529,"{'att': 433, 'def': 15}","{'att': 208, 'def': 18}",6,3,2,3,0.934,l,2022-11-12 14:00:00,0,0,1,0,-0.523
h,1.317,0.661,1.317,0.661,"{'att': 209, 'def': 28}","{'att': 290, 'def': 16}",10,6,1,1,1.901,d,2023-01-04 19:45:00,0,1,0,1,0.656
a,0.307,2.593,0.307,2.593,"{'att': 254, 'def': 19}","{'att': 245, 'def': 21}",3,12,0,1,0.098,l,2023-01-07 17:00:00,0,0,1,0,-2.286
h,2.448,1.965,2.448,1.965,"{'att': 203, 'def': 16}","{'att': 193, 'def': 24}",9,9,1,2,1.707,l,2023-01-15 14:00:00,0,0,1,0,0.483
a,1.573,1.605,1.573,1.605,"{'att': 268, 'def': 24}","{'att': 177, 'def': 21}",4,5,1,0,1.341,w,2023-01-22 11:30:00,1,0,0,3,-0.032
h,2.483,0.486,2.483,0.486,"{'att': 184, 'def': 17}","{'att': 198, 'def': 19}",11,5,1,1,2.644,d,2023-01-30 19:45:00,0,1,0,1,1.997
a,0.461,1.396,0.461,1.396,"{'att': 271, 'def': 13}","{'att': 191, 'def': 19}",8,4,0,1,0.542,l,2023-02-05 14:00:00,0,0,1,0,-0.935
h,1.266,0.366,1.266,0.366,"{'att': 307, 'def': 24}","{'att': 269, 'def': 14}",7,1,2,2,2.135,d,2023-02-12 11:30:00,0,1,0,1,0.9
a,0.64,2.736,0.64,1.975,"{'att': 272, 'def': 20}","{'att': 218, 'def': 32}",3,14,1,3,0.203,l,2023-02-18 19:45:00,0,0,1,0,-1.335
h,2.826,2.056,2.826,2.056,"{'att': 261, 'def': 26}","{'att': 233, 'def': 27}",8,2,2,2,1.944,d,2023-02-26 17:00:00,0,1,0,1,0.77
a,0.245,1.482,0.245,1.482,"{'att': 324, 'def': 16}","{'att': 155, 'def': 26}",6,20,0,0,0.369,d,2023-03-04 17:00:00,0,1,0,1,-1.237
a,1.06,1.158,1.06,1.158,"{'att': 265, 'def': 25}","{'att': 160, 'def': 22}",1,7,1,0,1.253,w,2023-03-11 14:00:00,1,0,0,3,-0.099
h,2.174,1.834,2.174,1.072,"{'att': 280, 'def': 20}","{'att': 146, 'def': 22}",9,9,3,1,1.631,w,2023-03-18 19:45:00,1,0,0,3,1.102
a,0.766,1.296,0.766,1.296,"{'att': 313, 'def': 21}","{'att': 275, 'def': 36}",7,2,0,3,0.87,l,2023-04-02 10:30:00,0,0,1,0,-0.531
h,1.593,1.446,0.832,1.446,"{'att': 392, 'def': 20}","{'att': 219, 'def': 37}",5,3,2,2,1.503,d,2023-04-08 10:30:00,0,1,0,1,-0.614
a,1.133,2.415,0.372,1.574,"{'att': 225, 'def': 19}","{'att': 330, 'def': 24}",3,6,0,3,0.416,l,2023-04-16 18:45:00,0,0,1,0,-1.202
h,1.624,0.997,1.624,0.997,"{'att': 261, 'def': 23}","{'att': 245, 'def': 24}",4,0,3,0,1.857,w,2023-04-23 13:00:00,1,0,0,3,0.627
a,0.438,1.671,0.438,0.91,"{'att': 116, 'def': 15}","{'att': 301, 'def': 30}",3,5,0,1,0.359,l,2023-04-28 16:30:00,0,0,1,0,-0.472
h,0.324,0.35,0.324,0.35,"{'att': 360, 'def': 16}","{'att': 192, 'def': 30}",3,3,1,1,1.203,d,2023-05-04 18:45:00,0,1,0,1,-0.026
h,1.051,0.576,1.051,0.576,"{'att': 363, 'def': 24}","{'att': 282, 'def': 19}",5,2,2,0,1.834,w,2023-05-08 16:30:00,1,0,0,3,0.475
a,0.22,2.339,0.22,2.339,"{'att': 206, 'def': 18}","{'att': 298, 'def': 30}",2,6,0,2,0.146,l,2023-05-14 13:00:00,0,0,1,0,-2.119
h,0.435,2.091,0.435,1.329,"{'att': 403, 'def': 15}","{'att': 250, 'def': 22}",5,12,0,1,0.241,l,2023-05-21 18:45:00,0,0,1,0,-0.894
a,2.398,0.981,2.398,0.981,"{'att': 207, 'def': 29}","{'att': 267, 'def': 29}",7,3,2,3,2.438,l,2023-05-27 13:00:00,0,0,1,0,1.417
h,0.956,1.474,0.956,1.474,"{'att': 271, 'def': 13}","{'att': 196, 'def': 21}",3,10,0,1,0.96,l,2023-06-04 19:00:00,0,0,1,0,-0.519
