h_a,xg,xga,npxg,npxga,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxgd
h,0.871,1.315,0.11,1.315,"{'att': 291, 'def': 14}","{'att': 333, 'def': 30}",4,10,1,3,0.992,l,2023-08-19 16:30:00,0,0,1,0,-1.205
h,0.761,1.442,0.761,1.442,"{'att': 338, 'def': 21}","{'att': 200, 'def': 27}",5,11,2,1,0.812,w,2023-08-26 16:30:00,1,0,0,3,-0.681
a,2.417,2.078,2.417,2.078,"{'att': 172, 'def': 21}","{'att': 198, 'def': 14}",5,4,0,0,1.617,d,2023-09-02 16:30:00,0,1,0,1,0.339
h,2.97,1.934,2.209,1.934,"{'att': 173, 'def': 19}","{'att': 261, 'def': 17}",7,13,4,2,2.074,w,2023-09-17 13:00:00,1,0,0,3,0.275
a,0.987,0.835,0.987,0.835,"{'att': 184, 'def': 27}","{'att': 222, 'def': 21}",6,9,1,1,1.51,d,2023-09-22 16:30:00,0,1,0,1,0.153
h,0.976,1.453,0.976,1.453,"{'att': 211, 'def': 18}","{'att': 259, 'def': 31}",3,8,1,1,0.997,d,2023-09-28 16:30:00,0,1,0,1,-0.477
a,0.792,0.831,0.792,0.831,"{'att': 253, 'def': 21}","{'att': 277, 'def': 31}",4,8,0,2,1.337,l,2023-10-01 18:45:00,0,0,1,0,-0.039
h,1.92,0.506,1.92,0.506,"{'att': 187, 'def': 17}","{'att': 272, 'def': 22}",5,9,2,1,2.499,w,2023-10-08 13:00:00,1,0,0,3,1.413
a,1.428,1.633,0.667,1.633,"{'att': 284, 'def': 19}","{'att': 209, 'def': 16}",9,7,1,2,1.149,l,2023-10-22 13:00:00,0,0,1,0,-0.967
a,1.296,4.075,1.296,3.313,"{'att': 178, 'def': 16}","{'att': 313, 'def': 19}",2,9,3,4,0.176,l,2023-10-29 11:30:00,0,0,1,0,-2.017
h,0.804,1.871,0.804,1.871,"{'att': 181, 'def': 14}","{'att': 298, 'def': 17}",10,4,2,1,0.534,w,2023-11-06 17:30:00,1,0,0,3,-1.067
