h_a,xg,xga,npxg,npxga,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxgd
h,0.797,1.12,0.797,1.12,"{'att': 402, 'def': 25}","{'att': 163, 'def': 16}",5,6,1,4,1.032,l,2023-08-19 18:45:00,0,0,1,0,-0.322
a,0.695,0.938,0.695,0.938,"{'att': 369, 'def': 14}","{'att': 170, 'def': 22}",3,11,1,0,1.128,w,2023-08-27 18:45:00,1,0,0,3,-0.243
a,0.102,0.481,0.102,0.481,"{'att': 283, 'def': 11}","{'att': 160, 'def': 18}",0,4,0,1,0.777,l,2023-09-03 16:30:00,0,0,1,0,-0.379
h,1.33,0.984,1.33,0.984,"{'att': 299, 'def': 14}","{'att': 148, 'def': 27}",3,13,2,2,1.736,d,2023-09-16 18:45:00,0,1,0,1,0.346
a,0.532,1.009,0.532,1.009,"{'att': 223, 'def': 26}","{'att': 204, 'def': 18}",3,2,0,1,0.885,l,2023-09-22 18:45:00,0,0,1,0,-0.477
h,1.598,1.296,1.598,1.296,"{'att': 431, 'def': 12}","{'att': 147, 'def': 22}",5,7,4,1,1.618,w,2023-09-28 18:45:00,1,0,0,3,0.302
a,0.833,1.531,0.833,1.531,"{'att': 218, 'def': 21}","{'att': 151, 'def': 21}",3,2,2,2,0.768,d,2023-10-01 13:00:00,0,1,0,1,-0.698
h,0.354,0.899,0.354,0.899,"{'att': 338, 'def': 11}","{'att': 215, 'def': 18}",6,10,0,1,0.774,l,2023-10-07 18:45:00,0,0,1,0,-0.545
a,1.042,1.971,1.042,1.971,"{'att': 302, 'def': 12}","{'att': 221, 'def': 22}",1,8,0,2,0.676,l,2023-10-22 16:00:00,0,0,1,0,-0.929
h,0.407,0.779,0.407,0.779,"{'att': 211, 'def': 24}","{'att': 258, 'def': 26}",2,2,1,0,0.854,w,2023-10-27 18:45:00,1,0,0,3,-0.371
a,0.67,1.269,0.67,1.269,"{'att': 201, 'def': 18}","{'att': 319, 'def': 17}",6,2,1,2,0.815,l,2023-11-05 14:00:00,0,0,1,0,-0.6
h,2.042,0.246,2.042,0.246,"{'att': 232, 'def': 23}","{'att': 197, 'def': 19}",5,2,1,0,2.697,w,2023-11-10 19:45:00,1,0,0,3,1.796
