season,league,team,player,player_nation,player_position,player_age,mp,playing_time_starts,playing_time_min,playing_time_90s,performance_gls,performance_ast,performance_g+a,performance_g-pk,performance_pk,performance_pkatt,performance_crdy,performance_crdr,progression_prgc,progression_prgp,progression_prgr,per_90_minutes_gls,per_90_minutes_ast,per_90_minutes_g+a,per_90_minutes_g-pk,per_90_minutes_g+a-pk,matches,playing_time_mp
2010-2011,LaLiga,Barcelona,Víctor Valdés,es ESP,GK,28.0,0.0,32.0,2880.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,32.0
2010-2011,LaLiga,Barcelona,Andrés Iniesta,es ESP,MF,26.0,0.0,32.0,2786.0,31.0,8.0,4.0,12.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.26,0.13,0.39,0.26,0.39,Matches,34.0
2010-2011,LaLiga,Barcelona,David Villa,es ESP,"FW,MF",28.0,0.0,32.0,2744.0,30.5,18.0,6.0,24.0,18.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.59,0.2,0.79,0.59,0.79,Matches,34.0
2010-2011,LaLiga,Barcelona,Dani Alves,br BRA,"DF,MF",27.0,0.0,31.0,2905.0,32.3,2.0,14.0,16.0,2.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.06,0.43,0.5,0.06,0.5,Matches,35.0
2010-2011,LaLiga,Barcelona,Lionel Messi,ar ARG,"FW,MF",23.0,0.0,31.0,2858.0,31.8,31.0,19.0,50.0,27.0,4.0,4.0,3.0,0.0,0.0,0.0,0.0,0.98,0.6,1.57,0.85,1.45,Matches,33.0
2010-2011,LaLiga,Barcelona,Gerard Piqué,es ESP,DF,23.0,0.0,29.0,2649.0,29.4,3.0,1.0,4.0,3.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,0.1,0.03,0.14,0.1,0.14,Matches,31.0
2010-2011,LaLiga,Barcelona,Xavi,es ESP,MF,30.0,0.0,29.0,2451.0,27.2,3.0,11.0,14.0,3.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.11,0.4,0.51,0.11,0.51,Matches,31.0
2010-2011,LaLiga,Barcelona,Sergio Busquets,es ESP,MF,22.0,0.0,25.0,2300.0,25.6,1.0,2.0,3.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.04,0.08,0.12,0.04,0.12,Matches,28.0
2010-2011,LaLiga,Barcelona,Pedro,es ESP,"FW,MF",23.0,0.0,24.0,2126.0,23.6,13.0,9.0,22.0,13.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.55,0.38,0.93,0.55,0.93,Matches,33.0
2010-2011,LaLiga,Barcelona,Éric Abidal,fr FRA,DF,30.0,0.0,23.0,2023.0,22.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,26.0
2010-2011,LaLiga,Barcelona,Maxwell,br BRA,DF,28.0,0.0,19.0,1820.0,20.2,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.0,0.05,Matches,25.0
2010-2011,LaLiga,Barcelona,Javier Mascherano,ar ARG,"DF,MF",26.0,0.0,18.0,1542.0,17.1,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,27.0
2010-2011,LaLiga,Barcelona,Carles Puyol,es ESP,DF,32.0,0.0,17.0,1381.0,15.3,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.07,0.0,0.07,0.07,0.07,Matches,17.0
