season,league,team,player,player_nation,player_position,player_age,mp,playing_time_starts,playing_time_min,playing_time_90s,performance_gls,performance_ast,performance_g+a,performance_g-pk,performance_pk,performance_pkatt,performance_crdy,performance_crdr,progression_prgc,progression_prgp,progression_prgr,per_90_minutes_gls,per_90_minutes_ast,per_90_minutes_g+a,per_90_minutes_g-pk,per_90_minutes_g+a-pk,matches,playing_time_mp
2012-2013,Ligue1,Paris S-G,Blaise Matuidi,fr FRA,MF,25.0,37.0,35.0,3132.0,34.8,5.0,0.0,5.0,5.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.14,0.0,0.14,0.14,0.14,Matches,0.0
2012-2013,Ligue1,Paris S-G,Zlatan Ibrahimović,se SWE,FW,30.0,34.0,33.0,2975.0,33.1,30.0,7.0,37.0,26.0,4.0,4.0,9.0,1.0,0.0,0.0,0.0,0.91,0.21,1.12,0.79,1.0,Matches,0.0
2012-2013,Ligue1,Paris S-G,Maxwell,br BRA,DF,30.0,33.0,33.0,2933.0,32.6,2.0,3.0,5.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.06,0.09,0.15,0.06,0.15,Matches,0.0
2012-2013,Ligue1,Paris S-G,Salvatore Sirigu,it ITA,GK,25.0,33.0,33.0,2927.0,32.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0
2012-2013,Ligue1,Paris S-G,Javier Pastore,ar ARG,MF,23.0,34.0,30.0,2474.0,27.5,4.0,8.0,12.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.15,0.29,0.44,0.15,0.44,Matches,0.0
2012-2013,Ligue1,Paris S-G,Ezequiel Lavezzi,ar ARG,"FW,MF",27.0,28.0,25.0,2096.0,23.3,3.0,3.0,6.0,3.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.13,0.13,0.26,0.13,0.26,Matches,0.0
2012-2013,Ligue1,Paris S-G,Mamadou Sakho,fr FRA,DF,22.0,27.0,24.0,2139.0,23.8,1.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04,Matches,0.0
2012-2013,Ligue1,Paris S-G,Jérémy Ménez,fr FRA,"FW,MF",25.0,30.0,24.0,2042.0,22.7,5.0,7.0,12.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.22,0.31,0.53,0.22,0.53,Matches,0.0
2012-2013,Ligue1,Paris S-G,Marco Verratti,it ITA,MF,19.0,27.0,23.0,1766.0,19.6,0.0,3.0,3.0,0.0,0.0,0.0,11.0,1.0,0.0,0.0,0.0,0.0,0.15,0.15,0.0,0.15,Matches,0.0
2012-2013,Ligue1,Paris S-G,Alex,br BRA,DF,30.0,24.0,22.0,2060.0,22.9,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.09,0.0,0.09,0.09,0.09,Matches,0.0
2012-2013,Ligue1,Paris S-G,Thiago Silva,br BRA,DF,27.0,22.0,22.0,1899.0,21.1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0
2012-2013,Ligue1,Paris S-G,Christophe Jallet,fr FRA,DF,28.0,27.0,20.0,1886.0,21.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.14,0.14,0.0,0.14,Matches,0.0
2012-2013,Ligue1,Paris S-G,Gregory van der Wiel,nl NED,DF,24.0,22.0,17.0,1556.0,17.3,1.0,1.0,2.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.06,0.06,0.12,0.06,0.12,Matches,0.0
2012-2013,Ligue1,Paris S-G,Clément Chantôme,fr FRA,MF,24.0,28.0,16.0,1425.0,15.8,1.0,2.0,3.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.06,0.13,0.19,0.06,0.19,Matches,0.0
2012-2013,Ligue1,Paris S-G,Sylvain Armand,fr FRA,DF,31.0,18.0,11.0,1044.0,11.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0
2012-2013,Ligue1,Paris S-G,Thiago Motta,it ITA,MF,29.0,12.0,11.0,894.0,9.9,1.0,1.0,2.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.1,0.1,0.2,0.1,0.2,Matches,0.0
2012-2013,Ligue1,Paris S-G,Lucas Moura,br BRA,"FW,MF",19.0,10.0,9.0,730.0,8.1,0.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.37,0.37,0.0,0.37,Matches,0.0
2012-2013,Ligue1,Paris S-G,Kévin Gameiro,fr FRA,FW,25.0,25.0,7.0,878.0,9.8,8.0,1.0,9.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.82,0.1,0.92,0.82,0.92,Matches,0.0
2012-2013,Ligue1,Paris S-G,Nenê,br BRA,"FW,MF",31.0,9.0,5.0,506.0,5.6,1.0,4.0,5.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.18,0.71,0.89,0.18,0.89,Matches,0.0
2012-2013,Ligue1,Paris S-G,Zoumana Camara,fr FRA,DF,33.0,6.0,5.0,423.0,4.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0
2012-2013,Ligue1,Paris S-G,Nicolas Douchez,fr FRA,GK,32.0,4.0,4.0,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0
2012-2013,Ligue1,Paris S-G,David Beckham,eng ENG,MF,37.0,10.0,2.0,315.0,3.5,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.57,0.57,0.0,0.57,Matches,0.0
2012-2013,Ligue1,Paris S-G,Siaka Tiéné,ci CIV,DF,30.0,2.0,2.0,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0
2012-2013,Ligue1,Paris S-G,Adrien Rabiot,fr FRA,MF,17.0,6.0,1.0,200.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0
2012-2013,Ligue1,Paris S-G,Mathieu Bodmer,fr FRA,"DF,MF",29.0,4.0,1.0,179.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0
2012-2013,Ligue1,Paris S-G,Guillaume Hoarau,fr FRA,FW,28.0,6.0,1.0,118.0,1.3,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.0,0.76,0.76,0.76,Matches,0.0
2012-2013,Ligue1,Paris S-G,Alphonse Areola,fr FRA,GK,19.0,2.0,1.0,103.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0
2012-2013,Ligue1,Paris S-G,Mohamed Sissoko,ml MLI,MF,27.0,3.0,1.0,98.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0
2012-2013,Ligue1,Paris S-G,Ronan Le Crom,fr FRA,GK,38.0,1.0,0.0,20.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0
2012-2013,Ligue1,Paris S-G,Antoine Conte,gn GUI,DF,18.0,1.0,0.0,15.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0
2012-2013,Ligue1,Paris S-G,Kingsley Coman,fr FRA,"FW,MF",16.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0
2012-2013,Ligue1,Paris S-G,Squad Total,0,0,26.8,38.0,418.0,0.0,0.0,65.0,48.0,113.0,61.0,4.0,4.0,73.0,9.0,0.0,0.0,0.0,1.71,1.26,2.97,1.61,2.87,0,0.0
2012-2013,Ligue1,Paris S-G,Opponent Total,0,0,26.2,38.0,418.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2012-2013,Ligue1,Marseille,Steve Mandanda,fr FRA,GK,27.0,0.0,38.0,3420.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,38.0
2012-2013,Ligue1,Marseille,Nicolas Nkoulou,cm CMR,DF,22.0,0.0,38.0,3403.0,37.8,1.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,Matches,38.0
2012-2013,Ligue1,Marseille,Mathieu Valbuena,fr FRA,"FW,MF",27.0,0.0,37.0,3130.0,34.8,3.0,12.0,15.0,3.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.09,0.35,0.43,0.09,0.43,Matches,37.0
2012-2013,Ligue1,Marseille,Jérémy Morel,mg MAD,DF,28.0,0.0,36.0,3201.0,35.6,1.0,1.0,2.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.03,0.03,0.06,0.03,0.06,Matches,36.0
