season,league,team,player,player_nation,player_position,player_age,mp,playing_time_starts,playing_time_min,playing_time_90s,performance_gls,performance_ast,performance_g+a,performance_g-pk,performance_pk,performance_pkatt,performance_crdy,performance_crdr,progression_prgc,progression_prgp,progression_prgr,per_90_minutes_gls,per_90_minutes_ast,per_90_minutes_g+a,per_90_minutes_g-pk,per_90_minutes_g+a-pk,matches,playing_time_mp
2013-2014,Bundesliga,Bayern Munich,Manuel Neuer,de GER,GK,27.0,31.0,31.0,2745.0,30.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0
2013-2014,Bundesliga,Bayern Munich,Dante,br BRA,DF,29.0,29.0,27.0,2416.0,26.8,2.0,1.0,3.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.07,0.04,0.11,0.07,0.11,Matches,0.0
2013-2014,Bundesliga,Bayern Munich,David Alaba,at AUT,"DF,MF",21.0,28.0,26.0,2398.0,26.6,2.0,6.0,8.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.08,0.23,0.3,0.04,0.26,Matches,0.0
2013-2014,Bundesliga,Bayern Munich,Philipp Lahm,de GER,"DF,MF",29.0,28.0,25.0,2335.0,25.9,1.0,4.0,5.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.04,0.15,0.19,0.04,0.19,Matches,0.0
2013-2014,Bundesliga,Bayern Munich,Rafinha,br BRA,DF,27.0,28.0,25.0,2204.0,24.5,0.0,6.0,6.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.25,Matches,0.0
2013-2014,Bundesliga,Bayern Munich,Jérôme Boateng,de GER,DF,24.0,25.0,25.0,2166.0,24.1,1.0,0.0,1.0,1.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04,Matches,0.0
2013-2014,Bundesliga,Bayern Munich,Thomas Müller,de GER,"FW,MF",23.0,31.0,25.0,2162.0,24.0,13.0,10.0,23.0,10.0,3.0,4.0,2.0,0.0,0.0,0.0,0.0,0.54,0.42,0.96,0.42,0.83,Matches,0.0
2013-2014,Bundesliga,Bayern Munich,Toni Kroos,de GER,MF,23.0,29.0,24.0,2058.0,22.9,2.0,4.0,6.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.09,0.17,0.26,0.09,0.26,Matches,0.0
2013-2014,Bundesliga,Bayern Munich,Bastian Schweinsteiger,de GER,"DF,MF",28.0,23.0,22.0,1824.0,20.3,4.0,4.0,8.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.2,0.2,0.39,0.2,0.39,Matches,0.0
2013-2014,Bundesliga,Bayern Munich,Mario Mandžukić,hr CRO,"FW,MF",27.0,30.0,21.0,2017.0,22.4,18.0,4.0,22.0,18.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.8,0.18,0.98,0.8,0.98,Matches,0.0
2013-2014,Bundesliga,Bayern Munich,Mario Götze,de GER,"FW,MF",21.0,27.0,20.0,1818.0,20.2,10.0,8.0,18.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.4,0.89,0.5,0.89,Matches,0.0
2013-2014,Bundesliga,Bayern Munich,Arjen Robben,nl NED,"FW,MF",29.0,28.0,20.0,1681.0,18.7,11.0,6.0,17.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.59,0.32,0.91,0.54,0.86,Matches,0.0
2013-2014,Bundesliga,Bayern Munich,Franck Ribéry,fr FRA,"FW,MF",30.0,22.0,18.0,1635.0,18.2,10.0,10.0,20.0,10.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.55,0.55,1.1,0.55,1.1,Matches,0.0
2013-2014,Bundesliga,Bayern Munich,Javi Martínez,es ESP,"DF,MF",24.0,18.0,14.0,1337.0,14.9,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0
2013-2014,Bundesliga,Bayern Munich,Thiago Alcántara,es ESP,MF,22.0,16.0,11.0,1001.0,11.1,2.0,4.0,6.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.18,0.36,0.54,0.18,0.54,Matches,0.0
2013-2014,Bundesliga,Bayern Munich,Daniel Van Buyten,be BEL,DF,35.0,12.0,10.0,926.0,10.3,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.1,Matches,0.0
2013-2014,Bundesliga,Bayern Munich,Xherdan Shaqiri,ch SUI,"FW,MF",21.0,17.0,10.0,782.0,8.7,6.0,2.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.69,0.23,0.92,0.69,0.92,Matches,0.0
2013-2014,Bundesliga,Bayern Munich,Claudio Pizarro,pe PER,FW,34.0,17.0,6.0,692.0,7.7,10.0,3.0,13.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.39,1.69,1.3,1.69,Matches,0.0
2013-2014,Bundesliga,Bayern Munich,Diego Contento,de GER,DF,23.0,10.0,6.0,581.0,6.5,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.15,0.15,0.0,0.15,Matches,0.0
2013-2014,Bundesliga,Bayern Munich,Pierre Højbjerg,dk DEN,MF,17.0,7.0,2.0,285.0,3.2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.32,0.0,0.32,Matches,0.0
2013-2014,Bundesliga,Bayern Munich,Tom Starke,de GER,GK,32.0,2.0,2.0,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0
2013-2014,Bundesliga,Bayern Munich,Mitchell Weiser,de GER,"DF,MF",19.0,3.0,2.0,139.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,0.0
