h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
h,3.52773,0.483949,3.52773,0.483949,"{'att': 117, 'def': 35}","{'att': 155, 'def': 34}",10,3,2,1,2.8873,w,2015-08-15 17:30:00,1,0,0,3,3.043781
a,1.37365,0.0975496,1.37365,0.0975496,"{'att': 159, 'def': 42}","{'att': 264, 'def': 16}",4,1,1,0,2.5562,w,2015-08-22 17:30:00,1,0,0,3,1.2761004
a,0.420202,3.52476,0.420202,2.0092,"{'att': 372, 'def': 42}","{'att': 132, 'def': 22}",3,10,0,3,0.042499999999999996,l,2015-08-29 20:30:00,0,0,1,0,-1.588998
h,1.3554,0.284787,1.3554,0.284787,"{'att': 70, 'def': 31}","{'att': 306, 'def': 32}",9,0,0,1,2.3091,l,2015-09-12 17:30:00,0,0,1,0,1.0706129999999998
a,0.927753,4.08165,0.927753,3.32388,"{'att': 309, 'def': 37}","{'att': 214, 'def': 37}",5,14,0,3,0.07250000000000001,l,2015-09-20 19:30:00,0,0,1,0,-2.396127
h,1.74157,0.476793,1.74157,0.476793,"{'att': 138, 'def': 35}","{'att': 247, 'def': 22}",9,4,1,0,2.3702,w,2015-09-23 22:00:00,1,0,0,3,1.264777
a,1.3026,0.326706,1.3026,0.326706,"{'att': 124, 'def': 46}","{'att': 231, 'def': 24}",9,3,3,0,2.1861,w,2015-09-26 17:30:00,1,0,0,3,0.975894
h,1.98173,0.119117,1.22395,0.119117,"{'att': 147, 'def': 37}","{'att': 301, 'def': 15}",12,1,1,1,2.8057,d,2015-10-04 19:30:00,0,1,0,1,1.1048330000000002
a,0.875048,0.469945,0.875048,0.469945,"{'att': 191, 'def': 41}","{'att': 208, 'def': 35}",2,1,0,0,1.701,d,2015-10-17 17:30:00,0,1,0,1,0.40510300000000005
h,2.87154,2.40291,2.87154,2.40291,"{'att': 104, 'def': 38}","{'att': 253, 'def': 40}",11,6,4,3,1.685,w,2015-10-24 17:30:00,1,0,0,3,0.4686300000000001
a,1.31846,2.11288,1.31846,2.11288,"{'att': 238, 'def': 35}","{'att': 219, 'def': 44}",5,8,1,2,0.7388,l,2015-10-31 21:30:00,0,0,1,0,-0.7944200000000001
h,0.457253,2.03601,0.457253,2.03601,"{'att': 191, 'def': 29}","{'att': 207, 'def': 31}",3,8,1,2,0.2987,l,2015-11-07 18:30:00,0,0,1,0,-1.578757
