h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
a,0.360723,0.869084,0.360723,0.869084,"{'att': 353, 'def': 13}","{'att': 333, 'def': 24}",1,10,1,2,0.8162,l,2016-08-28 17:30:00,0,0,1,0,-0.508361
h,1.55438,0.130259,0.796602,0.130259,"{'att': 435, 'def': 30}","{'att': 165, 'def': 16}",4,0,3,1,2.6645999999999996,w,2016-09-10 17:30:00,1,0,0,3,0.666343
a,1.4295,1.40487,1.4295,1.40487,"{'att': 165, 'def': 19}","{'att': 381, 'def': 16}",3,4,0,3,1.2927,l,2016-09-16 22:30:00,0,0,1,0,0.02462999999999993
h,1.78293,0.647916,1.78293,0.647916,"{'att': 253, 'def': 33}","{'att': 221, 'def': 16}",5,3,1,0,2.3531,w,2016-09-20 22:00:00,1,0,0,3,1.135014
a,1.05384,3.2333,1.05384,3.2333,"{'att': 372, 'def': 49}","{'att': 129, 'def': 27}",2,14,1,3,0.2122,l,2016-09-23 22:30:00,0,0,1,0,-2.1794599999999997
h,0.464817,0.715723,0.464817,0.715723,"{'att': 331, 'def': 27}","{'att': 134, 'def': 25}",9,8,1,0,1.0408,w,2016-10-01 17:30:00,1,0,0,3,-0.250906
a,0.860554,2.4316,0.860554,1.67382,"{'att': 220, 'def': 26}","{'att': 307, 'def': 31}",7,4,1,2,0.36019999999999996,l,2016-10-15 17:30:00,0,0,1,0,-0.813266
h,1.53071,1.23006,1.53071,1.23006,"{'att': 256, 'def': 19}","{'att': 317, 'def': 21}",9,4,2,1,1.6443999999999999,w,2016-10-22 17:30:00,1,0,0,3,0.3006500000000001
a,1.71134,1.29428,0.953566,1.29428,"{'att': 263, 'def': 34}","{'att': 161, 'def': 26}",6,6,3,1,1.6929999999999998,w,2016-10-29 17:30:00,1,0,0,3,-0.3407140000000001
h,0.916201,2.12583,0.916201,1.36806,"{'att': 141, 'def': 15}","{'att': 271, 'def': 33}",2,4,0,3,0.49950000000000006,l,2016-11-05 18:30:00,0,0,1,0,-0.451859
a,2.46211,2.51061,2.46211,1.75284,"{'att': 131, 'def': 21}","{'att': 297, 'def': 35}",11,4,2,4,1.3236999999999999,l,2016-11-19 18:30:00,0,0,1,0,0.7092700000000001
h,0.683397,1.90539,0.683397,1.90539,"{'att': 281, 'def': 23}","{'att': 304, 'def': 32}",3,7,1,4,0.45589999999999997,l,2016-11-25 23:30:00,0,0,1,0,-1.2219929999999999
a,0.599753,3.31063,0.599753,2.5531,"{'att': 399, 'def': 32}","{'att': 137, 'def': 27}",3,13,1,1,0.0867,d,2016-12-03 18:30:00,0,1,0,1,-1.9533470000000002
h,1.61481,0.604576,0.857031,0.604576,"{'att': 155, 'def': 12}","{'att': 329, 'def': 13}",9,3,1,0,2.2870999999999997,w,2016-12-10 18:30:00,1,0,0,3,0.252455
a,1.25505,0.958265,1.25505,0.958265,"{'att': 392, 'def': 14}","{'att': 150, 'def': 25}",1,3,1,1,1.6427,d,2016-12-17 18:30:00,0,1,0,1,0.29678499999999997
a,1.5487,1.2843,0.790928,1.2843,"{'att': 194, 'def': 14}","{'att': 175, 'def': 28}",3,7,2,1,1.5955,w,2016-12-21 23:00:00,1,0,0,3,-0.49337200000000003
h,0.696302,0.60487,0.696302,0.60487,"{'att': 558, 'def': 29}","{'att': 134, 'def': 36}",3,8,1,2,1.4156,l,2017-01-20 19:30:00,0,0,1,0,0.09143199999999996
