h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
h,0.526663,0.610149,0.526663,0.610149,"{'att': 172, 'def': 35}","{'att': 343, 'def': 23}",6,1,0,1,1.1633,l,2017-08-19 14:30:00,0,0,1,0,-0.08348600000000006
a,0.385982,2.08775,0.385982,1.32997,"{'att': 232, 'def': 21}","{'att': 228, 'def': 34}",2,8,0,1,0.2277,l,2017-08-26 14:30:00,0,0,1,0,-0.943988
h,1.33781,0.964768,1.33781,0.964768,"{'att': 332, 'def': 31}","{'att': 149, 'def': 30}",2,1,3,1,1.722,w,2017-09-09 14:30:00,1,0,0,3,0.373042
a,0.711282,4.4171,0.711282,4.4171,"{'att': 460, 'def': 19}","{'att': 125, 'def': 25}",1,25,0,4,0.0511,l,2017-09-16 14:30:00,0,0,1,0,-3.705818
h,1.1225,0.960305,1.1225,0.960305,"{'att': 305, 'def': 29}","{'att': 189, 'def': 19}",8,5,2,3,1.4942,l,2017-09-20 19:30:00,0,0,1,0,0.1621950000000001
h,1.17811,0.53695,0.42033,0.53695,"{'att': 276, 'def': 22}","{'att': 171, 'def': 29}",1,2,1,0,1.9964,w,2017-09-23 14:30:00,1,0,0,3,-0.11662000000000006
a,0.90227,0.743969,0.90227,0.743969,"{'att': 271, 'def': 29}","{'att': 251, 'def': 20}",9,5,1,1,1.4432,d,2017-09-30 14:30:00,0,1,0,1,0.15830100000000003
h,1.24944,1.99466,1.24944,1.23689,"{'att': 203, 'def': 30}","{'att': 132, 'def': 29}",6,3,3,2,0.7544,w,2017-10-14 14:30:00,1,0,0,3,0.012550000000000061
a,0.596599,1.78667,0.596599,1.78667,"{'att': 350, 'def': 31}","{'att': 191, 'def': 44}",1,4,0,2,0.394,l,2017-10-20 19:30:00,0,0,1,0,-1.190071
h,0.284202,0.451566,0.284202,0.451566,"{'att': 161, 'def': 26}","{'att': 178, 'def': 38}",4,6,1,1,1.0356,d,2017-10-27 19:30:00,0,1,0,1,-0.167364
a,0.834092,0.786005,0.834092,0.786005,"{'att': 342, 'def': 28}","{'att': 201, 'def': 19}",6,10,1,1,1.3803,d,2017-11-04 14:30:00,0,1,0,1,0.04808699999999999
h,1.45054,0.577082,0.692762,0.577082,"{'att': 238, 'def': 20}","{'att': 256, 'def': 25}",4,8,1,0,2.1721999999999997,w,2017-11-18 14:30:00,1,0,0,3,0.11568
a,0.713622,1.83095,0.713622,1.83095,"{'att': 227, 'def': 28}","{'att': 281, 'def': 49}",6,4,1,2,0.5782,l,2017-11-25 14:30:00,0,0,1,0,-1.117328
h,0.578034,2.18855,0.578034,1.43078,"{'att': 147, 'def': 40}","{'att': 217, 'def': 40}",5,4,1,3,0.2429,l,2017-12-02 14:30:00,0,0,1,0,-0.8527459999999999
a,1.28316,1.25461,1.28316,0.496832,"{'att': 322, 'def': 31}","{'att': 167, 'def': 26}",1,5,2,2,1.3708,d,2017-12-09 14:30:00,0,1,0,1,0.7863280000000001
h,0.503881,2.02169,0.503881,2.02169,"{'att': 405, 'def': 21}","{'att': 284, 'def': 18}",5,11,0,2,0.3305,l,2017-12-12 19:30:00,0,0,1,0,-1.517809
