h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
a,0.806833,0.97427,0.806833,0.97427,"{'att': 335, 'def': 22}","{'att': 181, 'def': 24}",2,8,0,1,1.1677,l,2017-08-19 14:30:00,0,0,1,0,-0.16743699999999995
h,0.229698,1.39955,0.229698,1.39955,"{'att': 342, 'def': 14}","{'att': 141, 'def': 24}",3,11,0,2,0.3498,l,2017-08-26 14:30:00,0,0,1,0,-1.1698520000000001
a,0.569654,0.250761,0.569654,0.250761,"{'att': 248, 'def': 25}","{'att': 229, 'def': 23}",3,1,1,1,1.5973,d,2017-09-10 14:30:00,0,1,0,1,0.318893
h,0.982258,0.930766,0.982258,0.930766,"{'att': 270, 'def': 31}","{'att': 221, 'def': 26}",6,3,1,2,1.3536,l,2017-09-16 14:30:00,0,0,1,0,0.05149199999999998
a,1.12581,1.01688,1.12581,1.01688,"{'att': 358, 'def': 28}","{'att': 180, 'def': 31}",4,3,1,1,1.4261,d,2017-09-19 19:30:00,0,1,0,1,0.10892999999999997
h,1.41802,0.859674,1.41802,0.859674,"{'att': 192, 'def': 28}","{'att': 274, 'def': 25}",6,2,0,0,1.8176,d,2017-09-23 14:30:00,0,1,0,1,0.558346
a,0.426954,0.957096,0.426954,0.957096,"{'att': 194, 'def': 29}","{'att': 147, 'def': 21}",4,5,0,0,0.8209,d,2017-09-30 17:30:00,0,1,0,1,-0.5301419999999999
h,1.52059,1.45235,1.52059,1.45235,"{'att': 316, 'def': 23}","{'att': 274, 'def': 26}",4,12,0,2,1.4126,l,2017-10-15 17:00:00,0,0,1,0,0.06824000000000008
a,0.948887,1.79566,0.948887,1.79566,"{'att': 169, 'def': 22}","{'att': 218, 'def': 22}",5,9,0,0,0.6943999999999999,d,2017-10-22 12:30:00,0,1,0,1,-0.846773
h,1.05484,2.80574,1.05484,2.04796,"{'att': 201, 'def': 23}","{'att': 286, 'def': 23}",3,5,0,3,0.35650000000000004,l,2017-10-29 14:30:00,0,0,1,0,-0.9931199999999998
a,1.08479,1.92121,1.08479,1.92121,"{'att': 201, 'def': 18}","{'att': 191, 'def': 29}",9,10,1,2,0.7253000000000001,l,2017-11-03 19:30:00,0,0,1,0,-0.8364200000000002
h,2.61572,1.13154,2.61572,1.13154,"{'att': 271, 'def': 26}","{'att': 262, 'def': 21}",5,4,4,0,2.3678,w,2017-11-19 17:00:00,1,0,0,3,1.48418
a,1.07161,1.01767,1.07161,1.01767,"{'att': 338, 'def': 35}","{'att': 251, 'def': 36}",10,7,0,2,1.3973,l,2017-11-25 14:30:00,0,0,1,0,0.05393999999999988
h,0.71301,1.1158,0.71301,1.1158,"{'att': 333, 'def': 28}","{'att': 183, 'def': 40}",4,6,1,0,0.9554,w,2017-12-02 14:30:00,1,0,0,3,-0.40278999999999987
a,0.944053,1.86761,0.944053,1.86761,"{'att': 481, 'def': 22}","{'att': 158, 'def': 22}",1,8,2,1,0.5784,w,2017-12-09 14:30:00,1,0,0,3,-0.923557
a,0.251631,2.27284,0.251631,2.27284,"{'att': 241, 'def': 49}","{'att': 242, 'def': 21}",5,3,0,1,0.1176,l,2017-12-13 19:30:00,0,0,1,0,-2.021209
h,1.20149,1.04877,1.20149,1.04877,"{'att': 254, 'def': 32}","{'att': 116, 'def': 27}",1,4,2,2,1.4695999999999998,d,2017-12-16 14:30:00,0,1,0,1,0.15271999999999997
h,2.47477,1.30821,2.47477,1.30821,"{'att': 316, 'def': 29}","{'att': 231, 'def': 20}",10,9,1,1,2.2113000000000005,d,2018-01-13 14:30:00,0,1,0,1,1.1665599999999998
a,0.862595,1.89433,0.862595,1.89433,"{'att': 401, 'def': 22}","{'att': 183, 'def': 22}",5,12,2,4,0.6451,l,2018-01-21 14:30:00,0,0,1,0,-1.031735
h,1.56245,0.788324,1.56245,0.788324,"{'att': 212, 'def': 29}","{'att': 288, 'def': 25}",7,0,0,0,1.9996,d,2018-01-27 17:30:00,0,1,0,1,0.7741259999999999
a,1.90873,0.736859,1.90873,0.736859,"{'att': 275, 'def': 34}","{'att': 338, 'def': 25}",2,3,2,1,2.4122,w,2018-02-03 14:30:00,1,0,0,3,1.1718709999999999
h,1.13687,1.58428,1.13687,0.64383,"{'att': 300, 'def': 33}","{'att': 156, 'def': 22}",5,3,3,1,0.8905000000000001,w,2018-02-11 17:00:00,1,0,0,3,0.49304000000000003
a,0.353523,1.80201,0.353523,0.286453,"{'att': 207, 'def': 19}","{'att': 380, 'def': 22}",6,5,0,1,0.199,l,2018-02-17 14:30:00,0,0,1,0,0.06706999999999996
h,0.888389,0.225135,0.888389,0.225135,"{'att': 130, 'def': 23}","{'att': 295, 'def': 22}",8,3,1,0,1.9653,w,2018-02-24 17:30:00,1,0,0,3,0.663254
a,2.00266,1.85046,2.00266,1.85046,"{'att': 235, 'def': 24}","{'att': 237, 'def': 23}",17,8,2,2,1.4717,d,2018-03-02 19:30:00,0,1,0,1,0.1522000000000001
h,1.35381,0.404235,1.35381,0.404235,"{'att': 332, 'def': 20}","{'att': 199, 'def': 19}",3,6,3,1,2.2306,w,2018-03-12 19:30:00,1,0,0,3,0.949575
a,2.27046,0.547431,2.27046,0.547431,"{'att': 256, 'def': 21}","{'att': 218, 'def': 21}",10,4,3,1,2.5332999999999997,w,2018-03-17 14:30:00,1,0,0,3,1.723029
h,1.06787,0.822039,1.06787,0.822039,"{'att': 333, 'def': 20}","{'att': 241, 'def': 11}",5,5,2,1,1.5643000000000002,w,2018-04-01 14:30:00,1,0,0,3,0.24583100000000013
a,1.81065,1.60318,1.81065,1.60318,"{'att': 197, 'def': 26}","{'att': 282, 'def': 17}",9,3,1,2,1.5046,l,2018-04-06 18:30:00,0,0,1,0,0.20747000000000004
h,0.9886,1.0854,0.9886,1.0854,"{'att': 322, 'def': 31}","{'att': 189, 'def': 22}",3,5,1,1,1.2508,d,2018-04-15 16:00:00,0,1,0,1,-0.09679999999999989
a,0.392824,2.08957,0.392824,2.08957,"{'att': 158, 'def': 15}","{'att': 268, 'def': 15}",7,6,0,2,0.22139999999999999,l,2018-04-21 13:30:00,0,0,1,0,-1.696746
h,1.2344,2.47525,1.2344,2.47525,"{'att': 375, 'def': 10}","{'att': 142, 'def': 11}",6,10,1,1,0.6034999999999999,d,2018-04-29 16:00:00,0,1,0,1,-1.24085
h,0.175221,0.890747,0.175221,0.890747,"{'att': 300, 'def': 16}","{'att': 169, 'def': 28}",5,7,0,0,0.5516,d,2018-05-05 14:30:00,0,1,0,1,-0.715526
a,1.0587,0.539651,1.0587,0.539651,"{'att': 215, 'def': 23}","{'att': 230, 'def': 24}",3,5,2,1,1.8332000000000002,w,2018-05-12 14:30:00,1,0,0,3,0.519049
