h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
a,1.07847,1.28621,1.07847,1.28621,"{'att': 244, 'def': 17}","{'att': 229, 'def': 28}",4,4,0,1,1.1571,l,2018-08-26 16:30:00,0,0,1,0,-0.20774000000000004
h,0.0990837,1.71434,0.0990837,1.71434,"{'att': 380, 'def': 12}","{'att': 197, 'def': 25}",6,18,0,3,0.2424,l,2018-09-01 16:30:00,0,0,1,0,-1.6152563
a,1.19724,1.20784,1.19724,1.20784,"{'att': 193, 'def': 20}","{'att': 278, 'def': 16}",6,4,3,3,1.3774,d,2018-09-16 16:00:00,0,1,0,1,-0.010599999999999943
h,1.39372,1.23964,1.39372,1.23964,"{'att': 229, 'def': 27}","{'att': 262, 'def': 28}",10,6,0,0,1.5000000000000002,d,2018-09-21 18:30:00,0,1,0,1,0.15408
a,0.640951,3.13273,0.640951,3.13273,"{'att': 161, 'def': 20}","{'att': 327, 'def': 22}",3,8,0,2,0.1149,l,2018-09-26 18:30:00,0,0,1,0,-2.491779
h,2.43649,0.656694,2.43649,0.656694,"{'att': 257, 'def': 19}","{'att': 149, 'def': 20}",5,4,2,1,2.5730999999999997,w,2018-09-29 13:30:00,1,0,0,3,1.7797960000000002
a,0.69495,2.0396,0.69495,2.0396,"{'att': 188, 'def': 20}","{'att': 224, 'def': 26}",3,2,1,3,0.45199999999999996,l,2018-10-06 13:30:00,0,0,1,0,-1.3446500000000001
h,1.03693,0.952768,1.03693,0.952768,"{'att': 332, 'def': 20}","{'att': 295, 'def': 16}",6,8,0,4,1.4284,l,2018-10-20 13:30:00,0,0,1,0,0.08416199999999996
a,0.253449,2.93243,0.253449,2.93243,"{'att': 329, 'def': 14}","{'att': 114, 'def': 29}",0,19,0,4,0.0419,l,2018-10-27 16:30:00,0,0,1,0,-2.6789810000000003
h,1.02365,3.33128,1.02365,3.33128,"{'att': 245, 'def': 15}","{'att': 310, 'def': 26}",2,11,0,3,0.2122,l,2018-11-02 19:30:00,0,0,1,0,-2.30763
a,1.54977,0.434841,1.54977,0.434841,"{'att': 225, 'def': 16}","{'att': 204, 'def': 20}",3,4,2,0,2.3391,w,2018-11-10 14:30:00,1,0,0,3,1.114929
a,0.393762,2.62916,0.393762,2.62916,"{'att': 308, 'def': 22}","{'att': 184, 'def': 16}",3,13,0,2,0.15839999999999999,l,2018-11-23 19:30:00,0,0,1,0,-2.235398
