h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
a,1.01536,2.0112,1.01536,2.0112,"{'att': 378, 'def': 18}","{'att': 178, 'def': 15}",7,14,3,1,0.6734,w,2019-08-17 14:30:00,1,0,0,3,-0.9958400000000001
h,1.12017,1.82469,1.12017,1.82469,"{'att': 469, 'def': 25}","{'att': 149, 'def': 29}",4,7,1,3,0.832,l,2019-08-24 14:30:00,0,0,1,0,-0.7045199999999998
a,0.759809,1.75705,0.759809,1.75705,"{'att': 273, 'def': 22}","{'att': 137, 'def': 22}",3,2,1,2,0.5968,l,2019-09-01 17:00:00,0,0,1,0,-0.997241
h,0.679763,2.28602,0.679763,2.28602,"{'att': 313, 'def': 21}","{'att': 186, 'def': 27}",4,3,1,1,0.2989,d,2019-09-13 18:30:00,0,1,0,1,-1.6062570000000003
a,1.27666,4.2854,1.27666,4.2854,"{'att': 276, 'def': 15}","{'att': 167, 'def': 17}",5,7,1,2,0.1399,l,2019-09-22 13:30:00,0,0,1,0,-3.0087400000000004
h,2.01843,1.67484,2.01843,0.917139,"{'att': 263, 'def': 13}","{'att': 304, 'def': 25}",3,2,1,2,1.6163999999999998,l,2019-09-29 13:30:00,0,0,1,0,1.1012909999999998
a,1.1795,2.0219,0.421722,2.0219,"{'att': 290, 'def': 23}","{'att': 246, 'def': 22}",2,6,1,3,0.7314,l,2019-10-04 19:30:00,0,0,1,0,-1.600178
h,2.01829,0.236283,2.01829,0.236283,"{'att': 246, 'def': 21}","{'att': 279, 'def': 19}",6,0,1,0,2.7088,w,2019-10-19 14:30:00,1,0,0,3,1.782007
a,1.43646,0.738686,1.43646,0.738686,"{'att': 212, 'def': 22}","{'att': 213, 'def': 24}",5,3,0,2,1.9379,l,2019-10-26 14:30:00,0,0,1,0,0.6977740000000001
h,2.18646,1.03434,1.42868,1.03434,"{'att': 275, 'def': 31}","{'att': 153, 'def': 23}",1,10,2,0,2.2888,w,2019-11-03 14:30:00,1,0,0,3,0.3943399999999999
a,2.06462,1.23132,1.30684,1.23132,"{'att': 275, 'def': 27}","{'att': 153, 'def': 15}",5,3,3,3,2.07,d,2019-11-09 14:30:00,0,1,0,1,0.07552000000000003
h,0.443491,3.81728,0.443491,3.81728,"{'att': 421, 'def': 13}","{'att': 128, 'def': 23}",3,14,0,4,0.030699999999999998,l,2019-11-23 14:30:00,0,0,1,0,-3.373789
