h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
a,1.18459,2.47707,1.18459,1.71929,"{'att': 373, 'def': 23}","{'att': 168, 'def': 16}",2,17,2,2,0.4466,d,2019-08-16 19:30:00,0,1,0,1,-0.5347
h,0.936557,1.33245,0.936557,0.574671,"{'att': 207, 'def': 26}","{'att': 294, 'def': 26}",10,5,0,3,0.9877,l,2019-08-25 17:00:00,0,0,1,0,0.36188599999999993
a,0.771094,1.16546,0.771094,1.16546,"{'att': 342, 'def': 16}","{'att': 259, 'def': 22}",6,7,0,3,0.9470000000000001,l,2019-08-31 14:30:00,0,0,1,0,-0.394366
a,2.07839,1.1162,2.07839,1.1162,"{'att': 267, 'def': 18}","{'att': 242, 'def': 23}",8,4,1,2,2.0599,l,2019-09-14 13:30:00,0,0,1,0,0.9621900000000001
h,0.983173,1.89015,0.983173,1.89015,"{'att': 303, 'def': 37}","{'att': 170, 'def': 29}",4,8,2,1,0.6753,w,2019-09-21 13:30:00,1,0,0,3,-0.906977
a,2.20336,0.533432,2.20336,0.533432,"{'att': 302, 'def': 16}","{'att': 210, 'def': 21}",4,8,4,0,2.6037999999999997,w,2019-09-29 16:00:00,1,0,0,3,1.669928
h,2.0219,1.1795,2.0219,0.421722,"{'att': 246, 'def': 22}","{'att': 290, 'def': 23}",6,2,3,1,2.0196,w,2019-10-04 19:30:00,1,0,0,3,1.600178
a,0.353813,0.967641,0.353813,0.967641,"{'att': 315, 'def': 13}","{'att': 287, 'def': 19}",2,10,1,1,0.7443,d,2019-10-19 14:30:00,0,1,0,1,-0.613828
h,2.37055,2.93074,2.37055,2.93074,"{'att': 332, 'def': 34}","{'att': 193, 'def': 17}",7,4,2,3,1.0106,l,2019-10-26 14:30:00,0,0,1,0,-0.56019
a,0.415645,1.31187,0.415645,0.554093,"{'att': 245, 'def': 9}","{'att': 221, 'def': 26}",4,3,0,1,0.47829999999999995,l,2019-11-02 17:30:00,0,0,1,0,-0.13844799999999996
h,0.46433,1.93927,0.46433,1.18157,"{'att': 371, 'def': 23}","{'att': 205, 'def': 29}",2,9,2,4,0.23709999999999998,l,2019-11-09 14:30:00,0,0,1,0,-0.71724
a,0.801011,1.76885,0.801011,1.76885,"{'att': 255, 'def': 18}","{'att': 256, 'def': 23}",2,2,0,4,0.6022000000000001,l,2019-11-24 14:30:00,0,0,1,0,-0.967839
h,0.751161,1.48269,0.751161,1.48269,"{'att': 296, 'def': 33}","{'att': 319, 'def': 20}",7,9,1,2,0.7265999999999999,l,2019-11-30 14:30:00,0,0,1,0,-0.7315290000000001
a,1.43518,2.6934,1.43518,2.6934,"{'att': 220, 'def': 17}","{'att': 138, 'def': 23}",1,9,2,2,0.5706,d,2019-12-06 19:30:00,0,1,0,1,-1.2582200000000001
h,0.930886,0.816692,0.930886,0.816692,"{'att': 321, 'def': 14}","{'att': 205, 'def': 11}",3,9,1,0,1.4169999999999998,w,2019-12-14 14:30:00,1,0,0,3,0.11419400000000002
a,1.51156,1.32267,1.51156,1.32267,"{'att': 423, 'def': 25}","{'att': 138, 'def': 24}",1,6,1,0,1.5275,w,2019-12-18 17:30:00,1,0,0,3,0.18889
h,0.804328,0.633262,0.804328,0.633262,"{'att': 305, 'def': 16}","{'att': 200, 'def': 20}",2,8,0,0,1.5739,d,2019-12-21 17:30:00,0,1,0,1,0.17106600000000005
h,0.82925,2.96455,0.82925,2.20678,"{'att': 434, 'def': 17}","{'att': 209, 'def': 46}",3,12,0,4,0.1945,l,2020-01-19 14:30:00,0,0,1,0,-1.3775300000000001
a,1.71603,1.14053,1.71603,1.14053,"{'att': 297, 'def': 13}","{'att': 205, 'def': 26}",4,13,2,1,1.8523999999999998,w,2020-01-25 14:30:00,1,0,0,3,0.5754999999999999
h,0.417351,1.11364,0.417351,1.11364,"{'att': 327, 'def': 19}","{'att': 185, 'def': 26}",2,6,0,0,0.6704,d,2020-01-31 19:30:00,0,1,0,1,-0.6962889999999999
h,0.811018,2.85074,0.811018,2.09297,"{'att': 148, 'def': 27}","{'att': 437, 'def': 26}",7,7,1,3,0.2011,l,2020-02-08 14:30:00,0,0,1,0,-1.2819520000000002
a,2.10688,0.920452,2.10688,0.920452,"{'att': 199, 'def': 26}","{'att': 202, 'def': 21}",3,9,2,1,2.2633,w,2020-02-15 14:30:00,1,0,0,3,1.1864279999999998
h,0.449209,2.89736,0.449209,2.89736,"{'att': 190, 'def': 41}","{'att': 322, 'def': 15}",7,5,0,5,0.1305,l,2020-02-22 14:30:00,0,0,1,0,-2.4481509999999997
a,3.03938,1.45773,2.28161,1.45773,"{'att': 302, 'def': 24}","{'att': 279, 'def': 22}",10,7,3,3,2.4394,d,2020-02-28 19:30:00,0,1,0,1,0.8238800000000002
h,0.896654,1.51105,0.896654,1.51105,"{'att': 209, 'def': 29}","{'att': 183, 'def': 12}",4,2,2,2,0.8184,d,2020-03-07 14:30:00,0,1,0,1,-0.614396
a,1.55073,2.79087,1.55073,2.79087,"{'att': 252, 'def': 24}","{'att': 255, 'def': 16}",6,5,3,0,0.6355,w,2020-05-16 13:30:00,1,0,0,3,-1.24014
h,2.51634,0.273771,2.51634,0.273771,"{'att': 217, 'def': 22}","{'att': 305, 'def': 16}",5,4,4,0,2.7836999999999996,w,2020-05-22 18:30:00,1,0,0,3,2.242569
a,1.57339,0.612996,0.815618,0.612996,"{'att': 285, 'def': 30}","{'att': 207, 'def': 19}",5,3,2,2,2.2244,d,2020-05-27 16:30:00,0,1,0,1,0.20262199999999997
h,3.05122,1.13484,3.05122,1.13484,"{'att': 229, 'def': 27}","{'att': 256, 'def': 8}",2,3,2,0,2.5490000000000004,w,2020-05-30 13:30:00,1,0,0,3,1.9163799999999998
a,0.108241,1.84639,0.108241,1.84639,"{'att': 453, 'def': 26}","{'att': 274, 'def': 21}",6,8,0,1,0.1312,l,2020-06-06 16:30:00,0,0,1,0,-1.738149
h,0.602622,2.94287,0.602622,2.94287,"{'att': 308, 'def': 19}","{'att': 238, 'def': 25}",2,9,1,4,0.1232,l,2020-06-13 13:30:00,0,0,1,0,-2.340248
a,1.43031,1.80838,0.672611,1.80838,"{'att': 231, 'def': 14}","{'att': 257, 'def': 12}",5,12,1,2,1.1094,l,2020-06-16 18:30:00,0,0,1,0,-1.1357690000000003
h,2.3555,0.679286,2.3555,0.679286,"{'att': 357, 'def': 22}","{'att': 103, 'def': 19}",5,7,2,0,2.6004,w,2020-06-20 13:30:00,1,0,0,3,1.6762140000000003
a,0.827053,3.07113,0.827053,3.07113,"{'att': 390, 'def': 21}","{'att': 276, 'def': 21}",4,9,1,2,0.1996,l,2020-06-27 13:30:00,0,0,1,0,-2.244077
