h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
a,0.441229,1.27652,0.441229,1.27652,"{'att': 190, 'def': 16}","{'att': 361, 'def': 31}",8,7,0,0,0.5738,d,2020-09-20 16:00:00,0,1,0,1,-0.8352910000000001
h,0.91247,1.20453,0.91247,1.20453,"{'att': 210, 'def': 31}","{'att': 362, 'def': 29}",5,3,1,1,1.0813,d,2020-09-26 13:30:00,0,1,0,1,-0.2920600000000001
a,1.69772,0.799979,1.69772,0.799979,"{'att': 237, 'def': 30}","{'att': 286, 'def': 23}",4,5,1,1,2.1,d,2020-10-03 13:30:00,0,1,0,1,0.8977409999999999
a,0.454109,0.214962,0.454109,0.214962,"{'att': 218, 'def': 15}","{'att': 382, 'def': 44}",2,3,1,0,1.5036,w,2020-10-17 13:30:00,1,0,0,3,0.239147
h,2.6291,0.342366,1.87132,0.342366,"{'att': 225, 'def': 30}","{'att': 497, 'def': 25}",6,3,3,1,2.8524,w,2020-10-26 19:30:00,1,0,0,3,1.5289540000000001
a,1.34088,1.18284,1.34088,1.18284,"{'att': 236, 'def': 19}","{'att': 404, 'def': 18}",5,4,4,2,1.4559,w,2020-11-01 14:30:00,1,0,0,3,0.15804000000000018
h,1.53904,3.02085,1.53904,2.26308,"{'att': 276, 'def': 33}","{'att': 405, 'def': 27}",9,2,4,3,0.46520000000000006,w,2020-11-08 17:00:00,1,0,0,3,-0.72404
a,1.32693,0.0,1.32693,0.0,"{'att': 183, 'def': 15}","{'att': 435, 'def': 19}",7,1,2,1,2.6895999999999995,w,2020-11-21 14:30:00,1,0,0,3,1.32693
h,1.04196,0.517533,1.04196,0.517533,"{'att': 220, 'def': 32}","{'att': 294, 'def': 24}",2,3,0,0,1.812,d,2020-11-29 14:30:00,0,1,0,1,0.524427
a,2.45305,1.22701,2.45305,0.426776,"{'att': 154, 'def': 20}","{'att': 368, 'def': 31}",7,4,3,0,2.2354,w,2020-12-06 17:00:00,1,0,0,3,2.0262740000000004
h,2.12151,1.67451,1.36373,1.67451,"{'att': 209, 'def': 22}","{'att': 418, 'def': 27}",9,4,4,1,1.7038000000000002,w,2020-12-13 17:00:00,1,0,0,3,-0.31077999999999983
a,1.93376,0.251532,1.93376,0.251532,"{'att': 161, 'def': 23}","{'att': 432, 'def': 24}",11,1,4,0,2.6670000000000003,w,2020-12-16 19:30:00,1,0,0,3,1.6822279999999998
h,0.307742,1.41401,0.307742,1.41401,"{'att': 297, 'def': 29}","{'att': 322, 'def': 20}",5,9,1,2,0.4496,l,2020-12-19 17:30:00,0,0,1,0,-1.106268
a,0.752325,1.34155,0.752325,1.34155,"{'att': 161, 'def': 25}","{'att': 361, 'def': 27}",6,5,1,2,0.8534999999999999,l,2021-01-02 14:30:00,0,0,1,0,-0.589225
h,0.588228,0.481943,0.588228,0.481943,"{'att': 115, 'def': 31}","{'att': 394, 'def': 18}",7,2,1,1,1.3224,d,2021-01-09 14:30:00,0,1,0,1,0.10628499999999996
a,0.794473,1.21832,0.794473,1.21832,"{'att': 192, 'def': 28}","{'att': 482, 'def': 19}",9,2,0,1,0.9604000000000001,l,2021-01-15 19:30:00,0,0,1,0,-0.4238470000000001
h,1.82076,1.25761,1.82076,1.25761,"{'att': 342, 'def': 27}","{'att': 320, 'def': 29}",4,11,2,1,1.7902999999999998,w,2021-01-19 19:30:00,1,0,0,3,0.56315
h,0.572384,1.0586,0.572384,1.0586,"{'att': 158, 'def': 23}","{'att': 377, 'def': 21}",4,5,0,1,0.8721,l,2021-01-23 14:30:00,0,0,1,0,-0.486216
a,0.905761,1.68828,0.905761,1.68828,"{'att': 240, 'def': 29}","{'att': 314, 'def': 34}",4,5,0,1,0.7085,l,2021-01-30 17:30:00,0,0,1,0,-0.782519
h,4.60657,1.30625,4.60657,1.30625,"{'att': 221, 'def': 27}","{'att': 274, 'def': 19}",16,3,5,2,2.8453,w,2021-02-06 14:30:00,1,0,0,3,3.3003199999999997
h,1.75183,2.27515,1.75183,2.27515,"{'att': 120, 'def': 16}","{'att': 400, 'def': 37}",4,12,2,2,1.0171000000000001,d,2021-02-13 14:30:00,0,1,0,1,-0.52332
a,0.397505,0.931657,0.397505,0.931657,"{'att': 118, 'def': 23}","{'att': 380, 'def': 13}",6,1,1,1,0.7479,d,2021-02-21 12:30:00,0,1,0,1,-0.534152
h,1.15987,1.47636,1.15987,1.47636,"{'att': 155, 'def': 16}","{'att': 393, 'def': 13}",8,6,1,2,1.0135999999999998,l,2021-02-28 17:00:00,0,0,1,0,-0.31648999999999994
a,1.36843,0.544034,1.36843,0.544034,"{'att': 271, 'def': 19}","{'att': 413, 'def': 25}",6,8,1,0,2.1377,w,2021-03-06 14:30:00,1,0,0,3,0.824396
h,2.37314,2.28117,2.37314,2.28117,"{'att': 100, 'def': 27}","{'att': 449, 'def': 23}",16,3,1,2,1.4138000000000002,l,2021-03-14 12:30:00,0,0,1,0,0.09196999999999989
a,2.00246,2.00238,2.00246,2.00238,"{'att': 86, 'def': 26}","{'att': 325, 'def': 23}",10,9,0,3,1.3633,l,2021-03-21 14:30:00,0,0,1,0,8.000000000008001e-05
h,0.861271,1.05068,0.861271,1.05068,"{'att': 269, 'def': 32}","{'att': 467, 'def': 30}",8,5,2,1,1.1126,w,2021-04-03 13:30:00,1,0,0,3,-0.18940900000000005
a,0.32178,0.0916581,0.32178,0.0916581,"{'att': 317, 'def': 28}","{'att': 387, 'def': 26}",5,3,0,0,1.4708,d,2021-04-12 18:30:00,0,1,0,1,0.2301219
h,1.98802,0.828829,1.98802,0.828829,"{'att': 318, 'def': 17}","{'att': 240, 'def': 15}",2,5,3,0,2.3755,w,2021-04-17 16:30:00,1,0,0,3,1.1591909999999999
a,0.540312,1.89266,0.540312,1.89266,"{'att': 377, 'def': 25}","{'att': 245, 'def': 31}",5,11,0,2,0.3598,l,2021-04-20 18:30:00,0,0,1,0,-1.352348
h,2.08585,1.83222,2.08585,1.83222,"{'att': 311, 'def': 17}","{'att': 305, 'def': 27}",7,8,3,1,1.5717,w,2021-04-24 16:30:00,1,0,0,3,0.25363000000000024
a,1.05171,0.552662,1.05171,0.552662,"{'att': 197, 'def': 23}","{'att': 337, 'def': 25}",7,1,0,0,1.792,d,2021-05-08 13:30:00,0,1,0,1,0.49904799999999994
h,1.56402,1.53974,1.56402,1.53974,"{'att': 330, 'def': 18}","{'att': 324, 'def': 21}",6,7,1,1,1.3956000000000002,d,2021-05-15 13:30:00,0,1,0,1,0.024279999999999857
a,1.56956,1.62981,0.811783,1.62981,"{'att': 403, 'def': 21}","{'att': 289, 'def': 13}",8,11,1,3,1.2927,l,2021-05-22 13:30:00,0,0,1,0,-0.818027
