h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
h,2.38349,1.23566,2.38349,1.23566,"{'att': 273, 'def': 30}","{'att': 180, 'def': 20}",8,2,1,0,2.2653,w,2022-08-06 16:30:00,1,0,0,3,1.1478300000000001
a,0.781529,1.0831,0.781529,1.0831,"{'att': 136, 'def': 17}","{'att': 319, 'def': 28}",8,5,3,1,1.0731,w,2022-08-12 18:30:00,1,0,0,3,-0.3015709999999999
h,0.625547,1.20064,0.625547,1.20064,"{'att': 203, 'def': 24}","{'att': 255, 'def': 24}",6,9,2,3,0.8616999999999999,l,2022-08-20 13:30:00,0,0,1,0,-0.575093
a,2.97427,0.353045,2.97427,0.353045,"{'att': 198, 'def': 28}","{'att': 351, 'def': 12}",11,3,1,0,2.8303,w,2022-08-27 13:30:00,1,0,0,3,2.6212250000000004
h,2.521,0.360446,2.521,0.360446,"{'att': 276, 'def': 19}","{'att': 236, 'def': 28}",10,1,1,0,2.7678,w,2022-09-02 18:30:00,1,0,0,3,2.160554
a,0.334567,1.70495,0.334567,1.70495,"{'att': 200, 'def': 25}","{'att': 284, 'def': 31}",4,8,0,3,0.3349,l,2022-09-10 13:30:00,0,0,1,0,-1.370383
h,2.5349,0.0971459,2.5349,0.0971459,"{'att': 142, 'def': 25}","{'att': 269, 'def': 17}",8,2,1,0,2.8817,w,2022-09-17 13:30:00,1,0,0,3,2.4377541
a,2.46961,2.1489,2.46961,2.1489,"{'att': 213, 'def': 23}","{'att': 285, 'def': 33}",10,7,2,3,1.5883,l,2022-10-01 13:30:00,0,0,1,0,0.32071000000000005
h,1.42928,1.22934,1.42928,1.22934,"{'att': 364, 'def': 23}","{'att': 266, 'def': 30}",8,6,2,2,1.4953999999999998,d,2022-10-08 16:30:00,0,1,0,1,0.19994
a,0.797656,1.47199,0.797656,1.47199,"{'att': 97, 'def': 14}","{'att': 495, 'def': 18}",8,4,0,2,0.7688999999999999,l,2022-10-16 15:30:00,0,0,1,0,-0.6743339999999999
h,2.63936,0.989781,2.63936,0.989781,"{'att': 229, 'def': 25}","{'att': 341, 'def': 17}",15,9,5,0,2.5104,w,2022-10-22 13:30:00,1,0,0,3,1.649579
a,0.730506,1.71027,0.730506,1.71027,"{'att': 381, 'def': 27}","{'att': 278, 'def': 25}",5,12,2,1,0.6467,w,2022-10-29 16:30:00,1,0,0,3,-0.979764
h,1.43174,0.496214,0.673959,0.496214,"{'att': 170, 'def': 14}","{'att': 333, 'def': 29}",4,5,3,0,2.2914000000000003,w,2022-11-05 14:30:00,1,0,0,3,0.177745
a,1.29685,2.9101,1.29685,2.9101,"{'att': 196, 'def': 16}","{'att': 279, 'def': 15}",8,8,0,2,0.4597,l,2022-11-08 17:30:00,0,0,1,0,-1.6132499999999999
a,3.6823,2.64014,3.6823,2.64014,"{'att': 244, 'def': 23}","{'att': 331, 'def': 13}",11,5,2,4,2.062,l,2022-11-11 19:30:00,0,0,1,0,1.04216
h,3.27016,1.92914,3.27016,1.92914,"{'att': 126, 'def': 15}","{'att': 345, 'def': 21}",14,7,4,3,2.1848,w,2023-01-22 14:30:00,1,0,0,3,1.34102
a,1.15874,0.84968,1.15874,0.84968,"{'att': 210, 'def': 19}","{'att': 369, 'def': 30}",8,5,2,1,1.6392,w,2023-01-25 17:30:00,1,0,0,3,0.3090600000000001
a,0.977834,1.84499,0.977834,1.84499,"{'att': 288, 'def': 30}","{'att': 269, 'def': 22}",4,2,2,0,0.7331000000000001,w,2023-01-29 16:30:00,1,0,0,3,-0.8671559999999999
h,2.10421,0.243795,2.10421,0.243795,"{'att': 114, 'def': 23}","{'att': 324, 'def': 15}",13,2,5,1,2.6547,w,2023-02-04 14:30:00,1,0,0,3,1.8604150000000002
a,2.66556,0.587473,2.66556,0.587473,"{'att': 216, 'def': 21}","{'att': 322, 'def': 22}",8,2,2,0,2.7058,w,2023-02-11 14:30:00,1,0,0,3,2.078087
h,2.34937,1.41428,2.34937,1.41428,"{'att': 193, 'def': 21}","{'att': 337, 'def': 24}",3,5,4,1,2.0869,w,2023-02-19 16:30:00,1,0,0,3,0.93509
a,2.75881,0.873677,2.75881,0.873677,"{'att': 191, 'def': 18}","{'att': 252, 'def': 31}",14,6,1,0,2.56,w,2023-02-25 14:30:00,1,0,0,3,1.885133
h,1.12897,2.19847,0.371198,2.19847,"{'att': 342, 'def': 17}","{'att': 230, 'def': 34}",3,6,2,1,0.5574,w,2023-03-03 19:30:00,1,0,0,3,-1.827272
a,1.2204,1.52455,1.2204,1.52455,"{'att': 155, 'def': 18}","{'att': 325, 'def': 32}",6,4,2,2,1.0072,d,2023-03-11 17:30:00,0,1,0,1,-0.30415000000000014
h,3.37102,1.46899,3.37102,1.46899,"{'att': 291, 'def': 22}","{'att': 492, 'def': 28}",15,4,6,1,2.6132,w,2023-03-18 17:30:00,1,0,0,3,1.90203
a,1.57525,3.10094,0.81747,3.10094,"{'att': 362, 'def': 22}","{'att': 332, 'def': 26}",9,11,2,4,0.40349999999999997,l,2023-04-01 16:30:00,0,0,1,0,-2.28347
h,2.5021,0.522776,2.5021,0.522776,"{'att': 183, 'def': 13}","{'att': 337, 'def': 23}",6,7,2,1,2.7439999999999998,w,2023-04-08 13:30:00,1,0,0,3,1.979324
a,1.52309,1.34955,1.52309,1.34955,"{'att': 273, 'def': 25}","{'att': 375, 'def': 11}",15,13,3,3,1.4936,d,2023-04-15 13:30:00,0,1,0,1,0.17354000000000003
h,1.43834,0.452485,1.43834,0.452485,"{'att': 221, 'def': 22}","{'att': 294, 'def': 32}",8,7,4,0,2.1792000000000002,w,2023-04-22 16:30:00,1,0,0,3,0.9858549999999999
a,2.93268,0.57291,2.93268,0.57291,"{'att': 119, 'def': 13}","{'att': 262, 'def': 23}",12,3,1,1,2.7874,d,2023-04-28 18:30:00,0,1,0,1,2.35977
h,5.13701,0.946113,4.37923,0.946113,"{'att': 227, 'def': 26}","{'att': 282, 'def': 27}",22,4,6,0,2.9619,w,2023-05-07 15:30:00,1,0,0,3,3.4331169999999998
h,6.24513,1.63094,5.48736,0.873163,"{'att': 321, 'def': 23}","{'att': 342, 'def': 24}",12,1,5,2,2.9747,w,2023-05-13 16:30:00,1,0,0,3,4.614197
