h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
a,1.60393,1.73279,1.60393,1.73279,"{'att': 230, 'def': 19}","{'att': 387, 'def': 27}",4,5,2,3,1.2526,l,2023-08-19 13:30:00,0,0,1,0,-0.12885999999999997
h,2.0934,1.18326,2.0934,1.18326,"{'att': 281, 'def': 22}","{'att': 286, 'def': 15}",9,3,5,1,2.0311,w,2023-08-25 18:30:00,1,0,0,3,0.91014
a,1.21402,0.17815,1.21402,0.17815,"{'att': 189, 'def': 27}","{'att': 438, 'def': 29}",3,1,3,0,2.2996000000000003,w,2023-09-03 15:30:00,1,0,0,3,1.03587
h,1.46279,1.34046,1.46279,1.34046,"{'att': 261, 'def': 19}","{'att': 358, 'def': 20}",5,7,3,0,1.4503000000000001,w,2023-09-16 13:30:00,1,0,0,3,0.12233000000000005
a,1.03744,0.771966,1.03744,0.771966,"{'att': 258, 'def': 21}","{'att': 333, 'def': 19}",3,2,1,0,1.6159999999999999,w,2023-09-23 13:30:00,1,0,0,3,0.2654739999999999
h,0.793383,1.95099,0.793383,1.19322,"{'att': 404, 'def': 26}","{'att': 230, 'def': 25}",1,7,2,2,0.4635,d,2023-09-30 16:30:00,0,1,0,1,-0.399837
h,2.22631,0.741054,0.710757,0.741054,"{'att': 96, 'def': 17}","{'att': 320, 'def': 17}",5,2,0,0,2.5285,d,2023-10-07 13:30:00,0,1,0,1,-0.03029700000000002
a,1.83161,1.68331,1.83161,0.925533,"{'att': 266, 'def': 16}","{'att': 176, 'def': 25}",3,4,3,1,1.4770000000000003,w,2023-10-21 13:30:00,1,0,0,3,0.9060769999999999
h,4.85886,1.32863,4.10108,1.32863,"{'att': 226, 'def': 11}","{'att': 392, 'def': 15}",12,2,6,0,2.9088000000000003,w,2023-10-28 16:30:00,1,0,0,3,2.7724499999999996
a,0.507864,1.49686,0.507864,1.49686,"{'att': 164, 'def': 19}","{'att': 364, 'def': 18}",5,3,0,2,0.531,l,2023-11-04 14:30:00,0,0,1,0,-0.9889960000000001
