h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
h,2.11281,2.51995,2.11281,1.0044,"{'att': 260, 'def': 16}","{'att': 238, 'def': 25}",3,4,4,1,1.0337,w,2023-08-20 13:30:00,1,0,0,3,1.1084100000000001
a,1.6379,2.59994,1.6379,2.59994,"{'att': 310, 'def': 22}","{'att': 97, 'def': 17}",4,5,4,1,0.7795000000000001,w,2023-08-26 13:30:00,1,0,0,3,-0.9620400000000002
h,0.17815,1.21402,0.17815,1.21402,"{'att': 438, 'def': 29}","{'att': 189, 'def': 27}",1,3,0,3,0.4213,l,2023-09-03 15:30:00,0,0,1,0,-1.03587
a,1.56941,0.566932,1.56941,0.566932,"{'att': 239, 'def': 24}","{'att': 321, 'def': 17}",3,4,1,2,2.1719999999999997,l,2023-09-16 13:30:00,0,0,1,0,1.002478
h,1.62442,2.15364,1.62442,1.39586,"{'att': 237, 'def': 17}","{'att': 240, 'def': 24}",5,3,0,2,0.9631,l,2023-09-23 13:30:00,0,0,1,0,0.22855999999999987
a,2.1613,0.542933,2.1613,0.542933,"{'att': 243, 'def': 22}","{'att': 249, 'def': 15}",9,3,0,1,2.5571,l,2023-09-30 13:30:00,0,0,1,0,1.618367
a,1.5245,1.76935,0.766724,1.76935,"{'att': 379, 'def': 25}","{'att': 151, 'def': 11}",8,4,2,4,1.1323,l,2023-10-07 13:30:00,0,0,1,0,-1.002626
h,0.573025,1.87513,0.573025,1.87513,"{'att': 355, 'def': 31}","{'att': 238, 'def': 9}",2,5,0,3,0.41459999999999997,l,2023-10-21 13:30:00,0,0,1,0,-1.302105
a,0.368624,0.690799,0.368624,0.690799,"{'att': 402, 'def': 22}","{'att': 245, 'def': 19}",6,7,0,2,0.9330999999999999,l,2023-10-28 13:30:00,0,0,1,0,-0.32217500000000004
h,1.066,1.56887,1.066,1.56887,"{'att': 324, 'def': 28}","{'att': 220, 'def': 17}",5,3,0,3,0.8445,l,2023-11-04 14:30:00,0,0,1,0,-0.5028699999999999
a,0.0283806,3.04223,0.0283806,3.04223,"{'att': 525, 'def': 5}","{'att': 218, 'def': 15}",0,10,0,4,0.0271,l,2023-11-12 14:30:00,0,0,1,0,-3.0138494
