h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
h,0.612645,0.37841,0.612645,0.37841,"{'att': 212, 'def': 25}","{'att': 345, 'def': 16}",4,4,2,0,1.5211000000000001,w,2014-08-25 19:00:00,1,0,0,3,0.23423499999999997
a,2.31574,2.74099,2.31574,2.74099,"{'att': 197, 'def': 29}","{'att': 223, 'def': 24}",8,7,2,4,1.0946,l,2014-08-31 20:00:00,0,0,1,0,-0.42525000000000013
h,1.58778,1.11054,0.844502,1.11054,"{'att': 136, 'def': 28}","{'att': 294, 'def': 13}",5,0,1,2,1.7548,l,2014-09-13 19:00:00,0,0,1,0,-0.2660380000000001
a,2.05644,1.74836,2.05644,1.00508,"{'att': 294, 'def': 23}","{'att': 443, 'def': 19}",3,0,8,2,1.5862,w,2014-09-20 15:00:00,1,0,0,3,1.0513599999999999
h,3.93785,1.07447,2.4513,0.331196,"{'att': 236, 'def': 23}","{'att': 407, 'def': 17}",8,0,5,1,2.8482,w,2014-09-23 19:00:00,1,0,0,3,2.120104
a,0.976346,0.951263,0.976346,0.951263,"{'att': 242, 'def': 12}","{'att': 270, 'def': 21}",4,9,2,0,1.3775000000000002,w,2014-09-27 15:00:00,1,0,0,3,0.025083000000000077
h,3.61471,0.744918,3.61471,0.744918,"{'att': 203, 'def': 14}","{'att': 390, 'def': 25}",16,0,5,0,2.8784,w,2014-10-05 20:00:00,1,0,0,3,2.8697920000000003
a,4.276,0.488171,3.53273,0.488171,"{'att': 203, 'def': 15}","{'att': 427, 'def': 24}",8,1,5,0,2.9487,w,2014-10-18 15:00:00,1,0,0,3,3.044559
h,1.87887,1.30281,1.13559,1.30281,"{'att': 304, 'def': 24}","{'att': 259, 'def': 34}",8,7,3,1,1.8239999999999998,w,2014-10-25 17:00:00,1,0,0,3,-0.16721999999999992
a,2.84686,1.07775,2.84686,1.07775,"{'att': 161, 'def': 16}","{'att': 384, 'def': 26}",13,3,4,0,2.572,w,2014-11-01 15:00:00,1,0,0,3,1.76911
h,2.69643,0.843676,2.69643,0.843676,"{'att': 361, 'def': 17}","{'att': 278, 'def': 33}",7,5,5,1,2.6197000000000004,w,2014-11-08 19:00:00,1,0,0,3,1.852754
a,4.68657,0.87358,3.94329,0.87358,"{'att': 162, 'def': 18}","{'att': 297, 'def': 29}",13,3,4,0,2.9501,w,2014-11-22 17:00:00,1,0,0,3,3.06971
a,4.15129,1.16042,4.15129,1.16042,"{'att': 185, 'def': 20}","{'att': 290, 'def': 26}",5,2,2,1,2.8579,w,2014-11-29 19:00:00,1,0,0,3,2.99087
h,2.59443,0.552243,1.85115,0.552243,"{'att': 218, 'def': 18}","{'att': 219, 'def': 44}",6,3,3,0,2.6826000000000003,w,2014-12-06 19:00:00,1,0,0,3,1.298907
a,1.25169,1.33389,1.25169,0.590609,"{'att': 150, 'def': 17}","{'att': 282, 'def': 29}",9,1,4,1,1.2355,w,2014-12-12 19:45:00,1,0,0,3,0.6610809999999999
a,2.63452,0.708983,1.89124,0.708983,"{'att': 138, 'def': 20}","{'att': 238, 'def': 35}",7,3,1,2,2.6483999999999996,l,2015-01-04 16:00:00,0,0,1,0,1.182257
h,1.73073,0.367803,1.73073,0.367803,"{'att': 257, 'def': 24}","{'att': 332, 'def': 30}",6,7,3,0,2.4542,w,2015-01-10 15:00:00,1,0,0,3,1.362927
a,2.41204,0.544312,2.41204,0.544312,"{'att': 205, 'def': 35}","{'att': 329, 'def': 23}",8,5,3,0,2.6492,w,2015-01-18 11:00:00,1,0,0,3,1.867728
a,1.99717,1.63834,1.25389,0.895062,"{'att': 118, 'def': 29}","{'att': 279, 'def': 26}",8,0,2,1,1.6806,w,2015-01-24 15:00:00,1,0,0,3,0.3588279999999999
h,4.01477,1.0602,4.01477,1.0602,"{'att': 242, 'def': 18}","{'att': 358, 'def': 20}",15,2,4,1,2.827,w,2015-01-31 15:00:00,1,0,0,3,2.9545700000000004
h,2.44168,2.47777,2.44168,2.47777,"{'att': 155, 'def': 16}","{'att': 287, 'def': 38}",13,14,2,1,1.3893,w,2015-02-04 19:45:00,1,0,0,3,-0.03609000000000018
a,0.102273,2.27475,0.102273,2.27475,"{'att': 180, 'def': 27}","{'att': 251, 'def': 37}",2,9,0,4,0.0533,l,2015-02-07 15:00:00,0,0,1,0,-2.172477
h,1.47812,0.618923,1.47812,0.618923,"{'att': 189, 'def': 18}","{'att': 338, 'def': 27}",11,4,2,0,2.0566,w,2015-02-14 17:00:00,1,0,0,3,0.8591970000000001
a,1.93223,0.113848,1.93223,0.113848,"{'att': 223, 'def': 24}","{'att': 332, 'def': 30}",7,1,2,0,2.8413,w,2015-02-22 20:00:00,1,0,0,3,1.818382
h,2.94269,0.830645,2.19941,0.830645,"{'att': 169, 'def': 23}","{'att': 245, 'def': 27}",7,5,1,1,2.67,d,2015-03-01 20:00:00,0,1,0,1,1.3687649999999998
a,0.880869,0.351052,0.880869,0.351052,"{'att': 173, 'def': 29}","{'att': 331, 'def': 27}",11,3,0,1,1.8384,l,2015-03-07 17:00:00,0,0,1,0,0.529817
h,2.53951,0.58311,2.53951,0.58311,"{'att': 202, 'def': 25}","{'att': 373, 'def': 16}",14,1,2,0,2.6795999999999998,w,2015-03-15 20:00:00,1,0,0,3,1.9564
a,1.69907,2.29612,1.69907,2.29612,"{'att': 293, 'def': 35}","{'att': 251, 'def': 25}",9,5,1,2,0.9821,l,2015-03-22 23:00:00,0,0,1,0,-0.5970500000000001
h,6.61091,0.602945,6.61091,0.602945,"{'att': 220, 'def': 16}","{'att': 306, 'def': 16}",18,1,9,1,2.9971,w,2015-04-05 11:00:00,1,0,0,3,6.0079649999999996
a,1.94497,1.19622,1.94497,1.19622,"{'att': 330, 'def': 26}","{'att': 260, 'def': 35}",8,5,2,0,1.9428,w,2015-04-08 21:00:00,1,0,0,3,0.74875
