h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
h,0.893586,1.81223,0.893586,1.81223,"{'att': 188, 'def': 29}","{'att': 275, 'def': 30}",2,6,1,3,0.5765,l,2015-08-24 22:30:00,0,0,1,0,-0.918644
a,1.27622,0.801319,0.533071,0.801319,"{'att': 197, 'def': 26}","{'att': 117, 'def': 22}",1,6,2,1,1.8080000000000003,w,2015-08-31 00:30:00,1,0,0,3,-0.26824800000000004
h,0.817524,1.48742,0.817524,1.48742,"{'att': 140, 'def': 28}","{'att': 183, 'def': 37}",1,6,1,3,0.7771999999999999,l,2015-09-13 14:00:00,0,0,1,0,-0.6698959999999999
a,1.7661,3.03758,1.7661,3.03758,"{'att': 387, 'def': 33}","{'att': 152, 'def': 29}",3,10,0,1,0.6392,l,2015-09-19 18:00:00,0,0,1,0,-1.2714800000000002
h,0.393118,2.65392,0.393118,2.65392,"{'att': 178, 'def': 32}","{'att': 175, 'def': 24}",3,3,0,3,0.0859,l,2015-09-23 00:00:00,0,0,1,0,-2.260802
a,0.990969,2.0801,0.990969,2.0801,"{'att': 140, 'def': 46}","{'att': 201, 'def': 24}",3,6,0,1,0.6092,l,2015-09-25 22:30:00,0,0,1,0,-1.0891309999999998
h,0.825643,0.942041,0.825643,0.942041,"{'att': 127, 'def': 21}","{'att': 197, 'def': 33}",5,7,1,1,1.2345000000000002,d,2015-10-03 20:15:00,0,1,0,1,-0.116398
a,2.51462,1.39196,2.51462,1.39196,"{'att': 289, 'def': 30}","{'att': 113, 'def': 22}",2,7,3,3,2.2157999999999998,d,2015-10-19 22:30:00,0,1,0,1,1.1226599999999998
h,1.06647,1.11054,1.06647,0.36726,"{'att': 237, 'def': 33}","{'att': 137, 'def': 25}",2,4,1,1,1.2302,d,2015-10-24 20:15:00,0,1,0,1,0.6992100000000001
a,0.680785,1.71942,0.680785,1.71942,"{'att': 189, 'def': 45}","{'att': 133, 'def': 31}",3,4,1,1,0.3839,d,2015-11-01 19:00:00,0,1,0,1,-1.038635
a,0.483537,0.825919,0.483537,0.825919,"{'att': 132, 'def': 21}","{'att': 264, 'def': 23}",3,1,1,2,0.8896999999999999,l,2015-11-07 23:30:00,0,0,1,0,-0.34238199999999996
h,0.806379,1.35423,0.806379,1.35423,"{'att': 269, 'def': 30}","{'att': 103, 'def': 35}",2,5,2,0,0.8591,w,2015-11-22 21:15:00,1,0,0,3,-0.5478510000000001
a,0.557943,1.40547,0.557943,1.40547,"{'att': 104, 'def': 27}","{'att': 199, 'def': 23}",5,5,2,2,0.6473,d,2015-11-28 23:30:00,0,1,0,1,-0.847527
h,0.602436,1.93434,0.602436,1.93434,"{'att': 314, 'def': 28}","{'att': 275, 'def': 28}",2,12,0,2,0.4234,l,2015-12-05 21:15:00,0,0,1,0,-1.331904
a,0.752355,0.727312,0.752355,0.727312,"{'att': 180, 'def': 40}","{'att': 198, 'def': 49}",3,10,2,1,1.3386,w,2015-12-12 21:15:00,1,0,0,3,0.025043000000000037
h,0.340342,2.25068,0.340342,2.25068,"{'att': 209, 'def': 32}","{'att': 203, 'def': 36}",6,7,0,2,0.1489,l,2015-12-20 21:15:00,0,0,1,0,-1.910338
a,0.688245,1.28726,0.688245,0.54398,"{'att': 276, 'def': 29}","{'att': 185, 'def': 22}",3,7,1,4,0.7656,l,2015-12-31 00:00:00,0,0,1,0,0.14426499999999998
h,0.766685,2.31991,0.766685,2.31991,"{'att': 192, 'def': 24}","{'att': 123, 'def': 18}",2,10,2,1,0.3248,w,2016-01-03 19:00:00,1,0,0,3,-1.5532250000000003
a,0.325061,4.72913,0.325061,4.72913,"{'att': 330, 'def': 26}","{'att': 164, 'def': 34}",2,22,0,4,0.0077,l,2016-01-09 19:00:00,0,0,1,0,-4.404069
a,0.430886,2.01571,0.430886,2.01571,"{'att': 174, 'def': 20}","{'att': 171, 'def': 25}",1,5,1,5,0.2107,l,2016-01-18 23:30:00,0,0,1,0,-1.5848239999999998
h,2.75252,1.57754,2.75252,1.57754,"{'att': 227, 'def': 35}","{'att': 202, 'def': 24}",6,8,3,2,2.1568,w,2016-01-23 23:30:00,1,0,0,3,1.1749800000000001
a,0.91326,1.95153,0.91326,1.20825,"{'att': 296, 'def': 28}","{'att': 209, 'def': 31}",3,2,0,1,0.5646,l,2016-01-30 23:30:00,0,0,1,0,-0.2949900000000001
