h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
a,1.63096,1.4954,1.63096,1.4954,"{'att': 157, 'def': 29}","{'att': 74, 'def': 32}",6,2,1,1,1.4909000000000001,d,2015-08-24 00:30:00,0,1,0,1,0.1355599999999999
h,1.59386,0.721424,1.59386,0.721424,"{'att': 198, 'def': 32}","{'att': 268, 'def': 21}",8,0,3,1,2.1344,w,2015-08-28 22:30:00,1,0,0,3,0.8724360000000001
a,1.48742,0.817524,1.48742,0.817524,"{'att': 183, 'def': 37}","{'att': 140, 'def': 28}",6,1,3,1,1.9472000000000003,w,2015-09-13 14:00:00,1,0,0,3,0.6698959999999999
h,1.61474,1.26405,0.871459,1.26405,"{'att': 221, 'def': 33}","{'att': 146, 'def': 17}",8,2,3,1,1.6351,w,2015-09-20 20:15:00,1,0,0,3,-0.3925909999999999
a,0.933564,0.878256,0.933564,0.878256,"{'att': 234, 'def': 30}","{'att': 167, 'def': 39}",5,10,1,0,1.4124,w,2015-09-24 00:00:00,1,0,0,3,0.05530799999999991
h,0.871094,0.466414,0.871094,0.466414,"{'att': 256, 'def': 21}","{'att': 314, 'def': 29}",5,6,1,0,1.7675,w,2015-09-26 22:30:00,1,0,0,3,0.40468000000000004
a,0.114789,1.06144,0.114789,1.06144,"{'att': 160, 'def': 25}","{'att': 224, 'def': 25}",1,5,0,1,0.4089,l,2015-10-04 20:15:00,0,0,1,0,-0.9466509999999999
h,0.995361,1.62408,0.995361,1.62408,"{'att': 341, 'def': 19}","{'att': 129, 'def': 27}",4,15,1,2,0.82,l,2015-10-18 14:00:00,0,0,1,0,-0.6287189999999999
a,0.205133,0.189007,0.205133,0.189007,"{'att': 333, 'def': 39}","{'att': 172, 'def': 18}",2,1,0,0,1.1821000000000002,d,2015-10-25 19:00:00,0,1,0,1,0.016126
h,1.03337,0.880961,1.03337,0.880961,"{'att': 207, 'def': 31}","{'att': 197, 'def': 25}",10,4,2,1,1.4525000000000001,w,2015-10-31 21:15:00,1,0,0,3,0.1524089999999999
a,0.278588,3.0769,0.278588,2.33362,"{'att': 309, 'def': 31}","{'att': 181, 'def': 29}",1,17,0,3,0.054599999999999996,l,2015-11-08 19:00:00,0,0,1,0,-2.0550319999999997
h,1.78239,2.61337,1.78239,1.87009,"{'att': 123, 'def': 26}","{'att': 274, 'def': 24}",12,5,1,1,0.8403,d,2015-11-22 19:00:00,0,1,0,1,-0.08770000000000011
a,0.7886,1.67288,0.7886,1.67288,"{'att': 140, 'def': 33}","{'att': 241, 'def': 21}",9,4,0,2,0.6013,l,2015-11-29 15:00:00,0,0,1,0,-0.88428
h,1.60179,0.325638,1.60179,0.325638,"{'att': 223, 'def': 31}","{'att': 167, 'def': 31}",7,1,2,1,2.4604,w,2015-12-06 19:00:00,1,0,0,3,1.2761520000000002
h,0.940499,1.45508,0.940499,1.45508,"{'att': 299, 'def': 16}","{'att': 166, 'def': 23}",3,7,1,0,0.9492,w,2015-12-13 23:30:00,1,0,0,3,-0.514581
