h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
a,0.410646,1.39716,0.410646,1.39716,"{'att': 212, 'def': 19}","{'att': 256, 'def': 28}",3,8,2,1,0.5298,w,2018-08-18 21:15:00,1,0,0,3,-0.9865139999999999
a,1.69572,1.67636,1.69572,1.67636,"{'att': 353, 'def': 17}","{'att': 134, 'def': 21}",3,11,2,2,1.4312,d,2018-08-24 23:15:00,0,1,0,1,0.019359999999999822
a,1.32388,0.798059,0.5806,0.798059,"{'att': 151, 'def': 20}","{'att': 148, 'def': 31}",1,8,1,2,1.8908000000000003,l,2018-08-31 23:00:00,0,0,1,0,-0.21745899999999996
h,1.47969,1.7617,1.47969,1.7617,"{'att': 432, 'def': 36}","{'att': 218, 'def': 22}",3,9,1,2,1.1398000000000001,l,2018-09-15 14:15:00,0,0,1,0,-0.2820100000000001
a,0.200875,0.565773,0.200875,0.565773,"{'att': 194, 'def': 22}","{'att': 242, 'def': 20}",4,3,1,0,0.8349,w,2018-09-21 19:00:00,1,0,0,3,-0.36489799999999994
h,1.23911,1.77977,1.23911,1.03675,"{'att': 189, 'def': 36}","{'att': 290, 'def': 23}",11,5,2,2,0.9078,d,2018-09-25 19:00:00,0,1,0,1,0.20235999999999987
h,1.12097,0.924746,0.377694,0.924746,"{'att': 233, 'def': 24}","{'att': 303, 'def': 27}",4,7,0,1,1.5417,l,2018-09-29 11:00:00,0,0,1,0,-0.547052
a,2.11494,1.18842,0.628384,1.18842,"{'att': 287, 'def': 24}","{'att': 132, 'def': 23}",1,8,3,1,2.1776000000000004,w,2018-10-05 19:00:00,1,0,0,3,-0.560036
h,0.57678,0.53783,0.57678,0.53783,"{'att': 198, 'def': 25}","{'att': 263, 'def': 27}",6,6,0,0,1.3317999999999999,d,2018-10-22 19:00:00,0,1,0,1,0.03894999999999993
a,0.211158,1.41243,0.211158,1.41243,"{'att': 283, 'def': 14}","{'att': 209, 'def': 35}",2,10,0,2,0.3608,l,2018-10-27 18:45:00,0,0,1,0,-1.2012720000000001
h,0.74078,0.413773,0.74078,0.413773,"{'att': 236, 'def': 23}","{'att': 274, 'def': 28}",6,2,0,0,1.6505,d,2018-11-04 17:30:00,0,1,0,1,0.327007
a,1.43351,1.06813,1.43351,1.06813,"{'att': 176, 'def': 18}","{'att': 225, 'def': 35}",9,6,3,1,1.6896000000000002,w,2018-11-09 20:00:00,1,0,0,3,0.36538000000000004
h,2.07409,0.545872,2.07409,0.545872,"{'att': 303, 'def': 24}","{'att': 279, 'def': 21}",9,0,2,1,2.4944,w,2018-11-26 20:00:00,1,0,0,3,1.5282179999999999
a,1.39194,1.31385,1.39194,1.31385,"{'att': 293, 'def': 26}","{'att': 232, 'def': 33}",8,4,0,1,1.3881999999999999,l,2018-12-02 11:00:00,0,0,1,0,0.07808999999999999
h,1.7451,1.31256,1.7451,1.31256,"{'att': 114, 'def': 18}","{'att': 325, 'def': 27}",9,1,1,2,1.6883000000000001,l,2018-12-09 17:30:00,0,0,1,0,0.43254000000000015
