h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
h,2.44678,0.333556,1.7035,0.333556,"{'att': 131, 'def': 19}","{'att': 243, 'def': 21}",5,2,1,0,2.8418,w,2019-08-18 21:00:00,1,0,0,3,1.369944
a,1.39426,0.379878,1.39426,0.379878,"{'att': 144, 'def': 14}","{'att': 293, 'def': 27}",7,10,1,0,2.2734,w,2019-08-25 18:00:00,1,0,0,3,1.0143820000000001
h,1.8114,0.847966,1.8114,0.847966,"{'att': 156, 'def': 21}","{'att': 261, 'def': 25}",7,3,3,2,2.2272000000000003,w,2019-09-01 18:00:00,1,0,0,3,0.9634339999999999
a,1.06745,2.08851,1.06745,2.08851,"{'att': 273, 'def': 19}","{'att': 201, 'def': 21}",14,6,0,2,0.6084,l,2019-09-14 16:30:00,0,0,1,0,-1.0210599999999999
h,1.71994,0.582564,1.71994,0.582564,"{'att': 247, 'def': 27}","{'att': 215, 'def': 12}",10,3,0,0,2.3053999999999997,d,2019-09-21 16:30:00,0,1,0,1,1.1373760000000002
a,1.21545,0.673477,1.21545,0.673477,"{'att': 227, 'def': 26}","{'att': 280, 'def': 14}",10,3,2,0,1.783,w,2019-09-25 17:00:00,1,0,0,3,0.5419729999999999
h,0.819412,0.379757,0.819412,0.379757,"{'att': 308, 'def': 22}","{'att': 239, 'def': 26}",4,4,0,0,1.7816,d,2019-09-28 19:00:00,0,1,0,1,0.439655
a,0.768197,0.969549,0.768197,0.226787,"{'att': 204, 'def': 29}","{'att': 231, 'def': 17}",5,2,0,0,1.0699,d,2019-10-06 15:00:00,0,1,0,1,0.5414100000000001
h,1.54344,0.757907,0.800163,0.757907,"{'att': 283, 'def': 30}","{'att': 205, 'def': 18}",7,12,1,1,2.0463,d,2019-10-19 15:00:00,0,1,0,1,0.04225599999999996
h,1.94897,0.328031,1.94897,0.328031,"{'att': 252, 'def': 27}","{'att': 205, 'def': 13}",4,4,2,0,2.718,w,2019-10-26 20:00:00,1,0,0,3,1.6209390000000001
a,1.72516,0.442747,1.72516,0.442747,"{'att': 163, 'def': 31}","{'att': 188, 'def': 26}",6,2,1,1,2.4337,d,2019-10-29 18:00:00,0,1,0,1,1.282413
a,2.45211,0.888419,1.69342,0.888419,"{'att': 314, 'def': 32}","{'att': 209, 'def': 33}",9,3,1,1,2.5553,d,2019-11-02 17:30:00,0,1,0,1,0.805001
h,3.05161,0.379993,3.05161,0.379993,"{'att': 212, 'def': 26}","{'att': 159, 'def': 37}",11,7,3,1,2.8911000000000002,w,2019-11-10 15:00:00,1,0,0,3,2.6716170000000004
a,2.0596,0.669993,2.0596,0.669993,"{'att': 186, 'def': 30}","{'att': 230, 'def': 20}",10,1,1,1,2.3850000000000002,d,2019-11-23 17:30:00,0,1,0,1,1.3896070000000003
h,1.16353,1.18842,1.16353,1.18842,"{'att': 359, 'def': 21}","{'att': 179, 'def': 29}",8,14,0,1,1.2995999999999999,l,2019-12-01 20:00:00,0,0,1,0,-0.02489000000000008
a,1.71887,1.41318,1.71887,1.41318,"{'att': 270, 'def': 26}","{'att': 259, 'def': 32}",12,6,0,0,1.5899,d,2019-12-06 20:00:00,0,1,0,1,0.3056899999999998
h,2.5649,0.528091,2.5649,0.528091,"{'att': 230, 'def': 31}","{'att': 206, 'def': 22}",11,4,2,0,2.6826,w,2019-12-14 20:00:00,1,0,0,3,2.0368090000000003
a,1.41727,0.922514,1.41727,0.922514,"{'att': 352, 'def': 28}","{'att': 137, 'def': 19}",3,4,2,1,1.8303,w,2019-12-22 15:00:00,1,0,0,3,0.4947560000000001
h,1.56308,0.736284,1.56308,0.736284,"{'att': 264, 'def': 23}","{'att': 182, 'def': 18}",7,2,2,1,2.0111999999999997,w,2020-01-04 17:30:00,1,0,0,3,0.826796
a,1.03685,1.03493,1.03685,1.03493,"{'att': 137, 'def': 24}","{'att': 279, 'def': 23}",5,0,0,2,1.3283,l,2020-01-18 20:00:00,0,0,1,0,0.0019200000000001438
h,0.990297,0.37528,0.990297,0.37528,"{'att': 189, 'def': 25}","{'att': 247, 'def': 28}",4,2,0,0,1.9136000000000002,d,2020-01-26 11:00:00,0,1,0,1,0.6150169999999999
a,0.454401,1.08227,0.454401,1.08227,"{'att': 376, 'def': 31}","{'att': 198, 'def': 32}",0,5,0,1,0.7216,l,2020-02-01 15:00:00,0,0,1,0,-0.627869
h,0.92576,0.89501,0.92576,0.89501,"{'att': 191, 'def': 30}","{'att': 201, 'def': 37}",6,3,1,0,1.342,w,2020-02-08 20:00:00,1,0,0,3,0.030750000000000055
a,1.07192,1.56219,1.07192,1.56219,"{'att': 309, 'def': 29}","{'att': 163, 'def': 25}",6,12,2,2,0.9192,d,2020-02-14 20:00:00,0,1,0,1,-0.49027
h,2.17916,0.440221,2.17916,0.440221,"{'att': 447, 'def': 38}","{'att': 198, 'def': 24}",10,3,3,1,2.63,w,2020-02-23 20:00:00,1,0,0,3,1.738939
a,0.761475,1.29128,0.761475,1.29128,"{'att': 118, 'def': 24}","{'att': 248, 'def': 26}",6,3,1,1,0.829,d,2020-03-01 15:00:00,0,1,0,1,-0.529805
h,2.04826,1.61538,1.30498,0.872107,"{'att': 278, 'def': 31}","{'att': 190, 'def': 24}",4,4,2,2,1.6751,d,2020-03-07 15:00:00,0,1,0,1,0.43287300000000006
a,1.18398,0.362873,1.18398,0.362873,"{'att': 258, 'def': 21}","{'att': 238, 'def': 12}",7,2,1,1,2.1432,d,2020-06-14 12:00:00,0,1,0,1,0.821107
a,2.40229,0.860898,2.40229,0.860898,"{'att': 181, 'def': 23}","{'att': 228, 'def': 22}",5,4,5,0,2.5269,w,2020-06-17 20:00:00,1,0,0,3,1.5413919999999997
h,0.768121,0.281386,0.768121,0.281386,"{'att': 196, 'def': 31}","{'att': 330, 'def': 17}",5,0,1,0,1.7786,w,2020-06-20 20:00:00,1,0,0,3,0.48673500000000003
a,1.0251,0.748438,1.0251,0.748438,"{'att': 294, 'def': 38}","{'att': 205, 'def': 29}",5,8,1,0,1.5829,w,2020-06-23 17:30:00,1,0,0,3,0.27666199999999985
h,1.86903,1.12577,1.12575,0.382496,"{'att': 123, 'def': 24}","{'att': 401, 'def': 13}",7,2,2,1,2.0058999999999996,w,2020-06-27 20:00:00,1,0,0,3,0.7432540000000001
a,1.78128,1.80729,0.294725,1.06401,"{'att': 412, 'def': 25}","{'att': 146, 'def': 17}",3,4,2,2,1.3519,d,2020-06-30 20:00:00,0,1,0,1,-0.7692849999999999
h,2.65175,0.595505,1.9086,0.595505,"{'att': 272, 'def': 29}","{'att': 279, 'def': 19}",18,4,3,0,2.7053,w,2020-07-03 20:00:00,1,0,0,3,1.3130950000000001
a,1.0928,0.281854,1.0928,0.281854,"{'att': 246, 'def': 23}","{'att': 209, 'def': 27}",5,2,1,1,2.2215,d,2020-07-07 20:00:00,0,1,0,1,0.810946
h,0.76357,1.1694,0.76357,1.1694,"{'att': 319, 'def': 27}","{'att': 202, 'def': 16}",4,9,1,0,1.0024,w,2020-07-11 20:00:00,1,0,0,3,-0.40583
a,1.74341,1.13873,1.74341,1.13873,"{'att': 123, 'def': 19}","{'att': 336, 'def': 32}",8,3,2,0,1.8821999999999999,w,2020-07-16 19:00:00,1,0,0,3,0.6046799999999999
h,1.50008,0.335651,1.50008,0.335651,"{'att': 333, 'def': 16}","{'att': 236, 'def': 22}",6,0,1,1,2.4573,d,2020-07-19 19:00:00,0,1,0,1,1.1644290000000002
