h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
h,1.51166,1.99723,1.51166,1.99723,"{'att': 216, 'def': 19}","{'att': 324, 'def': 23}",5,8,1,3,0.9904999999999999,l,2019-08-17 16:00:00,0,0,1,0,-0.48557000000000006
h,2.37702,0.675601,1.63375,0.675601,"{'att': 227, 'def': 12}","{'att': 310, 'def': 29}",8,11,1,0,2.593,w,2019-08-24 20:00:00,1,0,0,3,0.958149
a,0.454026,1.50787,0.454026,1.50787,"{'att': 283, 'def': 19}","{'att': 190, 'def': 33}",2,10,1,1,0.5286,d,2019-08-30 19:00:00,0,1,0,1,-1.053844
h,0.233721,1.1436,0.233721,1.1436,"{'att': 209, 'def': 15}","{'att': 169, 'def': 26}",2,2,0,2,0.45020000000000004,l,2019-09-15 14:00:00,0,0,1,0,-0.9098789999999999
a,0.582564,1.71994,0.582564,1.71994,"{'att': 215, 'def': 12}","{'att': 247, 'def': 27}",3,10,0,0,0.4754,d,2019-09-21 16:30:00,0,1,0,1,-1.1373760000000002
h,1.1247,1.50653,1.1247,1.50653,"{'att': 235, 'def': 27}","{'att': 380, 'def': 25}",9,7,1,1,1.0423,d,2019-09-26 18:00:00,0,1,0,1,-0.3818299999999999
a,0.826593,1.02791,0.0833155,1.02791,"{'att': 116, 'def': 24}","{'att': 287, 'def': 26}",4,8,0,2,1.0823,l,2019-09-29 12:00:00,0,0,1,0,-0.9445945000000001
h,1.91529,0.127135,1.91529,0.127135,"{'att': 127, 'def': 9}","{'att': 283, 'def': 23}",4,3,1,0,2.7121999999999997,w,2019-10-06 13:00:00,1,0,0,3,1.788155
a,1.1334,2.08309,1.1334,2.08309,"{'att': 169, 'def': 18}","{'att': 352, 'def': 36}",7,8,0,2,0.6786,l,2019-10-20 11:00:00,0,0,1,0,-0.9496899999999999
h,0.846315,0.967791,0.846315,0.967791,"{'att': 232, 'def': 21}","{'att': 142, 'def': 15}",1,4,0,1,1.2127999999999999,l,2019-10-27 11:00:00,0,0,1,0,-0.12147599999999992
a,1.59702,1.11761,0.853745,1.11761,"{'att': 156, 'def': 25}","{'att': 272, 'def': 19}",9,0,1,2,1.7577,l,2019-10-30 20:00:00,0,0,1,0,-0.263865
h,0.133684,0.389551,0.133684,0.389551,"{'att': 93, 'def': 12}","{'att': 234, 'def': 32}",3,5,0,1,0.8704,l,2019-11-03 17:30:00,0,0,1,0,-0.25586699999999996
a,0.317045,1.49638,0.317045,0.753104,"{'att': 366, 'def': 20}","{'att': 259, 'def': 23}",0,7,1,4,0.345,l,2019-11-09 20:00:00,0,0,1,0,-0.436059
a,1.75554,1.20262,1.75554,1.20262,"{'att': 328, 'def': 20}","{'att': 223, 'def': 35}",7,7,3,1,1.87,w,2019-11-24 17:30:00,1,0,0,3,0.5529200000000001
h,1.43181,0.263566,1.43181,0.263566,"{'att': 194, 'def': 19}","{'att': 284, 'def': 30}",9,2,0,0,2.3681000000000005,d,2019-11-29 20:00:00,0,1,0,1,1.168244
a,0.47817,0.971054,0.47817,0.971054,"{'att': 100, 'def': 18}","{'att': 327, 'def': 24}",2,6,2,3,0.8451,l,2019-12-08 17:30:00,0,0,1,0,-0.492884
h,2.18849,1.51622,1.44521,0.772945,"{'att': 103, 'def': 22}","{'att': 246, 'def': 32}",4,0,2,2,1.8823,d,2019-12-15 13:00:00,0,1,0,1,0.6722650000000001
a,1.4501,2.68998,1.4501,2.68998,"{'att': 210, 'def': 30}","{'att': 220, 'def': 17}",7,8,1,3,0.5206,l,2019-12-22 17:30:00,0,0,1,0,-1.2398799999999999
h,1.91143,0.76674,1.91143,0.76674,"{'att': 145, 'def': 22}","{'att': 295, 'def': 33}",6,6,1,1,2.2233,d,2020-01-05 20:00:00,0,1,0,1,1.14469
a,0.716642,3.43632,0.716642,2.69317,"{'att': 289, 'def': 15}","{'att': 164, 'def': 29}",7,10,1,1,0.10250000000000001,d,2020-01-19 17:30:00,0,1,0,1,-1.9765279999999998
h,1.03102,0.223406,1.03102,0.223406,"{'att': 116, 'def': 17}","{'att': 334, 'def': 31}",7,1,0,0,2.143,d,2020-01-26 13:00:00,0,1,0,1,0.807614
a,1.35798,1.103,1.35798,1.103,"{'att': 280, 'def': 23}","{'att': 250, 'def': 21}",5,3,0,1,1.5667999999999997,l,2020-02-01 20:00:00,0,0,1,0,0.25498
h,1.38338,1.13918,1.38338,1.13918,"{'att': 307, 'def': 33}","{'att': 220, 'def': 28}",9,5,2,1,1.5457,w,2020-02-09 17:30:00,1,0,0,3,0.24419999999999997
