h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
a,0.736026,1.24003,0.736026,1.24003,"{'att': 244, 'def': 30}","{'att': 262, 'def': 11}",2,3,2,1,0.8815999999999999,w,2019-08-18 20:00:00,1,0,0,3,-0.504004
a,1.22209,1.72798,1.22209,1.72798,"{'att': 341, 'def': 18}","{'att': 193, 'def': 25}",2,13,1,1,1.0106,d,2019-08-24 18:00:00,0,1,0,1,-0.5058900000000002
a,1.02789,2.77857,1.02789,2.77857,"{'att': 167, 'def': 19}","{'att': 185, 'def': 21}",7,8,0,2,0.2657,l,2019-08-31 18:00:00,0,0,1,0,-1.7506800000000002
h,0.790606,2.68375,0.790606,2.68375,"{'att': 214, 'def': 20}","{'att': 201, 'def': 20}",3,10,1,1,0.2215,d,2019-09-15 16:30:00,0,1,0,1,-1.893144
a,0.434119,2.03561,0.434119,1.29233,"{'att': 292, 'def': 18}","{'att': 195, 'def': 39}",1,6,0,2,0.2531,l,2019-09-21 11:00:00,0,0,1,0,-0.8582110000000001
h,1.26726,0.650478,1.26726,0.650478,"{'att': 222, 'def': 22}","{'att': 194, 'def': 26}",2,3,1,1,1.9579,d,2019-09-24 17:00:00,0,1,0,1,0.616782
a,2.13178,0.947178,1.38863,0.947178,"{'att': 269, 'def': 20}","{'att': 176, 'def': 30}",6,9,2,0,2.2879,w,2019-09-29 10:00:00,1,0,0,3,0.44145200000000007
h,0.969549,0.768197,0.226787,0.768197,"{'att': 231, 'def': 17}","{'att': 204, 'def': 29}",2,5,0,0,1.5313,d,2019-10-06 15:00:00,0,1,0,1,-0.5414100000000001
a,0.672979,1.50554,0.672979,1.50554,"{'att': 252, 'def': 18}","{'att': 217, 'def': 24}",3,1,1,1,0.7131000000000001,d,2019-10-20 17:30:00,0,1,0,1,-0.8325610000000001
h,1.95496,0.395075,1.95496,0.395075,"{'att': 261, 'def': 18}","{'att': 134, 'def': 22}",2,4,2,0,2.691,w,2019-10-26 17:30:00,1,0,0,3,1.559885
a,1.2024,3.77856,1.2024,3.77856,"{'att': 337, 'def': 26}","{'att': 242, 'def': 23}",2,12,1,5,0.1547,l,2019-10-29 20:15:00,0,0,1,0,-2.5761600000000002
h,1.96371,0.590538,1.22043,0.590538,"{'att': 203, 'def': 27}","{'att': 195, 'def': 27}",6,6,3,0,2.4547999999999996,w,2019-11-03 11:00:00,1,0,0,3,0.6298919999999999
a,0.280826,2.8505,0.280826,2.10722,"{'att': 163, 'def': 21}","{'att': 215, 'def': 27}",2,7,0,3,0.0395,l,2019-11-09 12:00:00,0,0,1,0,-1.8263939999999999
h,0.363545,1.11673,0.363545,0.373453,"{'att': 264, 'def': 34}","{'att': 197, 'def': 25}",4,7,0,1,0.5142,l,2019-11-24 20:00:00,0,0,1,0,-0.009907999999999972
a,0.263566,1.43181,0.263566,1.43181,"{'att': 284, 'def': 30}","{'att': 194, 'def': 19}",2,9,0,0,0.3974,d,2019-11-29 20:00:00,0,1,0,1,-1.168244
h,0.509978,1.87222,0.509978,1.87222,"{'att': 327, 'def': 25}","{'att': 136, 'def': 32}",1,12,0,0,0.3756,d,2019-12-08 15:00:00,0,1,0,1,-1.362242
a,0.435816,1.88065,0.435816,1.88065,"{'att': 136, 'def': 18}","{'att': 227, 'def': 38}",1,9,0,2,0.3208,l,2019-12-15 11:00:00,0,0,1,0,-1.444834
h,0.7245,0.835691,0.7245,0.835691,"{'att': 289, 'def': 25}","{'att': 220, 'def': 16}",5,4,1,1,1.0979,d,2019-12-21 20:00:00,0,1,0,1,-0.11119099999999993
h,1.56625,2.14709,1.56625,2.14709,"{'att': 140, 'def': 30}","{'att': 313, 'def': 26}",6,6,2,2,0.9284999999999999,d,2020-01-03 18:00:00,0,1,0,1,-0.58084
a,0.618269,1.59896,0.618269,1.59896,"{'att': 218, 'def': 21}","{'att': 159, 'def': 20}",2,10,0,0,0.6273,d,2020-01-18 17:30:00,0,1,0,1,-0.980691
h,0.190691,0.5486,0.190691,0.5486,"{'att': 326, 'def': 18}","{'att': 207, 'def': 35}",4,3,0,1,0.8445,l,2020-01-26 20:00:00,0,0,1,0,-0.357909
a,1.09282,0.550096,1.09282,0.550096,"{'att': 248, 'def': 22}","{'att': 181, 'def': 20}",4,2,1,0,1.8906999999999998,w,2020-02-01 17:30:00,1,0,0,3,0.5427239999999999
h,0.646254,1.38092,0.646254,1.38092,"{'att': 324, 'def': 30}","{'att': 165, 'def': 42}",2,7,1,1,0.6444,d,2020-02-08 17:30:00,0,1,0,1,-0.7346659999999999
a,0.638079,2.13521,0.638079,2.13521,"{'att': 217, 'def': 22}","{'att': 171, 'def': 31}",3,2,1,2,0.3528,l,2020-02-15 20:00:00,0,0,1,0,-1.497131
h,1.14839,1.26303,1.14839,0.519748,"{'att': 108, 'def': 8}","{'att': 220, 'def': 20}",3,1,2,1,1.1861,w,2020-02-23 15:00:00,1,0,0,3,0.628642
a,0.86626,2.56307,0.86626,2.56307,"{'att': 244, 'def': 15}","{'att': 188, 'def': 27}",0,10,0,1,0.30479999999999996,l,2020-02-28 20:00:00,0,0,1,0,-1.6968100000000002
h,2.03703,1.59457,2.03703,1.59457,"{'att': 167, 'def': 20}","{'att': 251, 'def': 32}",3,1,1,4,1.6905999999999999,l,2020-03-08 13:00:00,0,0,1,0,0.4424600000000001
a,1.23093,1.13073,1.23093,0.387455,"{'att': 269, 'def': 25}","{'att': 90, 'def': 33}",1,4,2,1,1.4278,w,2020-06-13 17:30:00,1,0,0,3,0.8434750000000001
h,0.436127,1.0575,0.436127,0.314226,"{'att': 276, 'def': 28}","{'att': 153, 'def': 18}",1,6,0,0,0.6271,d,2020-06-17 17:30:00,0,1,0,1,0.12190099999999998
a,0.281386,0.768121,0.281386,0.768121,"{'att': 330, 'def': 17}","{'att': 196, 'def': 31}",0,5,0,1,0.7964,l,2020-06-20 20:00:00,0,0,1,0,-0.48673500000000003
h,1.08861,0.675045,0.345592,0.675045,"{'att': 137, 'def': 12}","{'att': 112, 'def': 21}",2,5,1,1,1.8251,d,2020-06-23 17:30:00,0,1,0,1,-0.329453
a,0.583726,1.59745,0.583726,0.854169,"{'att': 391, 'def': 22}","{'att': 110, 'def': 21}",1,7,1,1,0.5094000000000001,d,2020-06-26 20:00:00,0,1,0,1,-0.270443
h,1.37071,0.206917,0.627435,0.206917,"{'att': 261, 'def': 16}","{'att': 193, 'def': 16}",11,6,0,0,2.5268,d,2020-07-01 20:00:00,0,1,0,1,0.42051799999999995
h,0.591015,0.311545,0.591015,0.311545,"{'att': 194, 'def': 17}","{'att': 247, 'def': 21}",0,1,1,0,1.6034,w,2020-07-04 17:30:00,1,0,0,3,0.27946999999999994
a,0.407041,1.14695,0.407041,1.14695,"{'att': 370, 'def': 21}","{'att': 264, 'def': 20}",1,3,1,2,0.5897,l,2020-07-07 17:30:00,0,0,1,0,-0.7399089999999999
h,0.849569,1.02109,0.849569,1.02109,"{'att': 447, 'def': 21}","{'att': 218, 'def': 29}",1,10,0,1,1.1818,l,2020-07-11 17:30:00,0,0,1,0,-0.17152100000000003
a,2.14787,2.6027,1.24715,1.85942,"{'att': 172, 'def': 21}","{'att': 162, 'def': 31}",2,3,1,3,0.9821,l,2020-07-16 16:30:00,0,0,1,0,-0.6122700000000001
h,0.915131,0.548953,0.915131,0.548953,"{'att': 353, 'def': 20}","{'att': 150, 'def': 16}",9,6,2,0,1.6749,w,2020-07-19 16:30:00,1,0,0,3,0.366178
