h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
h,1.17642,0.341233,1.17642,0.341233,"{'att': 214, 'def': 25}","{'att': 179, 'def': 18}",1,4,0,1,2.3667,l,2020-09-13 12:00:00,0,0,1,0,0.835187
a,0.77021,2.45453,0.77021,2.45453,"{'att': 195, 'def': 16}","{'att': 129, 'def': 23}",2,3,1,2,0.2271,l,2020-09-20 16:30:00,0,0,1,0,-1.68432
h,0.867165,1.31111,0.867165,1.31111,"{'att': 148, 'def': 23}","{'att': 113, 'def': 13}",3,2,0,0,0.9693,d,2020-09-26 11:00:00,0,1,0,1,-0.44394500000000003
a,0.618672,2.65908,0.618672,1.9158,"{'att': 359, 'def': 33}","{'att': 224, 'def': 30}",3,6,1,3,0.12919999999999998,l,2020-09-30 17:00:00,0,0,1,0,-1.2971279999999998
h,0.520642,0.487749,0.520642,0.487749,"{'att': 246, 'def': 25}","{'att': 126, 'def': 26}",3,4,1,0,1.3192,w,2020-10-04 12:00:00,1,0,0,3,0.03289300000000006
h,0.90822,0.902261,0.90822,0.902261,"{'att': 330, 'def': 35}","{'att': 234, 'def': 19}",9,1,0,2,1.3134,l,2020-10-18 16:30:00,0,0,1,0,0.005959000000000048
a,2.3128,0.305213,1.56953,0.305213,"{'att': 170, 'def': 15}","{'att': 252, 'def': 13}",4,5,2,0,2.7895999999999996,w,2020-10-25 13:00:00,1,0,0,3,1.2643170000000001
h,1.11324,2.07747,1.11324,2.07747,"{'att': 382, 'def': 18}","{'att': 100, 'def': 17}",0,24,1,1,0.6778,d,2020-10-31 20:00:00,0,1,0,1,-0.9642299999999999
a,1.01595,1.99148,1.01595,1.99148,"{'att': 239, 'def': 24}","{'att': 97, 'def': 29}",3,17,1,1,0.6385000000000001,d,2020-11-08 17:30:00,0,1,0,1,-0.97553
h,1.82668,1.79824,1.0834,1.79824,"{'att': 302, 'def': 29}","{'att': 113, 'def': 17}",2,9,2,2,1.3991,d,2020-11-22 20:00:00,0,1,0,1,-0.7148400000000001
a,2.35024,1.66068,1.60709,1.66068,"{'att': 299, 'def': 14}","{'att': 148, 'def': 14}",3,8,2,1,1.8703999999999998,w,2020-11-28 20:00:00,1,0,0,3,-0.053590000000000027
h,0.249462,1.39953,0.249462,1.39953,"{'att': 268, 'def': 17}","{'att': 133, 'def': 23}",3,6,0,0,0.3372,d,2020-12-06 20:00:00,0,1,0,1,-1.1500679999999999
a,0.171439,0.380766,0.171439,0.380766,"{'att': 347, 'def': 29}","{'att': 134, 'def': 26}",2,1,0,1,0.9571,l,2020-12-12 17:30:00,0,0,1,0,-0.20932699999999999
a,0.404844,1.62567,0.404844,1.62567,"{'att': 302, 'def': 22}","{'att': 212, 'def': 33}",7,10,0,2,0.4072,l,2020-12-20 13:00:00,0,0,1,0,-1.220826
h,1.88686,0.786669,1.88686,0.786669,"{'att': 208, 'def': 18}","{'att': 132, 'def': 30}",5,0,2,1,2.2304,w,2020-12-23 21:00:00,1,0,0,3,1.1001910000000001
a,1.35028,0.318257,0.607003,0.318257,"{'att': 104, 'def': 11}","{'att': 278, 'def': 17}",0,2,1,1,2.3642,d,2020-12-31 15:15:00,0,1,0,1,0.28874599999999995
h,0.154899,2.31899,0.154899,2.31899,"{'att': 323, 'def': 17}","{'att': 210, 'def': 37}",1,6,1,2,0.0447,l,2021-01-03 15:15:00,0,0,1,0,-2.164091
a,0.829834,2.59473,0.0865565,2.59473,"{'att': 133, 'def': 17}","{'att': 265, 'def': 20}",1,2,1,3,0.1961,l,2021-01-10 15:15:00,0,0,1,0,-2.5081735000000003
h,1.40643,1.03209,0.663276,1.03209,"{'att': 320, 'def': 22}","{'att': 158, 'def': 18}",5,4,1,2,1.6522000000000001,l,2021-01-19 20:30:00,0,0,1,0,-0.368814
h,0.762571,1.42254,0.762571,1.42254,"{'att': 405, 'def': 30}","{'att': 239, 'def': 17}",7,7,1,4,0.7601,l,2021-01-23 20:00:00,0,0,1,0,-0.6599689999999999
a,0.20139,0.530765,0.20139,0.530765,"{'att': 142, 'def': 16}","{'att': 83, 'def': 28}",1,2,0,0,0.8269,d,2021-01-31 13:00:00,0,1,0,1,-0.32937500000000003
h,1.60639,0.0534012,1.60639,0.0534012,"{'att': 151, 'def': 29}","{'att': 161, 'def': 13}",7,1,1,0,2.6447,w,2021-02-05 20:00:00,1,0,0,3,1.5529888
a,0.710997,2.86032,0.710997,2.86032,"{'att': 478, 'def': 20}","{'att': 165, 'def': 15}",4,6,1,5,0.1854,l,2021-02-13 20:00:00,0,0,1,0,-2.1493230000000003
a,0.307378,2.50353,0.307378,2.50353,"{'att': 313, 'def': 26}","{'att': 147, 'def': 26}",2,5,0,4,0.1139,l,2021-02-21 15:15:00,0,0,1,0,-2.196152
h,0.483459,0.994243,0.483459,0.994243,"{'att': 149, 'def': 21}","{'att': 184, 'def': 25}",6,1,0,1,0.6879,l,2021-02-27 17:30:00,0,0,1,0,-0.5107839999999999
a,0.798216,2.01921,0.798216,1.27593,"{'att': 400, 'def': 21}","{'att': 88, 'def': 22}",0,13,2,3,0.4765,l,2021-03-08 20:00:00,0,0,1,0,-0.47771399999999997
h,1.48992,1.74684,0.746643,1.00356,"{'att': 175, 'def': 25}","{'att': 201, 'def': 16}",2,2,1,1,1.1068,d,2021-03-13 13:00:00,0,1,0,1,-0.25691700000000006
a,1.1132,0.64656,0.369921,0.64656,"{'att': 296, 'def': 19}","{'att': 156, 'def': 33}",2,7,0,1,1.8507,l,2021-03-21 17:30:00,0,0,1,0,-0.276639
h,1.868,2.58943,1.868,2.58943,"{'att': 177, 'def': 21}","{'att': 187, 'def': 27}",9,5,1,3,0.7971,l,2021-04-04 12:00:00,0,0,1,0,-0.72143
a,0.448906,1.81094,0.448906,1.81094,"{'att': 201, 'def': 16}","{'att': 311, 'def': 27}",1,9,0,0,0.31579999999999997,d,2021-04-10 14:15:00,0,1,0,1,-1.362034
h,0.316991,0.747867,0.316991,0.747867,"{'att': 235, 'def': 21}","{'att': 226, 'def': 17}",2,3,1,0,0.7626999999999999,w,2021-04-18 14:15:00,1,0,0,3,-0.4308759999999999
h,1.40963,1.45071,1.40963,1.45071,"{'att': 306, 'def': 21}","{'att': 167, 'def': 32}",1,12,2,1,1.3308999999999997,w,2021-04-21 19:00:00,1,0,0,3,-0.041080000000000005
a,0.893913,1.00912,0.893913,1.00912,"{'att': 248, 'def': 16}","{'att': 208, 'def': 24}",2,4,1,1,1.1871,d,2021-04-24 16:30:00,0,1,0,1,-0.11520700000000006
a,0.154274,1.64332,0.154274,1.64332,"{'att': 109, 'def': 16}","{'att': 219, 'def': 28}",3,7,0,3,0.22760000000000002,l,2021-05-01 12:00:00,0,0,1,0,-1.4890459999999999
h,1.32991,0.987587,1.32991,0.987587,"{'att': 223, 'def': 19}","{'att': 208, 'def': 19}",3,5,2,2,1.6231,d,2021-05-08 12:00:00,0,1,0,1,0.34232299999999993
a,1.66141,0.886211,1.66141,0.886211,"{'att': 294, 'def': 19}","{'att': 132, 'def': 23}",2,2,2,0,2.0328,w,2021-05-11 18:00:00,1,0,0,3,0.7751990000000001
h,2.83763,0.841672,2.83763,0.841672,"{'att': 225, 'def': 17}","{'att': 255, 'def': 17}",6,1,4,2,2.6452,w,2021-05-16 16:30:00,1,0,0,3,1.995958
a,0.785012,0.35705,0.785012,0.35705,"{'att': 387, 'def': 17}","{'att': 148, 'def': 21}",2,6,0,1,1.7629,l,2021-05-23 19:00:00,0,0,1,0,0.42796200000000006
