h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
a,0.633286,0.600934,0.633286,0.600934,"{'att': 182, 'def': 27}","{'att': 140, 'def': 21}",5,4,2,0,1.3399,w,2020-09-12 19:00:00,1,0,0,3,0.03235200000000005
a,0.486466,0.702715,0.486466,0.702715,"{'att': 175, 'def': 14}","{'att': 148, 'def': 24}",3,2,0,1,1.0509,l,2020-09-19 16:30:00,0,0,1,0,-0.21624899999999997
h,0.724471,2.99435,0.724471,2.25108,"{'att': 227, 'def': 23}","{'att': 120, 'def': 20}",1,8,1,3,0.13140000000000002,l,2020-09-27 10:00:00,0,0,1,0,-1.526609
h,1.12188,0.360866,1.12188,0.360866,"{'att': 250, 'def': 35}","{'att': 116, 'def': 21}",6,8,2,0,2.1056,w,2020-10-04 10:00:00,1,0,0,3,0.761014
a,1.2646,0.371361,1.2646,0.371361,"{'att': 132, 'def': 22}","{'att': 135, 'def': 13}",6,3,0,0,2.2068000000000003,d,2020-10-18 10:00:00,0,1,0,1,0.8932389999999999
h,0.989319,0.5791,0.246042,0.5791,"{'att': 287, 'def': 26}","{'att': 145, 'def': 22}",3,5,1,0,1.8271000000000002,w,2020-10-24 16:30:00,1,0,0,3,-0.33305799999999997
h,1.42768,3.06286,1.42768,1.5763,"{'att': 331, 'def': 20}","{'att': 228, 'def': 22}",2,9,1,3,0.34809999999999997,l,2020-10-31 17:30:00,0,0,1,0,-0.14861999999999997
a,0.499107,1.151,0.499107,0.407718,"{'att': 376, 'def': 34}","{'att': 121, 'def': 16}",5,3,0,1,0.6478,l,2020-11-07 17:30:00,0,0,1,0,0.091389
h,0.878778,0.807899,0.878778,0.807899,"{'att': 221, 'def': 25}","{'att': 238, 'def': 22}",7,1,1,1,1.3508,d,2020-11-20 20:00:00,0,1,0,1,0.07087899999999991
a,1.56118,3.91416,1.56118,3.91416,"{'att': 483, 'def': 23}","{'att': 168, 'def': 13}",3,17,0,4,0.1984,l,2020-11-29 13:00:00,0,0,1,0,-2.3529799999999996
h,0.366687,1.52162,0.366687,1.52162,"{'att': 218, 'def': 26}","{'att': 193, 'def': 22}",6,6,0,2,0.3685,l,2020-12-06 15:15:00,0,0,1,0,-1.154933
a,1.33403,1.87748,1.33403,1.1342,"{'att': 189, 'def': 25}","{'att': 199, 'def': 17}",7,5,2,3,0.9526,l,2020-12-11 20:00:00,0,0,1,0,0.19982999999999995
h,0.925068,2.79417,0.181791,2.79417,"{'att': 338, 'def': 25}","{'att': 125, 'def': 17}",0,11,1,3,0.2405,l,2020-12-19 17:30:00,0,0,1,0,-2.612379
a,1.69506,1.25398,1.69506,1.25398,"{'att': 453, 'def': 33}","{'att': 140, 'def': 13}",10,6,2,2,1.6874999999999998,d,2020-12-22 16:30:00,0,1,0,1,0.4410799999999999
h,0.318257,1.35028,0.318257,0.607003,"{'att': 278, 'def': 17}","{'att': 104, 'def': 11}",2,0,1,1,0.40580000000000005,d,2020-12-31 15:15:00,0,1,0,1,-0.28874599999999995
a,0.609915,0.78536,0.609915,0.78536,"{'att': 250, 'def': 19}","{'att': 124, 'def': 19}",0,2,1,1,1.061,d,2021-01-03 17:30:00,0,1,0,1,-0.17544499999999996
h,0.589148,0.42235,0.589148,0.42235,"{'att': 414, 'def': 28}","{'att': 172, 'def': 16}",5,13,0,0,1.4723000000000002,d,2021-01-09 20:00:00,0,1,0,1,0.166798
a,0.624174,0.831007,0.624174,0.831007,"{'att': 123, 'def': 28}","{'att': 204, 'def': 16}",5,1,0,2,1.0859,l,2021-01-12 18:00:00,0,0,1,0,-0.20683300000000004
a,1.63527,0.439791,1.63527,0.439791,"{'att': 348, 'def': 23}","{'att': 178, 'def': 17}",5,7,1,1,2.4087,d,2021-01-21 18:00:00,0,1,0,1,1.195479
h,1.88102,0.592689,1.88102,0.592689,"{'att': 128, 'def': 15}","{'att': 137, 'def': 14}",5,7,3,1,2.4056,w,2021-01-24 13:00:00,1,0,0,3,1.288331
a,1.38521,1.9333,1.38521,1.9333,"{'att': 316, 'def': 20}","{'att': 161, 'def': 25}",2,8,0,1,0.9444,l,2021-02-01 20:00:00,0,0,1,0,-0.54809
h,2.62128,1.07628,2.62128,1.07628,"{'att': 157, 'def': 16}","{'att': 211, 'def': 28}",5,5,2,1,2.4678,w,2021-02-07 17:30:00,1,0,0,3,1.5450000000000002
a,0.685142,1.73006,0.685142,0.986907,"{'att': 292, 'def': 28}","{'att': 132, 'def': 23}",5,6,1,0,0.49670000000000003,w,2021-02-14 17:30:00,1,0,0,3,-0.30176499999999995
h,0.457508,1.05344,0.457508,1.05344,"{'att': 339, 'def': 27}","{'att': 191, 'def': 24}",3,4,0,2,0.7769999999999999,l,2021-02-22 20:00:00,0,0,1,0,-0.5959319999999999
