h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
h,3.46484,0.902312,3.46484,0.902312,"{'att': 192, 'def': 28}","{'att': 324, 'def': 27}",7,3,4,2,2.8178,w,2021-08-15 18:00:00,1,0,0,3,2.5625280000000004
a,1.18383,1.43436,1.18383,1.43436,"{'att': 109, 'def': 18}","{'att': 370, 'def': 28}",3,7,1,1,1.1960000000000002,d,2021-08-21 20:00:00,0,1,0,1,-0.25053000000000014
h,1.05122,0.283315,1.05122,0.283315,"{'att': 186, 'def': 34}","{'att': 453, 'def': 43}",4,3,2,1,2.1061,w,2021-08-29 15:00:00,1,0,0,3,0.7679050000000001
h,1.88236,0.612728,1.88236,0.612728,"{'att': 81, 'def': 25}","{'att': 316, 'def': 27}",10,0,1,1,2.3954000000000004,d,2021-09-20 19:00:00,0,1,0,1,1.269632
a,0.361756,1.40061,0.361756,1.40061,"{'att': 137, 'def': 18}","{'att': 315, 'def': 19}",5,3,0,0,0.4788,d,2021-09-23 20:00:00,0,1,0,1,-1.038854
h,3.11328,0.712689,2.37,0.712689,"{'att': 172, 'def': 22}","{'att': 421, 'def': 32}",5,5,3,0,2.7681,w,2021-09-26 14:15:00,1,0,0,3,1.657311
a,0.74746,1.37412,0.74746,1.37412,"{'att': 183, 'def': 12}","{'att': 396, 'def': 14}",5,4,0,2,0.7987,l,2021-10-02 19:00:00,0,0,1,0,-0.62666
h,2.37862,0.378333,1.63534,0.378333,"{'att': 194, 'def': 16}","{'att': 325, 'def': 27}",14,3,3,1,2.7688,w,2021-10-17 19:00:00,1,0,0,3,1.257007
h,1.58789,1.5463,1.58789,1.5463,"{'att': 286, 'def': 41}","{'att': 200, 'def': 10}",12,9,1,2,1.3876000000000002,l,2021-10-24 14:15:00,0,0,1,0,0.041590000000000016
a,2.85731,0.786282,2.11404,0.786282,"{'att': 113, 'def': 24}","{'att': 374, 'def': 34}",9,5,0,1,2.6883,l,2021-10-27 17:00:00,0,0,1,0,1.3277580000000002
h,1.56007,0.599628,1.56007,0.599628,"{'att': 97, 'def': 16}","{'att': 391, 'def': 11}",10,2,1,1,2.1792,d,2021-10-30 19:00:00,0,1,0,1,0.960442
a,1.13925,1.77068,1.13925,1.77068,"{'att': 300, 'def': 30}","{'att': 287, 'def': 42}",9,5,3,3,0.8786,d,2021-11-06 15:15:00,0,1,0,1,-0.6314299999999999
h,1.51262,1.41291,0.769337,1.41291,"{'att': 194, 'def': 31}","{'att': 322, 'def': 19}",17,5,1,0,1.4364,w,2021-11-20 20:00:00,1,0,0,3,-0.6435730000000001
a,3.37249,1.55977,2.62922,1.55977,"{'att': 235, 'def': 18}","{'att': 210, 'def': 34}",6,8,3,1,2.5089,w,2021-11-27 20:00:00,1,0,0,3,1.06945
h,1.20871,0.642697,1.20871,0.642697,"{'att': 180, 'def': 34}","{'att': 373, 'def': 27}",8,5,0,1,1.8632000000000002,l,2021-12-04 15:15:00,0,0,1,0,0.566013
a,1.3894,0.367626,1.3894,0.367626,"{'att': 127, 'def': 20}","{'att': 288, 'def': 30}",7,2,2,2,2.3462,d,2021-12-12 15:15:00,0,1,0,1,1.021774
h,2.96397,1.26552,2.96397,1.26552,"{'att': 137, 'def': 31}","{'att': 430, 'def': 24}",12,3,3,2,2.4619999999999997,w,2021-12-18 17:30:00,1,0,0,3,1.6984500000000002
a,1.90576,0.299426,1.90576,0.299426,"{'att': 218, 'def': 26}","{'att': 264, 'def': 21}",6,0,1,1,2.6311,d,2021-12-21 22:30:00,0,1,0,1,1.606334
a,1.61795,0.988536,1.61795,0.988536,"{'att': 151, 'def': 30}","{'att': 308, 'def': 29}",3,3,1,0,1.8828,w,2022-01-02 20:00:00,1,0,0,3,0.629414
a,0.967234,0.747757,0.967234,0.747757,"{'att': 147, 'def': 26}","{'att': 320, 'def': 23}",1,4,1,1,1.5564,d,2022-01-08 17:30:00,0,1,0,1,0.21947700000000003
a,1.14948,0.733223,1.14948,0.733223,"{'att': 89, 'def': 14}","{'att': 434, 'def': 22}",6,4,1,0,1.7449,w,2022-01-23 20:00:00,1,0,0,3,0.4162570000000001
h,0.926663,1.61465,0.926663,1.61465,"{'att': 225, 'def': 21}","{'att': 261, 'def': 20}",6,4,4,2,0.779,w,2022-02-06 15:15:00,1,0,0,3,-0.6879869999999999
a,1.62221,0.624266,1.62221,0.624266,"{'att': 156, 'def': 22}","{'att': 281, 'def': 13}",6,8,2,2,2.2107,d,2022-02-13 20:00:00,0,1,0,1,0.9979439999999999
a,2.4686,0.774868,2.4686,0.774868,"{'att': 117, 'def': 24}","{'att': 258, 'def': 34}",9,5,4,1,2.6409000000000002,w,2022-02-20 15:15:00,1,0,0,3,1.6937319999999998
h,3.24274,0.332521,3.24274,0.332521,"{'att': 163, 'def': 26}","{'att': 538, 'def': 29}",8,1,4,0,2.9107000000000003,w,2022-02-27 20:00:00,1,0,0,3,2.910219
a,4.0864,0.850008,3.34312,0.850008,"{'att': 120, 'def': 17}","{'att': 325, 'def': 15}",11,7,2,1,2.8891,w,2022-03-06 15:15:00,1,0,0,3,2.493112
h,3.90343,0.110884,3.16016,0.110884,"{'att': 211, 'def': 33}","{'att': 503, 'def': 15}",17,0,4,0,2.9852,w,2022-03-13 20:00:00,1,0,0,3,3.049276
a,4.25983,0.627785,4.25983,0.627785,"{'att': 315, 'def': 22}","{'att': 444, 'def': 18}",12,6,4,0,2.9259,w,2022-03-20 20:00:00,1,0,0,3,3.6320449999999997
h,1.93362,0.488161,1.93362,0.488161,"{'att': 290, 'def': 32}","{'att': 289, 'def': 18}",11,5,1,0,2.4443,w,2022-04-03 19:00:00,1,0,0,3,1.4454589999999998
a,1.36074,2.98698,1.36074,0.757149,"{'att': 190, 'def': 11}","{'att': 361, 'def': 16}",6,5,3,2,0.3469,w,2022-04-10 19:00:00,1,0,0,3,0.6035910000000001
h,1.35403,1.92768,1.35403,1.92768,"{'att': 105, 'def': 39}","{'att': 366, 'def': 14}",10,4,0,1,0.8562000000000001,l,2022-04-18 19:00:00,0,0,1,0,-0.57365
a,1.96498,1.0324,1.96498,1.0324,"{'att': 327, 'def': 20}","{'att': 215, 'def': 30}",8,7,1,0,2.1067,w,2022-04-21 19:30:00,1,0,0,3,0.93258
h,1.10806,0.247749,1.10806,0.247749,"{'att': 136, 'def': 21}","{'att': 382, 'def': 31}",13,1,0,1,2.1121000000000003,l,2022-04-24 19:00:00,0,0,1,0,0.860311
h,1.64114,1.23981,1.64114,1.23981,"{'att': 157, 'def': 28}","{'att': 338, 'def': 17}",11,4,2,1,1.6446,w,2022-05-01 19:00:00,1,0,0,3,0.40132999999999996
a,1.19659,0.627814,1.19659,0.627814,"{'att': 219, 'def': 28}","{'att': 305, 'def': 24}",9,7,2,1,1.8740999999999999,w,2022-05-07 19:00:00,1,0,0,3,0.5687760000000001
h,1.23358,0.851127,1.23358,0.851127,"{'att': 273, 'def': 38}","{'att': 312, 'def': 23}",8,7,3,1,1.6636,w,2022-05-10 19:30:00,1,0,0,3,0.38245299999999993
a,0.19547,0.237476,0.19547,0.237476,"{'att': 215, 'def': 10}","{'att': 625, 'def': 19}",3,3,0,0,1.124,d,2022-05-15 17:30:00,0,1,0,1,-0.04200599999999999
h,0.628178,0.68657,0.628178,0.68657,"{'att': 182, 'def': 25}","{'att': 325, 'def': 9}",10,4,0,2,1.1925,l,2022-05-22 20:00:00,0,0,1,0,-0.058392
