h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
h,0.933565,0.634866,0.933565,0.634866,"{'att': 182, 'def': 15}","{'att': 239, 'def': 29}",4,4,0,0,1.6812,d,2021-08-16 20:00:00,0,1,0,1,0.29869899999999994
a,0.168373,1.04508,0.168373,1.04508,"{'att': 259, 'def': 16}","{'att': 435, 'def': 37}",0,5,0,1,0.4325,l,2021-08-22 17:30:00,0,0,1,0,-0.876707
h,0.855435,1.70035,0.855435,1.70035,"{'att': 441, 'def': 13}","{'att': 136, 'def': 24}",2,13,1,1,0.6987,d,2021-08-28 17:30:00,0,1,0,1,-0.8449150000000001
a,1.07401,0.3796,1.07401,0.3796,"{'att': 300, 'def': 16}","{'att': 240, 'def': 29}",5,2,1,0,2.0732,w,2021-09-13 18:00:00,1,0,0,3,0.69441
h,0.536512,1.12463,0.536512,1.12463,"{'att': 247, 'def': 11}","{'att': 263, 'def': 16}",2,7,1,1,0.8063,d,2021-09-18 16:30:00,0,1,0,1,-0.588118
a,1.09551,2.77855,1.09551,2.77855,"{'att': 300, 'def': 26}","{'att': 211, 'def': 35}",2,8,1,4,0.3179,l,2021-09-22 20:00:00,0,0,1,0,-1.68304
a,0.573483,2.11835,0.573483,2.11835,"{'att': 308, 'def': 18}","{'att': 155, 'def': 21}",1,4,0,1,0.24380000000000002,l,2021-09-26 16:30:00,0,0,1,0,-1.544867
h,1.39817,0.713553,1.39817,0.713553,"{'att': 236, 'def': 27}","{'att': 167, 'def': 30}",4,4,1,0,1.9524,w,2021-10-03 12:00:00,1,0,0,3,0.6846169999999999
a,0.326072,1.10651,0.326072,1.10651,"{'att': 183, 'def': 20}","{'att': 179, 'def': 25}",4,6,1,2,0.5725,l,2021-10-17 12:00:00,0,0,1,0,-0.7804380000000002
h,0.998945,1.05435,0.998945,1.05435,"{'att': 223, 'def': 25}","{'att': 364, 'def': 21}",6,2,2,2,1.3129,d,2021-10-23 16:30:00,0,1,0,1,-0.055404999999999927
a,0.281657,1.81349,0.281657,1.81349,"{'att': 171, 'def': 22}","{'att': 280, 'def': 25}",0,7,0,1,0.2294,l,2021-10-26 17:00:00,0,0,1,0,-1.531833
h,1.15068,1.60735,1.15068,1.60735,"{'att': 352, 'def': 20}","{'att': 256, 'def': 22}",6,10,1,2,1.0067,l,2021-10-30 12:00:00,0,0,1,0,-0.45667000000000013
a,0.679919,2.04894,0.679919,1.30567,"{'att': 205, 'def': 22}","{'att': 208, 'def': 31}",2,7,2,2,0.3961,d,2021-11-07 17:30:00,0,1,0,1,-0.6257510000000001
