h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
a,0.484078,3.67402,0.484078,2.93074,"{'att': 462, 'def': 14}","{'att': 128, 'def': 22}",0,10,0,3,0.035,l,2021-08-15 20:15:00,0,0,1,0,-2.446662
a,0.76322,2.26913,0.76322,1.52585,"{'att': 269, 'def': 27}","{'att': 138, 'def': 27}",2,12,0,1,0.3518,l,2021-08-22 15:00:00,0,0,1,0,-0.7626299999999999
h,2.19631,0.586302,1.45304,0.586302,"{'att': 205, 'def': 31}","{'att': 168, 'def': 23}",5,6,4,0,2.5349,w,2021-08-29 17:30:00,1,0,0,3,0.8667380000000001
a,2.7683,1.10993,2.7683,0.366653,"{'att': 155, 'def': 28}","{'att': 227, 'def': 23}",3,4,1,1,2.499,d,2021-09-11 16:30:00,0,1,0,1,2.401647
h,1.98661,1.15428,1.24334,0.411,"{'att': 131, 'def': 15}","{'att': 140, 'def': 28}",5,4,3,0,2.0531,w,2021-09-18 12:00:00,1,0,0,3,0.8323399999999999
a,1.04121,0.956027,1.04121,0.956027,"{'att': 196, 'def': 34}","{'att': 245, 'def': 35}",1,2,2,1,1.4341,w,2021-09-21 20:00:00,1,0,0,3,0.08518300000000001
h,1.89007,1.09997,1.89007,1.09997,"{'att': 127, 'def': 26}","{'att': 243, 'def': 34}",6,2,3,1,2.068,w,2021-09-26 16:30:00,1,0,0,3,0.7901
a,0.148539,0.657174,0.148539,0.657174,"{'att': 186, 'def': 10}","{'att': 188, 'def': 36}",3,5,0,1,0.6660999999999999,l,2021-10-02 12:00:00,0,0,1,0,-0.5086350000000001
h,1.10651,0.326072,1.10651,0.326072,"{'att': 179, 'def': 25}","{'att': 183, 'def': 20}",6,4,2,1,2.122,w,2021-10-17 12:00:00,1,0,0,3,0.7804380000000002
a,1.16768,1.43375,1.16768,0.690476,"{'att': 236, 'def': 22}","{'att': 266, 'def': 21}",2,6,2,3,1.0972,l,2021-10-24 16:30:00,0,0,1,0,0.4772040000000001
h,0.786282,2.85731,0.786282,2.11404,"{'att': 374, 'def': 34}","{'att': 113, 'def': 24}",5,9,1,0,0.20879999999999999,w,2021-10-27 17:00:00,1,0,0,3,-1.3277580000000002
h,0.467972,0.43779,0.467972,0.43779,"{'att': 138, 'def': 16}","{'att': 182, 'def': 26}",4,2,0,0,1.2895,d,2021-11-01 17:30:00,0,1,0,1,0.030181999999999987
a,1.78044,2.72626,1.78044,2.72626,"{'att': 312, 'def': 24}","{'att': 242, 'def': 14}",2,8,1,2,0.8130999999999999,l,2021-11-06 20:00:00,0,0,1,0,-0.9458199999999999
h,1.94957,0.827606,1.20629,0.827606,"{'att': 164, 'def': 29}","{'att': 177, 'def': 36}",10,6,3,1,2.2325,w,2021-11-22 20:00:00,1,0,0,3,0.37868400000000013
a,2.02852,1.58132,2.02852,0.838044,"{'att': 129, 'def': 21}","{'att': 182, 'def': 25}",9,8,1,1,1.731,d,2021-11-27 15:15:00,0,1,0,1,1.1904759999999999
