h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
h,1.21791,0.246735,1.21791,0.246735,"{'att': 159, 'def': 37}","{'att': 285, 'def': 31}",7,3,0,0,2.2371999999999996,d,2021-08-16 18:00:00,0,1,0,1,0.971175
a,0.597171,1.68861,0.597171,1.68861,"{'att': 158, 'def': 21}","{'att': 253, 'def': 17}",8,4,0,0,0.5388000000000001,d,2021-08-21 17:30:00,0,1,0,1,-1.0914389999999998
a,0.448731,1.773,0.448731,1.773,"{'att': 227, 'def': 13}","{'att': 307, 'def': 22}",4,14,2,2,0.368,d,2021-08-29 20:00:00,0,1,0,1,-1.324269
a,1.63437,0.529054,1.63437,0.529054,"{'att': 159, 'def': 25}","{'att': 311, 'def': 26}",10,3,0,0,2.3468,d,2021-09-19 12:00:00,0,1,0,1,1.1053160000000002
h,2.77855,1.09551,2.77855,1.09551,"{'att': 211, 'def': 35}","{'att': 300, 'def': 26}",8,2,4,1,2.5465999999999998,w,2021-09-22 20:00:00,1,0,0,3,1.68304
a,0.666401,1.53636,0.666401,1.53636,"{'att': 222, 'def': 19}","{'att': 348, 'def': 35}",6,9,0,0,0.5987,d,2021-09-25 19:00:00,0,1,0,1,-0.8699589999999999
h,2.58641,0.527081,2.58641,0.527081,"{'att': 253, 'def': 38}","{'att': 365, 'def': 18}",7,3,2,0,2.7002,w,2021-10-03 16:30:00,1,0,0,3,2.059329
h,0.713142,0.957297,0.713142,0.957297,"{'att': 85, 'def': 16}","{'att': 330, 'def': 22}",10,4,1,2,1.0592000000000001,l,2021-10-17 16:30:00,0,0,1,0,-0.2441549999999999
a,0.605636,2.64328,0.605636,1.15673,"{'att': 254, 'def': 9}","{'att': 278, 'def': 28}",4,9,1,2,0.16699999999999998,l,2021-10-23 19:00:00,0,0,1,0,-0.5510940000000001
h,1.95102,1.53615,1.95102,1.53615,"{'att': 83, 'def': 19}","{'att': 317, 'def': 16}",16,4,3,3,1.6557000000000002,d,2021-10-26 19:30:00,0,1,0,1,0.41487000000000007
a,0.804209,1.66395,0.804209,0.920672,"{'att': 50, 'def': 24}","{'att': 277, 'def': 23}",5,0,0,2,0.6156,l,2021-10-30 16:30:00,0,0,1,0,-0.1164630000000001
h,1.49263,0.153162,1.49263,0.153162,"{'att': 161, 'def': 33}","{'att': 382, 'def': 39}",11,1,1,0,2.4894000000000003,w,2021-11-07 13:00:00,1,0,0,3,1.3394679999999999
a,2.71931,0.90981,2.71931,0.90981,"{'att': 261, 'def': 28}","{'att': 159, 'def': 30}",10,3,1,1,2.5873,d,2021-11-20 13:00:00,0,1,0,1,1.8095
h,1.55977,3.37249,1.55977,2.62922,"{'att': 210, 'def': 34}","{'att': 235, 'def': 18}",8,6,1,3,0.3618,l,2021-11-27 20:00:00,0,0,1,0,-1.06945
a,1.90918,0.46965,1.90918,0.46965,"{'att': 213, 'def': 26}","{'att': 236, 'def': 24}",7,2,0,1,2.5798,l,2021-12-04 13:00:00,0,0,1,0,1.43953
h,2.10964,1.41255,1.36649,1.41255,"{'att': 189, 'def': 31}","{'att': 230, 'def': 23}",5,6,2,0,1.9108,w,2021-12-12 13:00:00,1,0,0,3,-0.04605999999999999
a,3.02243,1.34561,3.02243,1.34561,"{'att': 136, 'def': 25}","{'att': 227, 'def': 23}",14,4,3,1,2.4436,w,2021-12-18 15:15:00,1,0,0,3,1.67682
h,3.87986,0.310052,3.87986,0.310052,"{'att': 188, 'def': 23}","{'att': 323, 'def': 20}",18,2,5,2,2.9707999999999997,w,2021-12-21 20:00:00,1,0,0,3,3.569808
h,4.19047,0.423407,4.19047,0.423407,"{'att': 215, 'def': 15}","{'att': 305, 'def': 28}",18,3,5,0,2.9599,w,2022-01-03 18:00:00,1,0,0,3,3.7670630000000003
h,2.56125,0.882404,1.81797,0.882404,"{'att': 198, 'def': 29}","{'att': 297, 'def': 17}",6,5,2,2,2.5412999999999997,d,2022-01-09 20:00:00,0,1,0,1,0.9355660000000001
a,0.755426,0.204155,0.755426,0.204155,"{'att': 212, 'def': 25}","{'att': 211, 'def': 20}",5,0,0,1,1.9285999999999999,l,2022-01-16 18:00:00,0,0,1,0,0.5512710000000001
h,2.19824,1.59983,1.45496,1.59983,"{'att': 220, 'def': 30}","{'att': 248, 'def': 30}",9,3,3,0,1.8410000000000002,w,2022-01-22 15:15:00,1,0,0,3,-0.14487000000000005
a,1.34131,0.737524,1.34131,0.737524,"{'att': 325, 'def': 32}","{'att': 193, 'def': 35}",4,5,2,0,1.9067,w,2022-02-06 17:30:00,1,0,0,3,0.603786
h,0.460031,2.11101,0.460031,2.11101,"{'att': 341, 'def': 15}","{'att': 230, 'def': 21}",7,4,0,0,0.2977,d,2022-02-12 15:15:00,0,1,0,1,-1.6509789999999998
a,5.34192,2.12749,3.85537,1.38421,"{'att': 128, 'def': 12}","{'att': 293, 'def': 25}",7,4,4,1,2.847,w,2022-02-19 13:00:00,1,0,0,3,2.4711600000000002
h,4.80545,0.641431,4.80545,0.641431,"{'att': 179, 'def': 22}","{'att': 364, 'def': 28}",20,2,5,1,2.9808999999999997,w,2022-02-27 13:00:00,1,0,0,3,4.164019000000001
a,0.522906,1.52659,0.522906,1.52659,"{'att': 105, 'def': 11}","{'att': 400, 'def': 26}",10,4,0,1,0.5753,l,2022-03-05 13:00:00,0,0,1,0,-1.0036839999999998
h,1.16993,0.933297,1.16993,0.933297,"{'att': 234, 'def': 14}","{'att': 227, 'def': 32}",6,6,1,0,1.5611,w,2022-03-12 17:30:00,1,0,0,3,0.23663299999999987
a,0.192945,1.4273,0.192945,1.4273,"{'att': 233, 'def': 30}","{'att': 311, 'def': 22}",6,3,0,1,0.29369999999999996,l,2022-03-20 15:15:00,0,0,1,0,-1.234355
a,1.10171,1.71737,1.10171,1.71737,"{'att': 191, 'def': 26}","{'att': 219, 'def': 23}",15,2,0,2,0.8014000000000001,l,2022-04-02 14:15:00,0,0,1,0,-0.6156600000000001
h,0.919935,2.04982,0.919935,2.04982,"{'att': 191, 'def': 22}","{'att': 373, 'def': 26}",2,6,1,1,0.5238,d,2022-04-09 16:30:00,0,1,0,1,-1.129885
a,2.82388,0.939154,2.82388,0.939154,"{'att': 179, 'def': 15}","{'att': 374, 'def': 39}",9,6,2,1,2.6357,w,2022-04-16 19:00:00,1,0,0,3,1.884726
h,2.79507,0.313345,2.05179,0.313345,"{'att': 231, 'def': 22}","{'att': 411, 'def': 36}",3,3,2,0,2.8516,w,2022-04-19 19:30:00,1,0,0,3,1.738445
a,1.14043,1.85307,1.14043,1.85307,"{'att': 117, 'def': 10}","{'att': 304, 'def': 21}",11,5,1,2,0.793,l,2022-04-30 12:00:00,0,0,1,0,-0.7126399999999999
h,2.70051,0.986887,2.70051,0.986887,"{'att': 225, 'def': 19}","{'att': 248, 'def': 21}",10,4,1,1,2.5312,d,2022-05-08 14:15:00,0,1,0,1,1.7136230000000001
a,2.9178,1.8933,2.9178,1.8933,"{'att': 239, 'def': 19}","{'att': 194, 'def': 31}",8,6,5,1,2.1078,w,2022-05-12 18:00:00,1,0,0,3,1.0245000000000002
h,1.01013,2.72677,1.01013,2.72677,"{'att': 209, 'def': 18}","{'att': 183, 'def': 27}",6,5,1,2,0.2891,l,2022-05-15 17:30:00,0,0,1,0,-1.7166400000000002
a,0.68657,0.628178,0.68657,0.628178,"{'att': 325, 'def': 9}","{'att': 182, 'def': 25}",4,10,2,0,1.4091,w,2022-05-22 20:00:00,1,0,0,3,0.058392
