h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
h,1.60559,0.476414,1.60559,0.476414,"{'att': 132, 'def': 19}","{'att': 163, 'def': 15}",8,1,0,0,2.3017,d,2022-08-15 15:30:00,0,1,0,1,1.1291760000000002
h,0.761587,0.676158,0.761587,0.676158,"{'att': 285, 'def': 18}","{'att': 151, 'def': 25}",10,3,1,0,1.3922,w,2022-08-21 15:30:00,1,0,0,3,0.08542899999999998
a,3.18677,0.239303,2.44349,0.239303,"{'att': 190, 'def': 15}","{'att': 308, 'def': 20}",8,2,4,0,2.9371,w,2022-08-29 18:00:00,1,0,0,3,2.204187
h,1.24661,1.11365,1.24661,1.11365,"{'att': 121, 'def': 18}","{'att': 274, 'def': 18}",11,5,0,1,1.4682,l,2022-09-04 14:15:00,0,0,1,0,0.13295999999999997
a,3.2386,0.748083,2.49532,0.748083,"{'att': 211, 'def': 17}","{'att': 259, 'def': 28}",9,6,4,1,2.8129,w,2022-09-11 14:15:00,1,0,0,3,1.747237
h,2.17305,0.62187,2.17305,0.62187,"{'att': 274, 'def': 21}","{'att': 172, 'def': 25}",4,6,3,2,2.4606,w,2022-09-17 19:00:00,1,0,0,3,1.55118
h,2.55531,0.42606,1.81204,0.42606,"{'att': 196, 'def': 27}","{'att': 232, 'def': 10}",9,3,4,0,2.7903000000000002,w,2022-09-30 19:00:00,1,0,0,3,1.38598
a,1.91863,1.35598,1.91863,1.35598,"{'att': 179, 'def': 25}","{'att': 216, 'def': 17}",6,8,1,1,1.7516999999999998,d,2022-10-08 16:30:00,0,1,0,1,0.5626500000000001
h,1.33263,0.463248,1.33263,0.463248,"{'att': 207, 'def': 29}","{'att': 232, 'def': 20}",9,5,0,1,2.1209000000000002,l,2022-10-15 19:00:00,0,0,1,0,0.869382
a,1.10208,0.753077,1.10208,0.753077,"{'att': 184, 'def': 10}","{'att': 305, 'def': 22}",3,7,2,2,1.6720000000000002,d,2022-10-18 18:00:00,0,1,0,1,0.34900299999999995
a,0.240803,2.13539,0.240803,2.13539,"{'att': 474, 'def': 32}","{'att': 172, 'def': 14}",3,7,0,4,0.15760000000000002,l,2022-10-23 19:00:00,0,0,1,0,-1.894587
h,2.05689,0.221451,2.05689,0.221451,"{'att': 338, 'def': 31}","{'att': 186, 'def': 12}",7,5,1,0,2.6750999999999996,w,2022-10-30 17:30:00,1,0,0,3,1.835439
a,0.81175,1.06554,0.81175,1.06554,"{'att': 204, 'def': 22}","{'att': 268, 'def': 13}",3,6,1,2,1.1192000000000002,l,2022-11-04 20:00:00,0,0,1,0,-0.25378999999999996
h,2.65727,0.481138,2.65727,0.481138,"{'att': 237, 'def': 31}","{'att': 168, 'def': 16}",13,3,3,0,2.7446,w,2022-11-08 19:00:00,1,0,0,3,2.176132
a,0.358148,0.541791,0.358148,0.541791,"{'att': 243, 'def': 36}","{'att': 188, 'def': 17}",5,5,0,0,1.0521,d,2022-12-29 18:15:00,0,1,0,1,-0.183643
h,1.17556,0.427681,1.17556,0.427681,"{'att': 154, 'def': 20}","{'att': 241, 'def': 24}",7,2,0,0,2.009,d,2023-01-09 20:00:00,0,1,0,1,0.747879
a,0.265103,1.88839,0.265103,1.14511,"{'att': 297, 'def': 20}","{'att': 182, 'def': 31}",4,5,1,3,0.1991,l,2023-01-14 20:00:00,0,0,1,0,-0.8800070000000001
h,1.15604,0.946951,1.15604,0.946951,"{'att': 278, 'def': 30}","{'att': 205, 'def': 11}",8,5,0,2,1.4966999999999997,l,2023-01-22 20:00:00,0,0,1,0,0.20908899999999997
a,0.232576,0.614646,0.232576,0.614646,"{'att': 218, 'def': 30}","{'att': 190, 'def': 19}",5,8,0,1,0.8104,l,2023-01-29 17:30:00,0,0,1,0,-0.38207
h,2.30209,1.55348,2.30209,1.55348,"{'att': 305, 'def': 18}","{'att': 181, 'def': 22}",3,7,4,1,1.9531000000000003,w,2023-02-03 20:00:00,1,0,0,3,0.7486100000000002
a,1.34748,1.6755,1.34748,1.6755,"{'att': 173, 'def': 26}","{'att': 241, 'def': 29}",4,8,2,1,1.1071,w,2023-02-11 20:00:00,1,0,0,3,-0.32802
a,1.00816,1.06493,1.00816,1.06493,"{'att': 343, 'def': 19}","{'att': 250, 'def': 19}",6,8,0,1,1.3054,l,2023-02-19 17:30:00,0,0,1,0,-0.05676999999999999
h,1.34464,1.33877,1.34464,1.33877,"{'att': 191, 'def': 34}","{'att': 212, 'def': 21}",3,5,2,3,1.3442,l,2023-02-26 13:00:00,0,0,1,0,0.005870000000000042
a,1.25683,0.853959,1.25683,0.853959,"{'att': 200, 'def': 40}","{'att': 178, 'def': 18}",4,2,0,0,1.7235999999999998,d,2023-03-05 17:30:00,0,1,0,1,0.40287099999999987
h,1.13701,0.724931,1.13701,0.724931,"{'att': 367, 'def': 31}","{'att': 148, 'def': 11}",7,4,0,1,1.7057,l,2023-03-12 20:00:00,0,0,1,0,0.4120790000000001
a,2.34513,1.08382,1.60185,1.08382,"{'att': 234, 'def': 30}","{'att': 196, 'def': 21}",10,3,3,1,2.3022,w,2023-03-17 20:00:00,1,0,0,3,0.51803
h,0.751393,0.723494,0.751393,0.723494,"{'att': 112, 'def': 19}","{'att': 247, 'def': 20}",13,1,0,0,1.3241,d,2023-04-01 14:15:00,0,1,0,1,0.027899000000000007
a,2.73876,1.16752,2.73876,1.16752,"{'att': 260, 'def': 25}","{'att': 245, 'def': 17}",14,3,2,1,2.5579,w,2023-04-08 14:15:00,1,0,0,3,1.5712400000000002
h,1.00026,1.71232,1.00026,1.71232,"{'att': 174, 'def': 38}","{'att': 197, 'def': 29}",6,6,2,0,0.7749999999999999,w,2023-04-15 14:15:00,1,0,0,3,-0.7120600000000001
a,1.83476,0.573355,1.83476,0.573355,"{'att': 250, 'def': 26}","{'att': 211, 'def': 14}",8,5,2,1,2.3413,w,2023-04-22 14:15:00,1,0,0,3,1.2614049999999999
h,0.194682,1.00143,0.194682,0.258149,"{'att': 191, 'def': 20}","{'att': 230, 'def': 26}",3,4,0,1,0.4022,l,2023-04-27 20:00:00,0,0,1,0,-0.06346700000000002
a,1.3765,1.2911,0.633225,1.2911,"{'att': 131, 'def': 22}","{'att': 320, 'def': 14}",4,6,1,1,1.4369999999999998,d,2023-05-01 17:00:00,0,1,0,1,-0.6578749999999999
h,1.01449,0.753982,1.01449,0.753982,"{'att': 139, 'def': 19}","{'att': 288, 'def': 15}",8,5,0,1,1.5430000000000001,l,2023-05-04 20:00:00,0,0,1,0,0.26050799999999985
a,1.82199,3.09272,1.07871,3.09272,"{'att': 287, 'def': 32}","{'att': 167, 'def': 18}",3,14,1,5,0.5728,l,2023-05-13 16:30:00,0,0,1,0,-2.01401
h,1.04201,0.283064,1.04201,0.283064,"{'att': 283, 'def': 25}","{'att': 266, 'def': 28}",2,2,2,1,2.0974,w,2023-05-20 14:15:00,1,0,0,3,0.7589460000000001
a,0.534145,0.906699,0.534145,0.906699,"{'att': 211, 'def': 26}","{'att': 263, 'def': 34}",6,4,0,2,0.9161999999999999,l,2023-05-25 19:30:00,0,0,1,0,-0.37255400000000005
h,2.91389,0.769369,2.91389,0.769369,"{'att': 180, 'def': 29}","{'att': 272, 'def': 22}",9,2,0,1,2.7253,l,2023-05-28 17:00:00,0,0,1,0,2.144521
a,2.17987,1.72224,1.43659,0.978957,"{'att': 399, 'def': 24}","{'att': 189, 'def': 27}",9,9,1,1,1.7335,d,2023-06-04 18:00:00,0,1,0,1,0.45763300000000007
