h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
h,0.294358,2.64367,0.294358,2.64367,"{'att': 230, 'def': 19}","{'att': 157, 'def': 37}",1,15,0,1,0.10799999999999998,l,2022-08-14 15:30:00,0,0,1,0,-2.3493120000000003
a,1.01741,2.92362,1.01741,1.43707,"{'att': 201, 'def': 11}","{'att': 185, 'def': 29}",1,6,0,2,0.231,l,2022-08-20 15:30:00,0,0,1,0,-0.41966000000000014
h,0.239303,3.18677,0.239303,2.44349,"{'att': 308, 'def': 20}","{'att': 190, 'def': 15}",2,8,0,4,0.0376,l,2022-08-29 18:00:00,0,0,1,0,-2.204187
a,0.234828,1.50986,0.234828,1.50986,"{'att': 326, 'def': 39}","{'att': 191, 'def': 15}",2,5,0,3,0.28900000000000003,l,2022-09-02 19:00:00,0,0,1,0,-1.275032
h,0.24818,2.66856,0.24818,2.66856,"{'att': 297, 'def': 25}","{'att': 99, 'def': 17}",1,9,0,4,0.0786,l,2022-09-10 16:30:00,0,0,1,0,-2.4203799999999998
a,0.523314,1.98829,0.523314,1.98829,"{'att': 251, 'def': 22}","{'att': 164, 'def': 25}",6,3,1,0,0.3973,w,2022-09-16 19:00:00,1,0,0,3,-1.464976
h,1.06071,1.43089,1.06071,1.43089,"{'att': 261, 'def': 30}","{'att': 170, 'def': 13}",0,5,0,0,1.0551,d,2022-10-01 12:00:00,0,1,0,1,-0.37017999999999995
h,1.33811,1.47057,1.33811,1.47057,"{'att': 189, 'def': 17}","{'att': 177, 'def': 24}",5,3,2,2,1.26,d,2022-10-09 14:15:00,0,1,0,1,-0.13246000000000002
a,1.3467,2.36044,1.3467,1.61717,"{'att': 227, 'def': 9}","{'att': 135, 'def': 25}",4,5,1,1,0.6757,d,2022-10-15 12:00:00,0,1,0,1,-0.27047
h,0.74688,1.22222,0.74688,1.22222,"{'att': 278, 'def': 18}","{'att': 172, 'def': 14}",8,4,0,0,0.9136,d,2022-10-19 17:00:00,0,1,0,1,-0.4753400000000001
a,0.642193,3.88516,0.642193,3.14188,"{'att': 220, 'def': 8}","{'att': 154, 'def': 26}",1,14,1,5,0.039099999999999996,l,2022-10-22 12:00:00,0,0,1,0,-2.4996869999999998
h,1.58908,1.79745,1.58908,1.79745,"{'att': 290, 'def': 16}","{'att': 192, 'def': 22}",5,8,3,2,1.1926,w,2022-10-29 14:15:00,1,0,0,3,-0.20836999999999994
a,1.24542,0.517067,1.24542,0.517067,"{'att': 229, 'def': 16}","{'att': 215, 'def': 23}",2,3,0,0,2.0082,d,2022-11-05 14:00:00,0,1,0,1,0.7283529999999999
a,1.11674,1.73107,1.11674,1.73107,"{'att': 359, 'def': 18}","{'att': 182, 'def': 33}",4,7,1,2,0.8783000000000001,l,2022-11-10 20:30:00,0,0,1,0,-0.61433
h,1.57833,2.22992,1.57833,2.22992,"{'att': 276, 'def': 19}","{'att': 257, 'def': 23}",3,8,1,1,0.9583999999999999,d,2022-12-30 18:15:00,0,1,0,1,-0.6515899999999999
a,0.434224,0.495475,0.434224,0.495475,"{'att': 300, 'def': 26}","{'att': 94, 'def': 29}",3,2,1,0,1.2027999999999999,w,2023-01-06 20:00:00,1,0,0,3,-0.061251
h,1.40204,0.654686,1.40204,0.654686,"{'att': 217, 'def': 17}","{'att': 200, 'def': 25}",0,6,1,1,2.0246,d,2023-01-16 20:00:00,0,1,0,1,0.747354
a,0.0765073,1.66028,0.0765073,0.916998,"{'att': 345, 'def': 9}","{'att': 114, 'def': 29}",0,12,0,1,0.1416,l,2023-01-21 20:00:00,0,0,1,0,-0.8404906999999999
h,1.8313,0.306812,1.08802,0.306812,"{'att': 279, 'def': 25}","{'att': 179, 'def': 15}",6,2,2,0,2.6533,w,2023-01-28 13:00:00,1,0,0,3,0.781208
a,1.55348,2.30209,1.55348,2.30209,"{'att': 181, 'def': 22}","{'att': 305, 'def': 18}",7,3,1,4,0.8013999999999999,l,2023-02-03 20:00:00,0,0,1,0,-0.7486100000000002
h,0.717862,0.213596,0.717862,0.213596,"{'att': 290, 'def': 37}","{'att': 139, 'def': 21}",4,0,2,0,1.7993000000000001,w,2023-02-10 20:00:00,1,0,0,3,0.504266
a,1.404,2.28935,1.404,2.28935,"{'att': 366, 'def': 21}","{'att': 183, 'def': 23}",1,20,0,2,0.7783,l,2023-02-19 20:00:00,0,0,1,0,-0.8853500000000003
h,0.816453,0.407208,0.816453,0.407208,"{'att': 208, 'def': 31}","{'att': 109, 'def': 23}",0,2,1,0,1.7550999999999999,w,2023-02-25 15:15:00,1,0,0,3,0.40924499999999997
a,0.847252,1.07575,0.847252,1.07575,"{'att': 279, 'def': 27}","{'att': 83, 'def': 30}",4,4,0,0,1.169,d,2023-03-03 20:00:00,0,1,0,1,-0.22849799999999998
h,1.73207,2.6986,0.988797,1.21205,"{'att': 134, 'def': 15}","{'att': 138, 'def': 19}",5,4,2,2,0.6193,d,2023-03-10 20:00:00,0,1,0,1,-0.22325300000000003
a,1.13127,2.69365,1.13127,1.95038,"{'att': 264, 'def': 11}","{'att': 104, 'def': 20}",6,6,1,1,0.43460000000000004,d,2023-03-18 13:00:00,0,1,0,1,-0.81911
h,0.691241,1.72869,0.691241,1.72869,"{'att': 143, 'def': 18}","{'att': 134, 'def': 24}",3,3,0,2,0.5858,l,2023-04-01 16:30:00,0,0,1,0,-1.037449
a,2.85597,1.58835,2.11269,1.58835,"{'att': 170, 'def': 32}","{'att': 218, 'def': 12}",6,4,2,0,2.3062,w,2023-04-09 14:15:00,1,0,0,3,0.5243400000000003
