h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
h,1.87878,0.132198,1.1355,0.132198,"{'att': 213, 'def': 23}","{'att': 180, 'def': 19}",5,1,1,0,2.7705,w,2022-08-14 17:30:00,1,0,0,3,1.003302
a,0.676158,0.761587,0.676158,0.761587,"{'att': 151, 'def': 25}","{'att': 285, 'def': 18}",3,10,0,1,1.2332,l,2022-08-21 15:30:00,0,0,1,0,-0.08542899999999998
h,0.65396,1.97507,0.65396,1.97507,"{'att': 145, 'def': 18}","{'att': 328, 'def': 17}",6,4,0,1,0.46709999999999996,l,2022-08-29 20:00:00,0,0,1,0,-1.32111
h,2.92757,0.572495,2.92757,0.572495,"{'att': 122, 'def': 15}","{'att': 304, 'def': 22}",10,3,5,1,2.7627,w,2022-09-04 19:00:00,1,0,0,3,2.355075
a,2.18195,2.01158,2.18195,2.01158,"{'att': 113, 'def': 14}","{'att': 174, 'def': 35}",4,4,1,2,1.4792,l,2022-09-10 12:00:00,0,0,1,0,0.17037000000000013
h,1.91153,0.587167,1.91153,0.587167,"{'att': 108, 'def': 22}","{'att': 264, 'def': 34}",4,4,3,0,2.4015000000000004,w,2022-09-17 16:30:00,1,0,0,3,1.324363
a,1.35604,0.738099,1.35604,0.738099,"{'att': 115, 'def': 21}","{'att': 300, 'def': 24}",3,3,2,2,1.8779000000000001,d,2022-10-02 12:00:00,0,1,0,1,0.617941
a,2.73352,1.96282,1.99024,1.21954,"{'att': 157, 'def': 21}","{'att': 194, 'def': 12}",4,4,2,1,1.935,w,2022-10-07 19:00:00,1,0,0,3,0.7706999999999999
h,3.04132,1.30317,2.29804,0.559892,"{'att': 193, 'def': 28}","{'att': 199, 'def': 17}",14,3,2,2,2.4875000000000003,d,2022-10-15 14:15:00,0,1,0,1,1.7381479999999998
a,1.71123,1.19743,0.96795,1.19743,"{'att': 300, 'def': 35}","{'att': 147, 'def': 14}",1,6,1,1,1.7856999999999998,d,2022-10-18 17:00:00,0,1,0,1,-0.22948000000000002
h,1.07022,1.25148,0.326942,0.508204,"{'att': 138, 'def': 24}","{'att': 246, 'def': 15}",6,4,1,2,1.1276,l,2022-10-22 16:30:00,0,0,1,0,-0.18126199999999998
h,0.187414,2.33418,0.187414,2.33418,"{'att': 342, 'def': 24}","{'att': 156, 'def': 21}",2,14,0,1,0.1004,l,2022-10-29 19:00:00,0,0,1,0,-2.146766
a,0.795825,1.45821,0.795825,1.45821,"{'att': 109, 'def': 18}","{'att': 226, 'def': 14}",12,6,1,1,0.7704,d,2022-11-06 15:15:00,0,1,0,1,-0.662385
h,2.2469,0.307626,1.50362,0.307626,"{'att': 187, 'def': 20}","{'att': 316, 'def': 13}",3,2,3,0,2.7390000000000003,w,2022-11-10 19:00:00,1,0,0,3,1.195994
a,1.16707,2.37349,1.16707,2.37349,"{'att': 221, 'def': 24}","{'att': 152, 'def': 16}",4,9,1,2,0.5501,l,2022-12-31 15:15:00,0,0,1,0,-1.2064199999999998
h,0.495475,0.434224,0.495475,0.434224,"{'att': 94, 'def': 29}","{'att': 300, 'def': 26}",2,3,0,1,1.3135000000000001,l,2023-01-06 20:00:00,0,0,1,0,0.061251
h,2.70702,1.68834,2.70702,0.945066,"{'att': 190, 'def': 25}","{'att': 270, 'def': 20}",6,8,2,2,2.1056999999999997,d,2023-01-23 20:00:00,0,1,0,1,1.761954
a,1.05725,1.47049,1.05725,1.47049,"{'att': 251, 'def': 21}","{'att': 183, 'def': 34}",6,0,0,1,1.0179,l,2023-01-29 13:00:00,0,0,1,0,-0.41324000000000005
a,0.213484,2.60454,0.213484,2.60454,"{'att': 409, 'def': 19}","{'att': 147, 'def': 27}",5,11,0,2,0.0953,l,2023-02-02 20:00:00,0,0,1,0,-2.391056
a,0.877751,2.57015,0.877751,2.57015,"{'att': 328, 'def': 14}","{'att': 267, 'def': 17}",4,8,0,1,0.35159999999999997,l,2023-02-05 15:15:00,0,0,1,0,-1.692399
h,1.6755,1.34748,1.6755,1.34748,"{'att': 241, 'def': 29}","{'att': 173, 'def': 26}",8,4,1,2,1.6288,l,2023-02-11 20:00:00,0,0,1,0,0.32802
a,1.09398,2.13388,1.09398,2.13388,"{'att': 137, 'def': 16}","{'att': 186, 'def': 10}",5,4,0,1,0.6333,l,2023-02-20 20:00:00,0,0,1,0,-1.0399
h,0.636111,0.817876,0.636111,0.817876,"{'att': 231, 'def': 23}","{'att': 90, 'def': 18}",4,2,1,0,1.1019,w,2023-02-25 20:00:00,1,0,0,3,-0.18176500000000007
a,0.629336,2.09199,0.629336,1.34871,"{'att': 285, 'def': 27}","{'att': 203, 'def': 23}",5,8,0,1,0.3608,l,2023-03-05 15:15:00,0,0,1,0,-0.7193740000000001
h,1.84171,0.257674,1.09843,0.257674,"{'att': 154, 'def': 16}","{'att': 160, 'def': 25}",6,1,1,0,2.669,w,2023-03-11 20:00:00,1,0,0,3,0.8407560000000001
a,0.68946,3.36294,0.68946,3.36294,"{'att': 380, 'def': 19}","{'att': 243, 'def': 23}",2,9,0,3,0.1152,l,2023-03-18 20:00:00,0,0,1,0,-2.67348
h,2.71116,0.645345,1.96814,0.645345,"{'att': 143, 'def': 20}","{'att': 216, 'def': 31}",9,6,1,1,2.7188999999999997,d,2023-04-03 19:00:00,0,1,0,1,1.3227950000000002
a,1.08869,1.49927,1.08869,1.49927,"{'att': 159, 'def': 13}","{'att': 224, 'def': 13}",6,3,1,2,0.9972,l,2023-04-09 16:30:00,0,0,1,0,-0.41058000000000017
h,0.527847,1.46976,0.527847,1.46976,"{'att': 183, 'def': 17}","{'att': 265, 'def': 16}",7,4,0,2,0.4901,l,2023-04-16 19:00:00,0,0,1,0,-0.941913
a,1.05313,0.795158,1.05313,0.795158,"{'att': 299, 'def': 22}","{'att': 104, 'def': 24}",4,2,2,0,1.5799,w,2023-04-23 12:00:00,1,0,0,3,0.25797199999999987
h,0.900084,0.993149,0.900084,0.993149,"{'att': 233, 'def': 27}","{'att': 157, 'def': 24}",3,3,2,1,1.2023,w,2023-04-27 17:30:00,1,0,0,3,-0.09306499999999995
a,1.05204,2.16593,1.05204,2.16593,"{'att': 123, 'def': 25}","{'att': 158, 'def': 26}",7,2,1,2,0.446,l,2023-04-30 12:00:00,0,0,1,0,-1.1138899999999998
h,1.04163,0.742844,1.04163,0.742844,"{'att': 302, 'def': 27}","{'att': 86, 'def': 21}",5,8,1,1,1.6439000000000001,d,2023-05-03 17:30:00,0,1,0,1,0.2987860000000001
a,1.86638,1.216,1.86638,1.216,"{'att': 285, 'def': 23}","{'att': 131, 'def': 26}",3,3,2,1,1.8434,w,2023-05-14 12:00:00,1,0,0,3,0.65038
h,1.49126,2.08896,1.49126,2.08896,"{'att': 380, 'def': 17}","{'att': 92, 'def': 20}",9,14,1,0,0.9615,w,2023-05-21 16:30:00,1,0,0,3,-0.5977000000000001
a,2.073,0.538476,2.073,0.538476,"{'att': 177, 'def': 27}","{'att': 250, 'def': 20}",7,3,0,1,2.5229,l,2023-05-25 17:30:00,0,0,1,0,1.534524
h,2.5327,1.78056,2.5327,1.78056,"{'att': 219, 'def': 24}","{'att': 183, 'def': 25}",13,5,2,2,1.9358999999999997,d,2023-05-28 17:00:00,0,1,0,1,0.7521400000000003
a,0.845969,0.677919,0.845969,0.677919,"{'att': 348, 'def': 29}","{'att': 155, 'def': 18}",4,12,1,1,1.4967000000000001,d,2023-06-04 18:00:00,0,1,0,1,0.16804999999999992
