h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
a,1.31751,1.39689,0.557414,0.636797,"{'att': 110, 'def': 23}","{'att': 201, 'def': 35}",1,2,3,3,1.2486,d,2014-08-09 20:00:00,0,1,0,1,-0.07938299999999998
h,1.10223,1.55953,1.10223,1.55953,"{'att': 140, 'def': 27}","{'att': 255, 'def': 36}",7,3,0,2,0.9668,l,2014-08-17 16:00:00,0,0,1,0,-0.45730000000000004
a,0.708459,0.452052,0.708459,0.452052,"{'att': 152, 'def': 19}","{'att': 259, 'def': 33}",3,2,1,0,1.5284,w,2014-08-23 16:00:00,1,0,0,3,0.25640699999999994
h,4.68663,0.699986,4.68663,0.699986,"{'att': 193, 'def': 28}","{'att': 294, 'def': 36}",7,2,4,0,2.9415,w,2014-08-29 19:30:00,1,0,0,3,3.986644
a,1.12115,0.912171,1.12115,0.912171,"{'att': 188, 'def': 23}","{'att': 330, 'def': 33}",2,2,3,1,1.5531,w,2014-09-14 20:00:00,1,0,0,3,0.20897900000000014
h,1.4979,1.37752,1.4979,1.37752,"{'att': 183, 'def': 26}","{'att': 275, 'def': 25}",6,5,3,0,1.4484,w,2014-09-20 16:00:00,1,0,0,3,0.12037999999999993
a,3.62665,0.383029,2.86656,0.383029,"{'att': 195, 'def': 24}","{'att': 317, 'def': 34}",7,2,5,0,2.9366000000000003,w,2014-09-23 18:00:00,1,0,0,3,2.483531
h,1.12373,0.348437,1.12373,0.348437,"{'att': 222, 'def': 29}","{'att': 367, 'def': 34}",4,2,2,1,2.0506,w,2014-09-28 20:00:00,1,0,0,3,0.7752929999999999
a,2.73148,0.496129,2.73148,0.496129,"{'att': 106, 'def': 24}","{'att': 320, 'def': 40}",8,1,2,1,2.7216,w,2014-10-04 16:00:00,1,0,0,3,2.235351
h,1.15665,0.242119,1.15665,0.242119,"{'att': 201, 'def': 32}","{'att': 190, 'def': 34}",4,1,2,0,2.194,w,2014-10-19 13:00:00,1,0,0,3,0.914531
