h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
a,0.0571371,1.54468,0.0571371,1.54468,"{'att': 379, 'def': 18}","{'att': 83, 'def': 23}",0,5,0,0,0.19369999999999998,d,2014-08-09 20:00:00,0,1,0,1,-1.4875429
h,1.21778,0.623268,0.457753,0.623268,"{'att': 280, 'def': 26}","{'att': 221, 'def': 24}",2,2,1,1,1.9755,d,2014-08-16 19:00:00,0,1,0,1,-0.16551500000000002
a,1.5187,1.59321,0.652707,1.59321,"{'att': 231, 'def': 25}","{'att': 154, 'def': 21}",3,6,0,2,1.3195999999999999,l,2014-08-23 19:00:00,0,0,1,0,-0.940503
h,1.50793,2.14951,0.747903,2.14951,"{'att': 323, 'def': 27}","{'att': 180, 'def': 22}",3,8,2,1,0.8676999999999999,w,2014-08-31 16:00:00,1,0,0,3,-1.4016069999999998
a,0.509534,0.787783,0.509534,0.787783,"{'att': 249, 'def': 38}","{'att': 166, 'def': 22}",1,2,0,1,0.9838,l,2014-09-13 19:00:00,0,0,1,0,-0.27824899999999997
h,1.75071,0.445841,1.75071,0.445841,"{'att': 257, 'def': 18}","{'att': 145, 'def': 21}",8,3,3,1,2.4285,w,2014-09-20 19:00:00,1,0,0,3,1.304869
a,0.329026,0.74288,0.329026,0.74288,"{'att': 287, 'def': 28}","{'att': 94, 'def': 16}",4,5,1,0,0.869,w,2014-09-24 18:00:00,1,0,0,3,-0.413854
h,1.57463,0.119753,1.57463,0.119753,"{'att': 178, 'def': 20}","{'att': 193, 'def': 12}",5,2,3,0,2.5526,w,2014-09-27 19:00:00,1,0,0,3,1.454877
a,0.334334,1.25083,0.334334,0.490737,"{'att': 191, 'def': 20}","{'att': 151, 'def': 26}",5,2,0,3,0.4571,l,2014-10-04 19:00:00,0,0,1,0,-0.15640299999999996
h,0.343316,0.676471,0.343316,0.676471,"{'att': 308, 'def': 18}","{'att': 185, 'def': 20}",3,3,0,0,0.9273,d,2014-10-18 19:00:00,0,1,0,1,-0.33315500000000003
a,0.3693,1.08553,0.3693,1.08553,"{'att': 326, 'def': 25}","{'att': 106, 'def': 11}",0,9,0,1,0.6424000000000001,l,2014-10-26 16:00:00,0,0,1,0,-0.7162300000000001
h,2.32422,0.791375,1.56419,0.791375,"{'att': 210, 'def': 31}","{'att': 126, 'def': 23}",4,1,3,2,2.4848999999999997,w,2014-11-01 19:00:00,1,0,0,3,0.7728149999999999
a,0.416847,1.21269,0.416847,1.21269,"{'att': 160, 'def': 31}","{'att': 164, 'def': 28}",5,6,0,3,0.623,l,2014-11-08 19:00:00,0,0,1,0,-0.7958430000000001
h,2.04314,2.21682,0.522946,2.21682,"{'att': 472, 'def': 27}","{'att': 130, 'def': 19}",4,12,2,3,1.2027999999999999,l,2014-11-21 19:30:00,0,0,1,0,-1.6938739999999997
a,0.819458,1.52799,0.819458,1.52799,"{'att': 208, 'def': 29}","{'att': 123, 'def': 20}",2,2,0,2,0.7853,l,2014-11-29 19:00:00,0,0,1,0,-0.7085319999999999
h,1.49865,0.537624,0.738552,0.537624,"{'att': 284, 'def': 31}","{'att': 97, 'def': 25}",1,5,0,0,2.2607,d,2014-12-03 18:00:00,0,1,0,1,0.200928
a,0.938293,1.84578,0.938293,1.84578,"{'att': 299, 'def': 34}","{'att': 126, 'def': 16}",6,10,1,3,0.6886,l,2014-12-07 20:00:00,0,0,1,0,-0.9074869999999999
a,0.370375,2.22037,0.370375,2.22037,"{'att': 214, 'def': 23}","{'att': 159, 'def': 16}",1,7,1,3,0.2162,l,2014-12-13 19:00:00,0,0,1,0,-1.8499949999999998
h,0.742352,1.1,0.742352,1.1,"{'att': 199, 'def': 24}","{'att': 171, 'def': 22}",0,5,0,1,1.0062,l,2014-12-20 19:00:00,0,0,1,0,-0.3576480000000001
a,0.850045,0.67776,0.850045,0.67776,"{'att': 252, 'def': 26}","{'att': 159, 'def': 21}",3,6,0,0,1.4733999999999998,d,2015-01-11 16:00:00,0,1,0,1,0.17228500000000002
h,1.47552,2.64971,0.715422,1.88961,"{'att': 200, 'def': 29}","{'att': 176, 'def': 29}",1,7,2,3,0.5075,l,2015-01-17 19:00:00,0,0,1,0,-1.174188
a,0.186266,1.49602,0.186266,0.735923,"{'att': 349, 'def': 22}","{'att': 110, 'def': 24}",0,6,0,2,0.2424,l,2015-01-25 13:00:00,0,0,1,0,-0.5496570000000001
h,0.763854,0.11521,0.763854,0.11521,"{'att': 183, 'def': 39}","{'att': 131, 'def': 21}",3,0,0,0,2.0158,d,2015-01-31 19:00:00,0,1,0,1,0.648644
a,0.595647,1.56279,0.595647,0.802699,"{'att': 342, 'def': 21}","{'att': 146, 'def': 20}",5,7,0,2,0.5125000000000001,l,2015-02-07 19:00:00,0,0,1,0,-0.207052
h,0.487235,1.73901,0.487235,1.73901,"{'att': 137, 'def': 32}","{'att': 201, 'def': 13}",2,3,0,2,0.4311,l,2015-02-15 16:00:00,0,0,1,0,-1.2517749999999999
a,0.772318,0.730481,0.772318,0.730481,"{'att': 297, 'def': 23}","{'att': 169, 'def': 20}",2,10,0,0,1.3911,d,2015-02-22 16:00:00,0,1,0,1,0.0418369999999999
h,0.769832,0.917162,0.769832,0.917162,"{'att': 231, 'def': 25}","{'att': 198, 'def': 37}",2,5,1,2,1.1025,l,2015-02-28 19:00:00,0,0,1,0,-0.14733000000000007
a,0.603088,0.370071,0.603088,0.370071,"{'att': 279, 'def': 18}","{'att': 364, 'def': 22}",1,6,0,1,1.5004999999999997,l,2015-03-07 19:00:00,0,0,1,0,0.23301699999999997
h,1.85037,1.48298,1.09027,1.48298,"{'att': 265, 'def': 34}","{'att': 193, 'def': 23}",2,4,2,3,1.6401999999999999,l,2015-03-14 16:00:00,0,0,1,0,-0.3927099999999999
a,0.278793,0.666206,0.278793,0.666206,"{'att': 240, 'def': 19}","{'att': 211, 'def': 23}",3,6,0,0,0.8541000000000001,d,2015-03-21 19:00:00,0,1,0,1,-0.38741299999999995
h,1.18188,1.02796,1.18188,1.02796,"{'att': 226, 'def': 31}","{'att': 201, 'def': 21}",16,2,3,2,1.4314,w,2015-04-04 19:00:00,1,0,0,3,0.15392000000000006
h,3.00002,0.263045,2.23993,0.263045,"{'att': 220, 'def': 19}","{'att': 220, 'def': 22}",5,2,3,1,2.9184,w,2015-04-18 19:00:00,1,0,0,3,1.9768850000000002
