h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
h,1.36787,2.65538,1.36787,1.89529,"{'att': 474, 'def': 15}","{'att': 180, 'def': 24}",2,11,2,2,0.5058,d,2014-08-08 19:30:00,0,1,0,1,-0.52742
a,0.285467,2.42892,0.285467,2.42892,"{'att': 230, 'def': 19}","{'att': 182, 'def': 14}",2,11,1,3,0.1481,l,2014-08-17 16:00:00,0,0,1,0,-2.143453
h,1.8721,1.80265,1.8721,1.80265,"{'att': 167, 'def': 21}","{'att': 269, 'def': 15}",2,4,0,2,1.4369,l,2014-08-23 19:00:00,0,0,1,0,0.06945000000000001
a,1.28585,2.67759,1.28585,1.1574,"{'att': 267, 'def': 22}","{'att': 222, 'def': 18}",3,4,2,4,0.4488,l,2014-08-30 19:00:00,0,0,1,0,0.12844999999999995
h,0.295284,1.54377,0.295284,1.54377,"{'att': 305, 'def': 22}","{'att': 111, 'def': 21}",3,5,2,0,0.354,w,2014-09-13 19:00:00,1,0,0,3,-1.2484860000000002
a,0.826222,0.236254,0.826222,0.236254,"{'att': 422, 'def': 20}","{'att': 167, 'def': 12}",3,1,1,0,1.9971,w,2014-09-20 19:00:00,1,0,0,3,0.589968
h,0.383029,3.62665,0.383029,2.86656,"{'att': 317, 'def': 34}","{'att': 195, 'def': 24}",2,7,0,5,0.0377,l,2014-09-23 18:00:00,0,0,1,0,-2.483531
a,0.119753,1.57463,0.119753,1.57463,"{'att': 193, 'def': 12}","{'att': 178, 'def': 20}",2,5,0,3,0.25579999999999997,l,2014-09-27 19:00:00,0,0,1,0,-1.454877
h,0.457543,0.617068,0.457543,0.617068,"{'att': 343, 'def': 26}","{'att': 165, 'def': 22}",4,7,1,0,1.1223999999999998,w,2014-10-03 19:30:00,1,0,0,3,-0.15952499999999997
a,1.07275,0.36688,1.07275,0.36688,"{'att': 149, 'def': 22}","{'att': 343, 'def': 16}",1,4,1,1,2.0307999999999997,d,2014-10-18 19:00:00,0,1,0,1,0.7058700000000001
h,0.716961,0.705528,0.716961,0.705528,"{'att': 166, 'def': 29}","{'att': 274, 'def': 28}",0,3,1,0,1.3149,w,2014-10-25 19:00:00,1,0,0,3,0.011432999999999915
a,0.861794,1.32581,0.861794,1.32581,"{'att': 238, 'def': 18}","{'att': 293, 'def': 33}",1,8,1,1,0.9894000000000001,d,2014-10-31 19:30:00,0,1,0,1,-0.464016
h,2.3767,0.580936,1.6166,0.580936,"{'att': 257, 'def': 16}","{'att': 294, 'def': 21}",2,1,2,0,2.6436,w,2014-11-09 16:00:00,1,0,0,3,1.0356640000000001
a,0.813343,1.3235,0.813343,1.3235,"{'att': 214, 'def': 27}","{'att': 280, 'def': 28}",3,2,0,0,0.9192,d,2014-11-22 19:00:00,0,1,0,1,-0.5101569999999999
h,1.08343,1.13102,1.08343,1.13102,"{'att': 245, 'def': 27}","{'att': 315, 'def': 21}",3,2,2,1,1.2675,w,2014-11-29 19:00:00,1,0,0,3,-0.04759000000000002
a,0.972753,2.08293,0.972753,2.08293,"{'att': 256, 'def': 24}","{'att': 266, 'def': 28}",1,6,1,2,0.4788,l,2014-12-04 20:00:00,0,0,1,0,-1.1101770000000002
h,0.714267,0.777862,0.714267,0.777862,"{'att': 128, 'def': 24}","{'att': 297, 'def': 30}",8,1,2,3,1.1907999999999999,l,2014-12-07 16:00:00,0,0,1,0,-0.06359500000000007
h,1.86473,0.810448,1.86473,0.810448,"{'att': 197, 'def': 17}","{'att': 293, 'def': 30}",5,1,3,2,2.3099,w,2014-12-13 19:00:00,1,0,0,3,1.0542820000000002
a,0.695359,0.343718,0.695359,0.343718,"{'att': 203, 'def': 10}","{'att': 404, 'def': 21}",4,4,3,1,1.657,w,2014-12-20 19:00:00,1,0,0,3,0.3516409999999999
h,1.23747,1.25903,1.23747,1.25903,"{'att': 208, 'def': 23}","{'att': 255, 'def': 30}",7,3,1,2,1.3289,l,2015-01-10 19:00:00,0,0,1,0,-0.021560000000000024
a,1.56623,3.058,0.806131,2.2979,"{'att': 125, 'def': 24}","{'att': 278, 'def': 21}",2,2,1,4,0.3418,l,2015-01-17 19:00:00,0,0,1,0,-1.4917689999999997
h,0.962133,2.56238,0.962133,2.56238,"{'att': 110, 'def': 20}","{'att': 205, 'def': 25}",4,3,0,0,0.39249999999999996,d,2015-01-25 16:00:00,0,1,0,1,-1.600247
a,0.27492,1.07089,0.27492,1.07089,"{'att': 150, 'def': 25}","{'att': 203, 'def': 30}",1,3,0,1,0.5609999999999999,l,2015-01-31 19:00:00,0,0,1,0,-0.7959699999999998
h,1.71173,1.0102,1.71173,1.0102,"{'att': 208, 'def': 27}","{'att': 285, 'def': 34}",5,2,1,3,1.9105999999999999,l,2015-02-07 19:00:00,0,0,1,0,0.70153
a,1.42842,2.10567,1.42842,2.10567,"{'att': 277, 'def': 19}","{'att': 153, 'def': 20}",5,8,2,2,0.8474999999999999,d,2015-02-13 19:30:00,0,1,0,1,-0.6772499999999999
h,0.730481,0.772318,0.730481,0.772318,"{'att': 169, 'def': 20}","{'att': 297, 'def': 23}",10,2,0,0,1.2452999999999999,d,2015-02-22 16:00:00,0,1,0,1,-0.0418369999999999
a,0.791814,0.951469,0.791814,0.951469,"{'att': 437, 'def': 30}","{'att': 162, 'def': 24}",4,7,1,1,1.168,d,2015-02-28 19:00:00,0,1,0,1,-0.159655
h,2.72502,0.912317,2.72502,0.912317,"{'att': 213, 'def': 29}","{'att': 251, 'def': 26}",5,3,3,1,2.5296000000000003,w,2015-03-07 19:00:00,1,0,0,3,1.8127030000000002
a,1.43438,3.27913,1.43438,3.27913,"{'att': 166, 'def': 44}","{'att': 218, 'def': 31}",2,4,1,3,0.37829999999999997,l,2015-03-14 19:00:00,0,0,1,0,-1.84475
h,1.14195,1.79552,1.14195,1.79552,"{'att': 280, 'def': 24}","{'att': 187, 'def': 30}",7,2,1,3,0.8955,l,2015-03-22 16:00:00,0,0,1,0,-0.65357
a,0.943203,2.82156,0.943203,2.04726,"{'att': 271, 'def': 34}","{'att': 189, 'def': 25}",2,4,1,3,0.22999999999999998,l,2015-04-04 19:00:00,0,0,1,0,-1.104057
h,1.31503,1.67264,1.31503,1.67264,"{'att': 146, 'def': 32}","{'att': 197, 'def': 20}",4,0,0,1,1.0615999999999999,l,2015-04-12 16:00:00,0,0,1,0,-0.35761
a,1.89032,0.590394,1.89032,0.590394,"{'att': 229, 'def': 31}","{'att': 109, 'def': 24}",3,3,2,1,2.5309999999999997,w,2015-04-18 19:00:00,1,0,0,3,1.2999260000000001
h,1.20949,3.1736,1.20949,3.1736,"{'att': 292, 'def': 31}","{'att': 231, 'def': 10}",4,6,2,4,0.3084,l,2015-04-26 20:00:00,0,0,1,0,-1.96411
a,0.306909,1.49746,0.306909,0.737368,"{'att': 226, 'def': 31}","{'att': 169, 'def': 28}",4,5,0,2,0.3053,l,2015-05-02 19:00:00,0,0,1,0,-0.43045900000000004
a,2.18633,1.13016,2.18633,1.13016,"{'att': 128, 'def': 19}","{'att': 132, 'def': 26}",6,1,3,2,2.1767,w,2015-05-09 19:00:00,1,0,0,3,1.0561699999999998
h,1.98359,0.224434,1.2235,0.224434,"{'att': 398, 'def': 24}","{'att': 200, 'def': 14}",3,2,1,0,2.7363000000000004,w,2015-05-16 20:00:00,1,0,0,3,0.999066
a,1.54416,2.06974,1.54416,2.06974,"{'att': 535, 'def': 23}","{'att': 184, 'def': 25}",2,10,2,3,0.9841,l,2015-05-23 20:00:00,0,0,1,0,-0.5255799999999999
