h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
a,2.81413,0.459874,2.81413,0.459874,"{'att': 214, 'def': 42}","{'att': 232, 'def': 20}",7,4,2,1,2.8601,w,2015-08-08 23:00:00,1,0,0,3,2.354256
h,1.26252,1.12948,1.26252,1.12948,"{'att': 125, 'def': 24}","{'att': 342, 'def': 25}",2,5,0,0,1.4741,d,2015-08-14 22:30:00,0,1,0,1,0.13304000000000005
a,1.42714,2.0162,1.42714,2.0162,"{'att': 203, 'def': 27}","{'att': 266, 'def': 31}",3,7,1,1,0.8972,d,2015-08-22 22:00:00,0,1,0,1,-0.5890599999999999
h,0.13557,2.13619,0.13557,2.13619,"{'att': 572, 'def': 28}","{'att': 162, 'def': 16}",4,13,0,3,0.1367,l,2015-08-30 23:00:00,0,0,1,0,-2.00062
a,2.98213,0.970684,2.22203,0.970684,"{'att': 174, 'def': 22}","{'att': 145, 'def': 22}",7,6,1,0,2.6012000000000004,w,2015-09-13 16:00:00,1,0,0,3,1.2513460000000003
h,1.63138,2.11518,1.63138,2.11518,"{'att': 168, 'def': 36}","{'att': 325, 'def': 20}",6,7,2,3,1.0215999999999998,l,2015-09-20 19:00:00,0,0,1,0,-0.4838
a,2.34549,1.82333,1.58539,1.82333,"{'att': 204, 'def': 32}","{'att': 277, 'def': 29}",5,3,3,2,1.7551,w,2015-09-24 20:55:00,1,0,0,3,-0.23793999999999982
a,1.01214,1.34153,1.01214,1.34153,"{'att': 170, 'def': 32}","{'att': 207, 'def': 39}",4,7,3,3,1.1075,d,2015-09-27 19:00:00,0,1,0,1,-0.32938999999999985
h,1.46766,1.53435,1.46766,0.774251,"{'att': 240, 'def': 26}","{'att': 251, 'def': 13}",4,4,1,1,1.2748,d,2015-10-04 16:00:00,0,1,0,1,0.6934089999999999
h,1.11571,1.29317,1.11571,1.29317,"{'att': 343, 'def': 25}","{'att': 110, 'def': 26}",1,8,1,1,1.2065000000000001,d,2015-10-16 22:30:00,0,1,0,1,-0.17745999999999995
a,1.69446,1.3777,1.69446,1.3777,"{'att': 295, 'def': 28}","{'att': 235, 'def': 22}",1,3,1,0,1.5837,w,2015-10-25 17:00:00,1,0,0,3,0.31676000000000015
h,2.10979,0.688198,2.10979,0.688198,"{'att': 269, 'def': 30}","{'att': 293, 'def': 30}",5,0,1,0,2.5108,w,2015-11-01 20:00:00,1,0,0,3,1.421592
