h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
a,0.699022,2.49641,0.699022,1.73631,"{'att': 258, 'def': 21}","{'att': 99, 'def': 38}",2,9,2,2,0.2532,d,2016-08-12 22:30:00,0,1,0,1,-1.037288
h,1.24688,0.719975,1.24688,0.719975,"{'att': 325, 'def': 27}","{'att': 134, 'def': 35}",7,4,2,1,1.7775,w,2016-08-21 17:00:00,1,0,0,3,0.526905
a,1.59434,1.42221,1.59434,0.662115,"{'att': 327, 'def': 16}","{'att': 183, 'def': 28}",8,7,2,0,1.4872999999999998,w,2016-08-27 22:00:00,1,0,0,3,0.9322250000000001
h,0.703262,0.161811,0.703262,0.161811,"{'att': 178, 'def': 25}","{'att': 194, 'def': 25}",7,2,1,1,1.8487,d,2016-09-10 22:00:00,0,1,0,1,0.541451
a,0.921267,1.70053,0.161172,0.940503,"{'att': 280, 'def': 14}","{'att': 185, 'def': 21}",1,9,1,2,0.6143000000000001,l,2016-09-17 22:00:00,0,0,1,0,-0.779331
h,1.63848,0.765705,0.878382,0.765705,"{'att': 317, 'def': 15}","{'att': 259, 'def': 23}",4,5,1,0,2.1749,w,2016-09-21 21:00:00,1,0,0,3,0.11267700000000003
a,0.0771213,0.98055,0.0771213,0.98055,"{'att': 203, 'def': 41}","{'att': 96, 'def': 38}",1,5,0,1,0.37179999999999996,l,2016-09-24 22:00:00,0,0,1,0,-0.9034287000000001
a,0.397185,1.63564,0.397185,0.875546,"{'att': 320, 'def': 19}","{'att': 169, 'def': 36}",3,5,0,1,0.3565,l,2016-09-30 22:45:00,0,0,1,0,-0.47836100000000004
h,1.8024,0.605277,1.8024,0.605277,"{'att': 232, 'def': 17}","{'att': 181, 'def': 40}",6,5,1,0,2.3226,w,2016-10-15 22:00:00,1,0,0,3,1.197123
a,1.2213,1.84645,1.2213,1.08635,"{'att': 324, 'def': 20}","{'att': 124, 'def': 17}",4,7,3,1,0.8551,w,2016-10-22 19:00:00,1,0,0,3,0.13495000000000013
h,1.14355,1.1945,1.14355,1.1945,"{'att': 305, 'def': 23}","{'att': 368, 'def': 28}",4,1,1,0,1.3002,w,2016-10-29 22:00:00,1,0,0,3,-0.05094999999999983
a,0.556753,2.31365,0.556753,2.31365,"{'att': 205, 'def': 22}","{'att': 328, 'def': 23}",7,3,3,3,0.2436,d,2016-11-05 23:00:00,0,1,0,1,-1.756897
h,1.55541,1.21317,1.55541,0.440486,"{'att': 233, 'def': 25}","{'att': 288, 'def': 19}",7,1,1,1,1.5957999999999999,d,2016-11-20 18:00:00,0,1,0,1,1.114924
a,1.04415,1.09524,1.04415,1.09524,"{'att': 261, 'def': 24}","{'att': 259, 'def': 18}",9,1,1,1,1.291,d,2016-11-26 23:00:00,0,1,0,1,-0.05109000000000008
h,0.589566,0.893454,0.589566,0.893454,"{'att': 283, 'def': 36}","{'att': 214, 'def': 17}",6,7,0,1,1.0273,l,2016-11-30 22:00:00,0,0,1,0,-0.30388799999999994
h,1.41031,0.491439,1.41031,0.491439,"{'att': 199, 'def': 20}","{'att': 376, 'def': 24}",3,5,2,0,2.1622,w,2016-12-03 23:00:00,1,0,0,3,0.918871
a,1.5297,0.62768,1.5297,0.62768,"{'att': 210, 'def': 32}","{'att': 343, 'def': 28}",6,1,0,1,2.0842,l,2016-12-11 20:00:00,0,0,1,0,0.90202
h,0.914417,1.69325,0.914417,1.69325,"{'att': 434, 'def': 25}","{'att': 109, 'def': 26}",4,11,2,1,0.7168,w,2016-12-17 20:00:00,1,0,0,3,-0.7788329999999999
a,1.6707,1.11607,1.6707,1.11607,"{'att': 200, 'def': 20}","{'att': 341, 'def': 28}",6,8,2,2,1.7984,d,2016-12-21 23:50:00,0,1,0,1,0.5546300000000002
a,0.829481,2.30164,0.829481,1.43928,"{'att': 301, 'def': 28}","{'att': 191, 'def': 21}",8,5,1,3,0.377,l,2017-01-14 23:00:00,0,0,1,0,-0.6097989999999999
