h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
a,1.0773,1.90958,1.0773,1.14948,"{'att': 303, 'def': 36}","{'att': 151, 'def': 34}",4,9,0,3,0.7071999999999999,l,2017-08-06 14:00:00,0,0,1,0,-0.07218000000000013
h,1.29602,1.91985,1.29602,1.91985,"{'att': 289, 'def': 18}","{'att': 114, 'def': 18}",6,4,0,1,0.8301999999999999,l,2017-08-12 16:00:00,0,0,1,0,-0.6238300000000001
a,0.565923,0.724295,0.565923,0.724295,"{'att': 361, 'def': 23}","{'att': 148, 'def': 19}",3,10,1,0,1.117,w,2017-08-19 19:00:00,1,0,0,3,-0.15837200000000007
h,0.318881,0.806351,0.318881,0.806351,"{'att': 385, 'def': 24}","{'att': 204, 'def': 26}",2,7,0,0,0.7895,d,2017-08-26 16:15:00,0,1,0,1,-0.48747
a,0.591683,0.411604,0.591683,0.411604,"{'att': 254, 'def': 18}","{'att': 164, 'def': 18}",2,5,1,0,1.4520000000000002,w,2017-09-09 19:00:00,1,0,0,3,0.18007899999999993
h,0.464665,0.277685,0.464665,0.277685,"{'att': 303, 'def': 26}","{'att': 200, 'def': 19}",6,2,1,0,1.4596,w,2017-09-16 19:00:00,1,0,0,3,0.18697999999999998
a,0.572934,1.38859,0.572934,1.38859,"{'att': 318, 'def': 17}","{'att': 115, 'def': 23}",2,7,2,1,0.6907000000000001,w,2017-09-24 16:00:00,1,0,0,3,-0.8156559999999999
h,2.21251,1.3633,2.21251,0.60321,"{'att': 258, 'def': 21}","{'att': 296, 'def': 23}",2,1,1,0,2.0044,w,2017-09-30 19:00:00,1,0,0,3,1.6093
a,1.16816,0.996615,1.16816,0.996615,"{'att': 264, 'def': 18}","{'att': 158, 'def': 26}",1,5,1,1,1.5139999999999998,d,2017-10-15 14:00:00,0,1,0,1,0.17154500000000006
h,0.748019,0.862897,0.748019,0.862897,"{'att': 291, 'def': 22}","{'att': 223, 'def': 24}",1,3,2,1,1.1580000000000001,w,2017-10-21 19:00:00,1,0,0,3,-0.11487800000000004
a,1.00906,0.325792,1.00906,0.325792,"{'att': 228, 'def': 36}","{'att': 212, 'def': 20}",4,2,0,1,2.053,l,2017-10-28 19:00:00,0,0,1,0,0.683268
h,0.990379,0.79584,0.990379,0.79584,"{'att': 208, 'def': 24}","{'att': 111, 'def': 24}",6,3,2,1,1.4762,w,2017-11-04 19:00:00,1,0,0,3,0.19453900000000002
a,0.855253,2.15231,0.855253,2.15231,"{'att': 482, 'def': 26}","{'att': 132, 'def': 28}",2,11,1,4,0.5041,l,2017-11-18 16:00:00,0,0,1,0,-1.297057
a,1.12975,0.922182,0.369653,0.922182,"{'att': 165, 'def': 25}","{'att': 127, 'def': 38}",3,5,1,2,1.5941,l,2017-11-25 16:00:00,0,0,1,0,-0.5525289999999999
h,0.583821,0.380888,0.583821,0.380888,"{'att': 275, 'def': 30}","{'att': 249, 'def': 34}",3,7,1,0,1.4862,w,2017-11-29 18:00:00,1,0,0,3,0.20293300000000003
a,1.47025,0.784896,1.47025,0.784896,"{'att': 212, 'def': 17}","{'att': 185, 'def': 22}",9,4,1,1,1.9261,d,2017-12-03 14:00:00,0,1,0,1,0.685354
h,1.4467,0.626165,1.4467,0.626165,"{'att': 469, 'def': 27}","{'att': 186, 'def': 14}",6,6,1,2,1.9903,l,2017-12-10 16:00:00,0,0,1,0,0.8205350000000001
h,1.13634,0.231309,0.376309,0.231309,"{'att': 299, 'def': 23}","{'att': 177, 'def': 23}",4,9,1,0,2.3815,w,2017-12-17 14:00:00,1,0,0,3,0.14500000000000002
a,1.13923,0.864223,1.13923,0.864223,"{'att': 218, 'def': 38}","{'att': 225, 'def': 23}",7,3,1,0,1.5876000000000001,w,2017-12-20 19:50:00,1,0,0,3,0.275007
