h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
h,2.25264,0.190301,2.25264,0.190301,"{'att': 209, 'def': 31}","{'att': 475, 'def': 25}",19,1,2,0,2.7818,w,2017-08-05 16:15:00,1,0,0,3,2.062339
a,2.51121,0.0609477,2.51121,0.0609477,"{'att': 137, 'def': 23}","{'att': 472, 'def': 15}",17,1,3,0,2.8876,w,2017-08-13 20:00:00,1,0,0,3,2.4502623000000003
h,3.19678,0.338766,2.43668,0.338766,"{'att': 102, 'def': 27}","{'att': 333, 'def': 23}",18,3,6,2,2.8941,w,2017-08-20 20:00:00,1,0,0,3,2.097914
h,2.36555,0.621197,1.60546,0.621197,"{'att': 215, 'def': 37}","{'att': 345, 'def': 21}",7,1,3,0,2.6548,w,2017-08-25 19:45:00,1,0,0,3,0.9842630000000001
a,4.87729,1.20793,4.87729,1.20793,"{'att': 138, 'def': 18}","{'att': 333, 'def': 20}",19,1,5,1,2.9274999999999998,w,2017-09-08 19:45:00,1,0,0,3,3.66936
h,1.77327,0.928593,1.01317,0.928593,"{'att': 157, 'def': 27}","{'att': 396, 'def': 16}",12,2,2,0,2.0848,w,2017-09-17 20:00:00,1,0,0,3,0.0845769999999999
a,0.664671,0.156853,0.664671,0.156853,"{'att': 117, 'def': 24}","{'att': 436, 'def': 28}",13,0,0,0,1.8034000000000001,d,2017-09-23 16:00:00,0,1,0,1,0.507818
h,2.40637,2.19609,1.64628,1.43599,"{'att': 285, 'def': 15}","{'att': 480, 'def': 29}",6,9,6,2,1.5249,w,2017-09-30 16:00:00,1,0,0,3,0.21028999999999987
a,2.55828,0.704259,2.55828,0.704259,"{'att': 138, 'def': 19}","{'att': 365, 'def': 21}",14,4,2,1,2.5579,w,2017-10-14 16:00:00,1,0,0,3,1.854021
a,0.324335,1.31442,0.324335,1.31442,"{'att': 140, 'def': 26}","{'att': 376, 'def': 42}",6,1,2,2,0.45399999999999996,d,2017-10-22 20:00:00,0,1,0,1,-0.9900849999999999
h,3.30483,0.198721,3.30483,0.198721,"{'att': 263, 'def': 28}","{'att': 534, 'def': 19}",9,2,3,0,2.9722,w,2017-10-27 19:45:00,1,0,0,3,3.106109
a,2.78391,0.663491,2.78391,0.663491,"{'att': 195, 'def': 29}","{'att': 534, 'def': 24}",10,3,5,0,2.7091,w,2017-11-04 16:00:00,1,0,0,3,2.120419
h,2.15231,0.855253,2.15231,0.855253,"{'att': 132, 'def': 28}","{'att': 482, 'def': 26}",11,2,4,1,2.2831,w,2017-11-18 16:00:00,1,0,0,3,1.297057
a,4.41005,0.379619,3.64995,0.379619,"{'att': 161, 'def': 10}","{'att': 427, 'def': 33}",10,4,2,1,2.977,w,2017-11-26 20:00:00,1,0,0,3,3.270331
h,1.70266,0.446889,0.942563,0.446889,"{'att': 231, 'def': 45}","{'att': 330, 'def': 21}",11,2,2,0,2.4114,w,2017-11-29 20:00:00,1,0,0,3,0.49567400000000006
