h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
a,0.286084,1.30809,0.286084,1.30809,"{'att': 359, 'def': 23}","{'att': 147, 'def': 24}",0,4,0,2,0.4789,l,2018-08-12 16:00:00,0,0,1,0,-1.022006
h,1.11001,0.308208,0.349916,0.308208,"{'att': 185, 'def': 24}","{'att': 298, 'def': 18}",4,3,1,2,2.2502,l,2018-08-18 21:00:00,0,0,1,0,0.04170800000000002
h,2.18312,0.700141,2.18312,0.700141,"{'att': 251, 'def': 32}","{'att': 345, 'def': 20}",9,1,4,1,2.5158,w,2018-08-25 21:00:00,1,0,0,3,1.4829790000000003
a,0.325126,0.737428,0.325126,0.737428,"{'att': 268, 'def': 13}","{'att': 155, 'def': 26}",3,6,0,0,0.8848,d,2018-09-02 13:00:00,0,1,0,1,-0.41230199999999995
h,1.44867,2.81999,0.688578,1.2998,"{'att': 249, 'def': 17}","{'att': 229, 'def': 25}",4,7,2,3,0.4612,l,2018-09-15 18:00:00,0,0,1,0,-0.611222
a,0.672883,1.07472,0.672883,1.07472,"{'att': 225, 'def': 21}","{'att': 218, 'def': 27}",2,5,1,3,0.9165,l,2018-09-22 18:00:00,0,0,1,0,-0.4018369999999999
h,0.730869,1.83024,0.730869,1.83024,"{'att': 189, 'def': 21}","{'att': 187, 'def': 21}",2,3,2,1,0.5589,w,2018-09-26 17:00:00,1,0,0,3,-1.099371
a,0.247116,1.44696,0.247116,0.686865,"{'att': 229, 'def': 13}","{'att': 201, 'def': 26}",1,3,0,1,0.2835,l,2018-09-29 18:00:00,0,0,1,0,-0.43974899999999995
h,0.301024,0.371877,0.301024,0.371877,"{'att': 294, 'def': 37}","{'att': 211, 'def': 27}",2,8,1,0,1.1452,w,2018-10-06 18:00:00,1,0,0,3,-0.070853
a,0.573532,2.50391,0.573532,2.50391,"{'att': 349, 'def': 22}","{'att': 225, 'def': 22}",1,11,0,5,0.21610000000000001,l,2018-10-20 15:00:00,0,0,1,0,-1.9303779999999997
h,1.03691,1.6779,1.03691,1.6779,"{'att': 149, 'def': 24}","{'att': 261, 'def': 27}",6,2,1,2,0.7796000000000001,l,2018-10-27 18:00:00,0,0,1,0,-0.64099
a,0.702143,1.24182,0.702143,1.24182,"{'att': 337, 'def': 32}","{'att': 264, 'def': 18}",4,3,0,1,0.747,l,2018-11-03 19:00:00,0,0,1,0,-0.539677
a,0.703611,1.46625,0.703611,1.46625,"{'att': 184, 'def': 21}","{'att': 241, 'def': 22}",9,14,1,0,0.7739,w,2018-11-10 19:00:00,1,0,0,3,-0.7626390000000001
h,0.994152,1.84765,0.994152,1.08762,"{'att': 316, 'def': 24}","{'att': 217, 'def': 24}",4,12,1,3,0.6796000000000001,l,2018-11-25 20:00:00,0,0,1,0,-0.093468
