h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
h,1.03263,0.26742,1.03263,0.26742,"{'att': 135, 'def': 33}","{'att': 367, 'def': 12}",3,3,0,1,2.0473000000000003,l,2018-08-11 21:00:00,0,0,1,0,0.76521
a,0.568951,1.20052,0.568951,0.440488,"{'att': 180, 'def': 21}","{'att': 380, 'def': 34}",5,0,1,1,0.6763,d,2018-08-18 21:00:00,0,1,0,1,0.128463
h,1.7067,1.94227,1.7067,1.94227,"{'att': 240, 'def': 21}","{'att': 361, 'def': 34}",3,11,0,4,1.1723999999999999,l,2018-08-25 21:00:00,0,0,1,0,-0.23556999999999984
a,0.413102,1.93732,0.413102,1.93732,"{'att': 309, 'def': 23}","{'att': 236, 'def': 31}",1,11,1,0,0.3285,w,2018-08-31 21:45:00,1,0,0,3,-1.5242179999999999
h,1.43287,1.04178,1.43287,0.281686,"{'att': 198, 'def': 22}","{'att': 290, 'def': 33}",4,3,2,1,1.6335,w,2018-09-14 17:00:00,1,0,0,3,1.1511840000000002
a,0.311974,1.67209,0.311974,1.67209,"{'att': 212, 'def': 23}","{'att': 398, 'def': 29}",1,4,0,1,0.2883,l,2018-09-22 18:00:00,0,0,1,0,-1.360116
a,1.50808,0.867099,1.50808,0.867099,"{'att': 227, 'def': 32}","{'att': 256, 'def': 24}",8,4,2,1,1.8831,w,2018-09-25 17:00:00,1,0,0,3,0.6409810000000001
h,0.34909,3.19562,0.34909,3.19562,"{'att': 387, 'def': 23}","{'att': 223, 'def': 29}",3,9,0,3,0.0806,l,2018-09-29 15:15:00,0,0,1,0,-2.84653
a,0.732437,1.19251,0.732437,1.19251,"{'att': 198, 'def': 42}","{'att': 348, 'def': 26}",6,6,1,1,0.9276,d,2018-10-05 18:45:00,0,1,0,1,-0.46007299999999995
h,0.664719,0.477268,0.664719,0.477268,"{'att': 249, 'def': 19}","{'att': 361, 'def': 18}",4,5,0,1,1.4841000000000002,l,2018-10-21 19:00:00,0,0,1,0,0.18745099999999992
a,1.16671,1.67819,1.16671,1.67819,"{'att': 268, 'def': 22}","{'att': 289, 'def': 27}",6,15,1,0,0.9894000000000001,w,2018-10-28 15:00:00,1,0,0,3,-0.5114800000000002
h,1.24182,0.702143,1.24182,0.702143,"{'att': 264, 'def': 18}","{'att': 337, 'def': 32}",3,4,1,0,1.9434,w,2018-11-03 19:00:00,1,0,0,3,0.539677
a,1.11076,1.00634,1.11076,0.246241,"{'att': 118, 'def': 23}","{'att': 345, 'def': 19}",4,0,1,0,1.3689,w,2018-11-10 19:00:00,1,0,0,3,0.864519
h,0.888644,0.297641,0.888644,0.297641,"{'att': 226, 'def': 18}","{'att': 292, 'def': 36}",3,6,2,0,1.9175,w,2018-11-25 16:00:00,1,0,0,3,0.591003
a,0.616059,1.0441,0.616059,1.0441,"{'att': 210, 'def': 19}","{'att': 527, 'def': 17}",1,3,0,0,0.8893,d,2018-12-01 19:00:00,0,1,0,1,-0.428041
h,2.32239,0.25499,2.32239,0.25499,"{'att': 237, 'def': 27}","{'att': 526, 'def': 22}",2,1,0,0,2.8064999999999998,d,2018-12-04 18:00:00,0,1,0,1,2.0674
h,2.24971,1.54512,1.48962,1.54512,"{'att': 196, 'def': 17}","{'att': 290, 'def': 24}",11,6,1,1,1.8834,d,2018-12-16 00:00:00,0,1,0,1,-0.055500000000000105
a,1.56494,2.16724,0.710331,2.16724,"{'att': 253, 'def': 32}","{'att': 326, 'def': 33}",2,5,0,2,0.8775,l,2018-12-22 19:00:00,0,0,1,0,-1.456909
h,1.63508,1.62458,0.875053,1.62458,"{'att': 290, 'def': 29}","{'att': 279, 'def': 32}",4,7,1,0,1.3565999999999998,w,2019-01-12 19:00:00,1,0,0,3,-0.7495269999999999
a,1.25386,0.989003,0.493766,0.989003,"{'att': 314, 'def': 16}","{'att': 328, 'def': 26}",0,6,1,1,1.6406,d,2019-01-16 18:00:00,0,1,0,1,-0.495237
a,1.0655,1.29292,0.305468,1.29292,"{'att': 196, 'def': 20}","{'att': 397, 'def': 31}",1,6,1,1,1.1324999999999998,d,2019-01-19 19:00:00,0,1,0,1,-0.987452
h,1.72169,0.689154,1.72169,0.689154,"{'att': 195, 'def': 30}","{'att': 457, 'def': 45}",5,3,2,0,2.2067,w,2019-01-26 19:00:00,1,0,0,3,1.032536
a,0.504972,2.38345,0.504972,2.38345,"{'att': 302, 'def': 16}","{'att': 469, 'def': 29}",2,2,0,4,0.2187,l,2019-02-01 19:45:00,0,0,1,0,-1.8784779999999999
h,1.5374,2.46454,0.777305,2.46454,"{'att': 267, 'def': 12}","{'att': 242, 'def': 25}",1,11,1,0,0.7572,w,2019-02-10 20:00:00,1,0,0,3,-1.6872349999999998
a,0.484624,2.26785,0.484624,1.50775,"{'att': 172, 'def': 24}","{'att': 585, 'def': 16}",4,5,0,3,0.22360000000000002,l,2019-02-16 19:00:00,0,0,1,0,-1.023126
a,0.204022,1.66901,0.204022,1.66901,"{'att': 122, 'def': 15}","{'att': 361, 'def': 25}",2,5,0,1,0.2564,l,2019-02-23 19:00:00,0,0,1,0,-1.4649880000000002
h,1.37605,0.387812,1.37605,0.387812,"{'att': 281, 'def': 14}","{'att': 322, 'def': 31}",6,12,1,0,2.3122000000000003,w,2019-03-03 14:00:00,1,0,0,3,0.988238
a,0.506387,0.667651,0.506387,0.667651,"{'att': 316, 'def': 25}","{'att': 309, 'def': 59}",0,4,0,1,1.1328,l,2019-03-10 20:00:00,0,0,1,0,-0.16126399999999996
h,0.689083,1.05922,0.689083,1.05922,"{'att': 219, 'def': 21}","{'att': 264, 'def': 44}",4,7,1,1,1.0214999999999999,d,2019-03-15 18:00:00,0,1,0,1,-0.37013700000000005
a,0.762646,0.616458,0.762646,0.616458,"{'att': 225, 'def': 12}","{'att': 289, 'def': 25}",2,5,1,0,1.4782,w,2019-03-31 13:00:00,1,0,0,3,0.1461880000000001
h,1.3882,0.585107,1.3882,0.585107,"{'att': 274, 'def': 19}","{'att': 347, 'def': 28}",2,7,1,0,2.0557000000000003,w,2019-04-07 16:00:00,1,0,0,3,0.8030930000000001
a,0.482453,1.06213,0.482453,1.06213,"{'att': 324, 'def': 20}","{'att': 353, 'def': 28}",4,2,0,0,0.755,d,2019-04-14 14:00:00,0,1,0,1,-0.579677
h,2.43168,0.336975,1.67158,0.336975,"{'att': 191, 'def': 19}","{'att': 385, 'def': 20}",6,3,0,1,2.7862,l,2019-04-20 19:00:00,0,0,1,0,1.334605
h,2.47263,0.553315,2.47263,0.553315,"{'att': 184, 'def': 24}","{'att': 401, 'def': 35}",8,4,3,0,2.6831000000000005,w,2019-04-28 14:00:00,1,0,0,3,1.919315
a,1.07144,2.56298,1.07144,1.04279,"{'att': 333, 'def': 16}","{'att': 287, 'def': 36}",3,15,1,1,0.33440000000000003,d,2019-05-04 16:00:00,0,1,0,1,0.028649999999999842
h,1.8569,2.47631,1.09681,2.47631,"{'att': 241, 'def': 31}","{'att': 354, 'def': 37}",2,2,1,1,0.9191,d,2019-05-11 19:00:00,0,1,0,1,-1.3794999999999997
a,0.86802,2.08331,0.86802,2.08331,"{'att': 140, 'def': 25}","{'att': 358, 'def': 40}",6,7,0,3,0.4938,l,2019-05-18 19:00:00,0,0,1,0,-1.21529
h,1.25529,1.47108,0.495197,1.47108,"{'att': 280, 'def': 22}","{'att': 452, 'def': 23}",3,7,2,0,1.1965,w,2019-05-24 19:05:00,1,0,0,3,-0.975883
