h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
a,0.305387,3.61599,0.305387,2.8559,"{'att': 475, 'def': 9}","{'att': 138, 'def': 34}",3,12,0,3,0.0266,l,2019-08-11 20:00:00,0,0,1,0,-2.550513
h,1.26223,2.00012,0.502131,1.24002,"{'att': 246, 'def': 30}","{'att': 220, 'def': 14}",9,4,1,2,0.7054,l,2019-08-17 19:00:00,0,0,1,0,-0.7378889999999999
a,2.24062,2.40125,2.24062,2.40125,"{'att': 214, 'def': 23}","{'att': 250, 'def': 27}",2,10,2,2,1.2823,d,2019-08-25 14:00:00,0,1,0,1,-0.16063000000000027
h,2.334,0.8598,2.334,0.8598,"{'att': 345, 'def': 22}","{'att': 152, 'def': 17}",6,4,3,0,2.3896,w,2019-08-31 18:00:00,1,0,0,3,1.4742000000000002
a,0.342108,0.789744,0.342108,0.789744,"{'att': 323, 'def': 27}","{'att': 172, 'def': 22}",4,3,0,0,0.8263,d,2019-09-14 18:00:00,0,1,0,1,-0.447636
h,1.62783,0.844257,1.62783,0.844257,"{'att': 308, 'def': 27}","{'att': 184, 'def': 15}",7,7,1,0,1.9608000000000003,w,2019-09-21 18:00:00,1,0,0,3,0.7835730000000001
a,0.719947,0.579923,0.719947,0.579923,"{'att': 222, 'def': 31}","{'att': 165, 'def': 23}",6,5,0,1,1.4499,l,2019-09-25 17:00:00,0,0,1,0,0.14002400000000004
h,1.71161,0.856429,1.71161,0.856429,"{'att': 139, 'def': 21}","{'att': 293, 'def': 20}",4,3,0,1,2.0194,l,2019-09-29 15:00:00,0,0,1,0,0.8551810000000001
a,1.76186,2.57207,1.00176,2.57207,"{'att': 294, 'def': 17}","{'att': 117, 'def': 21}",4,7,2,2,0.7771,d,2019-10-06 14:00:00,0,1,0,1,-1.57031
h,0.317325,0.941379,0.317325,0.941379,"{'att': 258, 'def': 25}","{'att': 126, 'def': 28}",4,9,1,1,0.7115,d,2019-10-19 19:00:00,0,1,0,1,-0.6240539999999999
a,0.409188,0.327724,0.409188,0.327724,"{'att': 215, 'def': 16}","{'att': 168, 'def': 18}",0,2,0,0,1.3267,d,2019-10-26 19:00:00,0,1,0,1,0.08146399999999998
a,0.728859,3.34398,0.728859,3.34398,"{'att': 248, 'def': 15}","{'att': 121, 'def': 26}",2,7,1,4,0.14129999999999998,l,2019-11-09 19:00:00,0,0,1,0,-2.6151210000000003
a,0.569399,1.13196,0.569399,1.13196,"{'att': 243, 'def': 20}","{'att': 393, 'def': 26}",4,5,0,1,0.8577999999999999,l,2019-11-23 19:00:00,0,0,1,0,-0.5625610000000001
h,0.467733,0.605779,0.467733,0.605779,"{'att': 195, 'def': 24}","{'att': 233, 'def': 24}",3,3,1,1,1.1362,d,2019-11-30 19:00:00,0,1,0,1,-0.13804599999999995
a,0.192769,2.0996,0.192769,2.0996,"{'att': 584, 'def': 21}","{'att': 146, 'def': 21}",3,5,0,6,0.1627,l,2019-12-03 18:00:00,0,0,1,0,-1.9068310000000002
h,0.455948,2.68047,0.455948,1.92037,"{'att': 298, 'def': 16}","{'att': 81, 'def': 26}",0,17,0,4,0.1178,l,2019-12-06 19:45:00,0,0,1,0,-1.464422
h,0.848701,1.31851,0.848701,1.31851,"{'att': 185, 'def': 28}","{'att': 211, 'def': 27}",1,2,0,1,0.9391,l,2019-12-14 19:00:00,0,0,1,0,-0.46980900000000003
a,1.14972,1.97361,1.14972,1.97361,"{'att': 323, 'def': 20}","{'att': 207, 'def': 19}",3,7,1,3,0.728,l,2019-12-21 19:45:00,0,0,1,0,-0.82389
h,1.63031,0.504333,1.63031,0.504333,"{'att': 173, 'def': 36}","{'att': 138, 'def': 25}",3,4,2,0,2.3535,w,2020-01-11 19:00:00,1,0,0,3,1.1259769999999998
h,0.190223,0.666492,0.190223,0.666492,"{'att': 149, 'def': 36}","{'att': 177, 'def': 22}",4,2,0,1,0.7223999999999999,l,2020-01-15 18:00:00,0,0,1,0,-0.47626899999999994
a,0.690494,2.13523,0.690494,1.37514,"{'att': 213, 'def': 30}","{'att': 215, 'def': 20}",3,2,1,2,0.3575,l,2020-01-25 19:00:00,0,0,1,0,-0.684646
h,1.72671,0.732842,1.72671,0.732842,"{'att': 156, 'def': 27}","{'att': 177, 'def': 7}",9,2,3,1,2.1284,w,2020-02-01 19:00:00,1,0,0,3,0.993868
h,1.43959,0.500338,1.43959,0.500338,"{'att': 243, 'def': 55}","{'att': 86, 'def': 36}",2,8,2,0,2.185,w,2020-02-05 18:00:00,1,0,0,3,0.939252
a,1.71921,0.704132,1.71921,0.704132,"{'att': 350, 'def': 31}","{'att': 208, 'def': 18}",4,9,3,1,2.209,w,2020-02-08 19:00:00,1,0,0,3,1.015078
h,0.977294,0.480458,0.977294,0.480458,"{'att': 185, 'def': 23}","{'att': 190, 'def': 23}",3,4,1,0,1.7965,w,2020-02-15 19:00:00,1,0,0,3,0.496836
a,0.3864,2.42942,0.3864,2.42942,"{'att': 348, 'def': 22}","{'att': 199, 'def': 20}",6,8,1,2,0.18430000000000002,l,2020-02-23 16:00:00,0,0,1,0,-2.04302
h,2.4154,1.97133,2.4154,1.97133,"{'att': 223, 'def': 30}","{'att': 159, 'def': 20}",3,3,2,3,1.7126000000000001,l,2020-02-28 19:45:00,0,0,1,0,0.44406999999999996
a,1.57289,1.40623,1.57289,1.40623,"{'att': 206, 'def': 21}","{'att': 176, 'def': 28}",7,5,1,2,1.4799000000000002,l,2020-03-07 18:00:00,0,0,1,0,0.1666599999999998
