h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
a,1.17033,2.56158,1.17033,1.80149,"{'att': 225, 'def': 22}","{'att': 256, 'def': 29}",2,11,1,0,0.4745,w,2019-08-10 19:00:00,1,0,0,3,-0.6311599999999999
h,1.18588,0.844939,1.18588,0.844939,"{'att': 360, 'def': 19}","{'att': 230, 'def': 28}",5,5,2,1,1.6477,w,2019-08-18 20:00:00,1,0,0,3,0.34094100000000005
a,0.496085,1.62131,0.496085,0.861212,"{'att': 206, 'def': 24}","{'att': 262, 'def': 26}",2,6,2,0,0.4273,w,2019-08-25 16:00:00,1,0,0,3,-0.365127
h,0.592177,1.68646,0.592177,0.926364,"{'att': 321, 'def': 23}","{'att': 202, 'def': 23}",1,1,1,2,0.44699999999999995,l,2019-09-01 14:00:00,0,0,1,0,-0.334187
a,0.424593,0.388148,0.424593,0.388148,"{'att': 254, 'def': 22}","{'att': 270, 'def': 17}",1,7,0,0,1.2839,d,2019-09-14 18:00:00,0,1,0,1,0.036445000000000005
h,0.645681,1.10925,0.645681,1.10925,"{'att': 260, 'def': 16}","{'att': 275, 'def': 23}",4,6,1,1,0.877,d,2019-09-22 13:00:00,0,1,0,1,-0.4635690000000001
a,1.05701,1.42973,0.296919,0.669636,"{'att': 199, 'def': 20}","{'att': 281, 'def': 27}",5,5,0,1,0.9557,l,2019-09-25 17:00:00,0,0,1,0,-0.372717
a,0.682156,0.674547,0.682156,0.674547,"{'att': 274, 'def': 27}","{'att': 257, 'def': 35}",6,6,1,1,1.2926,d,2019-09-29 19:00:00,0,1,0,1,0.007608999999999977
h,1.01154,1.89057,1.01154,1.89057,"{'att': 155, 'def': 36}","{'att': 274, 'def': 20}",5,6,0,1,0.7461,l,2019-10-06 16:00:00,0,0,1,0,-0.87903
a,1.32184,1.72675,1.32184,1.72675,"{'att': 291, 'def': 20}","{'att': 206, 'def': 19}",1,13,2,3,0.9979,l,2019-10-20 16:00:00,0,0,1,0,-0.4049100000000001
h,2.20537,0.98473,2.20537,0.98473,"{'att': 121, 'def': 21}","{'att': 166, 'def': 30}",5,3,3,2,2.2836,w,2019-10-27 14:00:00,1,0,0,3,1.22064
h,3.40531,0.473376,2.64522,0.473376,"{'att': 253, 'def': 20}","{'att': 207, 'def': 24}",6,5,3,1,2.929,w,2019-11-10 14:00:00,1,0,0,3,2.171844
a,0.672553,0.614922,0.672553,0.614922,"{'att': 332, 'def': 23}","{'att': 250, 'def': 29}",6,4,1,2,1.3692,l,2019-11-23 19:00:00,0,0,1,0,0.05763099999999999
h,1.48946,0.681836,1.48946,0.681836,"{'att': 227, 'def': 31}","{'att': 273, 'def': 28}",4,1,2,1,2.0512,w,2019-12-01 16:00:00,1,0,0,3,0.807624
a,1.13014,0.732116,1.13014,0.732116,"{'att': 295, 'def': 21}","{'att': 227, 'def': 22}",4,7,1,0,1.7456,w,2019-12-04 18:00:00,1,0,0,3,0.39802399999999993
h,1.28615,0.929726,1.28615,0.929726,"{'att': 354, 'def': 24}","{'att': 291, 'def': 27}",6,2,2,1,1.6572999999999998,w,2019-12-07 19:00:00,1,0,0,3,0.35642399999999985
a,0.939364,0.529236,0.939364,0.529236,"{'att': 305, 'def': 24}","{'att': 249, 'def': 27}",4,3,1,0,1.683,w,2019-12-15 16:00:00,1,0,0,3,0.41012799999999994
h,1.07897,0.540713,1.07897,0.540713,"{'att': 285, 'def': 27}","{'att': 208, 'def': 37}",7,3,1,0,1.8613,w,2019-12-21 19:45:00,1,0,0,3,0.538257
h,0.494628,0.831327,0.494628,0.831327,"{'att': 182, 'def': 28}","{'att': 226, 'def': 31}",1,0,0,1,0.9141,l,2020-01-10 19:45:00,0,0,1,0,-0.336699
a,0.666492,0.190223,0.666492,0.190223,"{'att': 177, 'def': 22}","{'att': 149, 'def': 36}",2,4,1,0,1.8213,w,2020-01-15 18:00:00,1,0,0,3,0.47626899999999994
a,2.01285,2.04075,2.01285,2.04075,"{'att': 311, 'def': 27}","{'att': 219, 'def': 28}",11,4,1,1,1.36,d,2020-01-24 19:00:00,0,1,0,1,-0.027900000000000258
h,2.21888,0.876406,1.32365,0.876406,"{'att': 194, 'def': 32}","{'att': 300, 'def': 24}",5,3,3,2,2.4686,w,2020-01-31 18:00:00,1,0,0,3,0.447244
a,0.391231,0.948652,0.391231,0.948652,"{'att': 220, 'def': 17}","{'att': 269, 'def': 20}",0,2,0,1,0.7698,l,2020-02-04 18:00:00,0,0,1,0,-0.557421
h,0.829419,0.39852,0.829419,0.39852,"{'att': 226, 'def': 27}","{'att': 328, 'def': 24}",6,4,0,0,1.7261,d,2020-02-08 19:00:00,0,1,0,1,0.43089900000000003
a,0.137662,1.29988,0.137662,0.539786,"{'att': 327, 'def': 23}","{'att': 261, 'def': 26}",1,5,0,1,0.2366,l,2020-02-16 16:00:00,0,0,1,0,-0.402124
h,2.42942,0.3864,2.42942,0.3864,"{'att': 199, 'def': 20}","{'att': 348, 'def': 22}",8,6,2,1,2.7154,w,2020-02-23 16:00:00,1,0,0,3,2.04302
a,1.20906,0.81746,1.20906,0.81746,"{'att': 176, 'def': 23}","{'att': 357, 'def': 18}",3,5,2,0,1.6956000000000002,w,2020-02-29 19:00:00,1,0,0,3,0.39160000000000006
h,3.18379,0.940729,1.6636,0.940729,"{'att': 276, 'def': 20}","{'att': 341, 'def': 18}",10,5,5,0,2.7386999999999997,w,2020-03-08 15:00:00,1,0,0,3,0.7228709999999999
