h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
h,1.60857,0.252178,1.60857,0.252178,"{'att': 259, 'def': 17}","{'att': 406, 'def': 28}",4,4,1,1,2.4896000000000003,d,2019-08-11 16:00:00,0,1,0,1,1.356392
a,0.560077,0.337739,0.560077,0.337739,"{'att': 353, 'def': 18}","{'att': 236, 'def': 28}",1,5,0,0,1.5553,d,2019-08-18 16:00:00,0,1,0,1,0.22233800000000004
h,1.62131,0.496085,0.861212,0.496085,"{'att': 262, 'def': 26}","{'att': 206, 'def': 24}",6,2,0,2,2.3491,l,2019-08-25 16:00:00,0,0,1,0,0.365127
h,1.34345,2.87671,0.583355,2.87671,"{'att': 167, 'def': 26}","{'att': 292, 'def': 31}",9,5,2,2,0.3946,d,2019-09-01 16:00:00,0,1,0,1,-2.293355
a,0.561424,0.839304,0.561424,0.839304,"{'att': 304, 'def': 16}","{'att': 232, 'def': 35}",2,13,0,1,1.0722,l,2019-09-14 15:30:00,0,0,1,0,-0.27788
h,1.87224,0.553506,1.11215,0.553506,"{'att': 181, 'def': 21}","{'att': 321, 'def': 24}",5,3,2,1,2.4608,w,2019-09-20 18:45:00,1,0,0,3,0.5586439999999999
a,0.234977,3.02158,0.234977,3.02158,"{'att': 432, 'def': 12}","{'att': 212, 'def': 24}",3,4,0,2,0.052899999999999996,l,2019-09-25 17:00:00,0,0,1,0,-2.7866030000000004
h,0.390945,1.28128,0.390945,0.521186,"{'att': 239, 'def': 25}","{'att': 201, 'def': 27}",2,5,1,0,0.4679,w,2019-09-29 13:00:00,1,0,0,3,-0.13024100000000005
a,0.780588,1.18723,0.780588,1.18723,"{'att': 223, 'def': 27}","{'att': 366, 'def': 16}",12,4,0,1,0.9347,l,2019-10-05 19:00:00,0,0,1,0,-0.40664200000000006
a,0.32374,1.5975,0.32374,0.837407,"{'att': 304, 'def': 24}","{'att': 302, 'def': 21}",4,3,0,2,0.2964,l,2019-10-20 20:00:00,0,0,1,0,-0.513667
h,2.00977,0.937597,2.00977,0.937597,"{'att': 263, 'def': 45}","{'att': 229, 'def': 18}",6,1,1,0,2.154,w,2019-10-26 19:00:00,1,0,0,3,1.072173
a,1.37295,0.985715,1.37295,0.22562,"{'att': 142, 'def': 32}","{'att': 354, 'def': 19}",3,1,0,1,1.7115,l,2019-11-02 19:00:00,0,0,1,0,1.14733
h,3.34398,0.728859,3.34398,0.728859,"{'att': 121, 'def': 26}","{'att': 248, 'def': 15}",7,2,4,1,2.7918,w,2019-11-09 19:00:00,1,0,0,3,2.6151210000000003
a,2.67166,0.205703,2.67166,0.205703,"{'att': 364, 'def': 23}","{'att': 264, 'def': 21}",7,1,4,0,2.9308,w,2019-11-23 19:00:00,1,0,0,3,2.465957
h,0.422943,0.819941,0.422943,0.819941,"{'att': 222, 'def': 20}","{'att': 235, 'def': 20}",5,1,1,2,0.8688,l,2019-11-30 17:00:00,0,0,1,0,-0.396998
a,0.775747,2.23505,0.775747,1.47502,"{'att': 269, 'def': 21}","{'att': 227, 'def': 17}",8,6,0,5,0.3507,l,2019-12-03 18:00:00,0,0,1,0,-0.699273
h,2.82508,2.12038,2.82508,2.12038,"{'att': 226, 'def': 30}","{'att': 293, 'def': 21}",10,6,4,2,1.8466,w,2019-12-07 19:00:00,1,0,0,3,0.7046999999999999
a,0.527336,1.28592,0.527336,1.28592,"{'att': 452, 'def': 12}","{'att': 186, 'def': 22}",3,5,1,0,0.6482,w,2019-12-15 14:00:00,1,0,0,3,-0.7585839999999999
h,0.501404,1.46101,0.501404,0.700919,"{'att': 307, 'def': 32}","{'att': 181, 'def': 31}",1,3,2,1,0.4651,w,2019-12-21 19:45:00,1,0,0,3,-0.199515
a,1.16736,1.00705,1.16736,1.00705,"{'att': 332, 'def': 24}","{'att': 263, 'def': 13}",8,2,0,1,1.4222000000000001,l,2020-01-11 19:00:00,0,0,1,0,0.16030999999999995
a,1.14162,1.06289,1.14162,1.06289,"{'att': 360, 'def': 15}","{'att': 251, 'def': 27}",3,1,3,1,1.3646000000000003,w,2020-01-25 19:00:00,1,0,0,3,0.07873000000000019
h,1.05247,1.56981,1.05247,0.809718,"{'att': 218, 'def': 16}","{'att': 159, 'def': 32}",3,6,1,2,0.9041,l,2020-02-01 19:00:00,0,0,1,0,0.24275199999999997
a,1.63603,0.991734,1.63603,0.991734,"{'att': 188, 'def': 18}","{'att': 347, 'def': 37}",5,3,1,0,1.8848000000000003,w,2020-02-05 18:00:00,1,0,0,3,0.6442960000000001
h,2.94212,0.516785,2.18202,0.516785,"{'att': 256, 'def': 29}","{'att': 235, 'def': 18}",5,6,3,0,2.8438000000000003,w,2020-02-09 16:00:00,1,0,0,3,1.665235
a,1.37886,1.22494,1.37886,1.22494,"{'att': 296, 'def': 27}","{'att': 168, 'def': 27}",1,2,1,1,1.4786000000000001,d,2020-02-16 14:00:00,0,1,0,1,0.15392000000000006
h,0.63802,0.0631697,0.63802,0.0631697,"{'att': 118, 'def': 23}","{'att': 216, 'def': 33}",6,2,0,0,1.8988,d,2020-02-22 19:00:00,0,1,0,1,0.5748503
a,0.851456,3.80176,0.851456,3.04166,"{'att': 216, 'def': 24}","{'att': 296, 'def': 15}",4,4,0,3,0.0989,l,2020-02-29 19:00:00,0,0,1,0,-2.1902039999999996
