h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
a,3.03614,0.180464,2.27604,0.180464,"{'att': 360, 'def': 29}","{'att': 218, 'def': 30}",5,3,1,2,2.9621,l,2020-08-23 15:00:00,0,0,1,0,2.095576
h,1.71747,0.344198,1.71747,0.344198,"{'att': 538, 'def': 35}","{'att': 117, 'def': 24}",5,4,1,0,2.5627999999999997,w,2020-09-10 21:00:00,1,0,0,3,1.373272
a,1.98746,0.919743,1.22737,0.159648,"{'att': 193, 'def': 27}","{'att': 228, 'def': 33}",8,3,3,2,2.2647,w,2020-09-13 13:00:00,1,0,0,3,1.067722
h,3.02331,0.359182,2.26321,0.359182,"{'att': 260, 'def': 26}","{'att': 341, 'def': 29}",6,2,2,1,2.8739999999999997,w,2020-09-19 15:00:00,1,0,0,3,1.9040279999999998
a,1.37195,0.370624,1.37195,0.370624,"{'att': 233, 'def': 22}","{'att': 225, 'def': 18}",6,5,1,1,2.2236000000000002,d,2020-09-27 13:00:00,0,1,0,1,1.001326
h,2.13387,0.0932933,1.37384,0.0932933,"{'att': 158, 'def': 51}","{'att': 308, 'def': 14}",8,0,2,0,2.8573,w,2020-10-03 15:00:00,1,0,0,3,1.2805467
a,0.254965,2.90262,0.254965,2.90262,"{'att': 313, 'def': 27}","{'att': 230, 'def': 21}",1,4,0,4,0.0744,l,2020-10-18 19:00:00,0,0,1,0,-2.6476550000000003
h,2.04125,1.02999,2.04125,1.02999,"{'att': 193, 'def': 29}","{'att': 354, 'def': 17}",5,0,4,4,2.1571000000000002,d,2020-11-08 14:00:00,0,1,0,1,1.0112599999999998
a,1.28012,0.672083,1.28012,0.672083,"{'att': 326, 'def': 13}","{'att': 287, 'def': 30}",4,3,1,0,1.9935,w,2020-11-22 14:00:00,1,0,0,3,0.6080369999999999
h,0.875771,2.16695,0.875771,1.40692,"{'att': 267, 'def': 28}","{'att': 228, 'def': 27}",6,6,1,1,0.40059999999999996,d,2020-11-25 12:00:00,0,1,0,1,-0.531149
h,1.3761,2.62737,1.3761,2.62737,"{'att': 221, 'def': 22}","{'att': 375, 'def': 24}",8,6,1,3,0.5294,l,2020-11-29 14:00:00,0,0,1,0,-1.2512699999999999
a,0.927878,0.503822,0.927878,0.503822,"{'att': 282, 'def': 17}","{'att': 158, 'def': 27}",3,7,2,0,1.7981000000000003,w,2020-12-05 16:00:00,1,0,0,3,0.424056
h,1.38862,1.61719,0.628522,1.61719,"{'att': 209, 'def': 23}","{'att': 305, 'def': 16}",9,1,2,3,1.1409,l,2020-12-12 20:00:00,0,0,1,0,-0.9886679999999999
a,0.963125,0.928491,0.963125,0.928491,"{'att': 193, 'def': 34}","{'att': 509, 'def': 25}",1,2,3,0,1.3683,w,2020-12-16 20:00:00,1,0,0,3,0.034634000000000054
a,1.14532,1.16038,1.14532,1.16038,"{'att': 178, 'def': 19}","{'att': 272, 'def': 24}",9,3,0,2,1.3422,l,2020-12-19 16:00:00,0,0,1,0,-0.015060000000000073
h,2.02607,1.17648,1.26597,0.416387,"{'att': 290, 'def': 22}","{'att': 286, 'def': 31}",8,3,2,1,2.0437,w,2020-12-23 18:00:00,1,0,0,3,0.849583
a,0.947234,1.82314,0.947234,1.06305,"{'att': 249, 'def': 23}","{'att': 262, 'def': 12}",6,9,2,3,0.6762999999999999,l,2021-01-06 20:00:00,0,0,1,0,-0.11581600000000003
h,0.57533,1.57769,0.57533,1.57769,"{'att': 148, 'def': 26}","{'att': 352, 'def': 20}",5,4,0,1,0.5408,l,2021-01-09 20:00:00,0,0,1,0,-1.00236
a,1.35642,1.15976,0.596322,0.399669,"{'att': 171, 'def': 27}","{'att': 302, 'def': 31}",6,2,1,1,1.5172,d,2021-01-17 14:00:00,0,1,0,1,0.19665300000000002
a,1.55004,0.118724,1.55004,0.118724,"{'att': 263, 'def': 34}","{'att': 320, 'def': 27}",1,1,1,0,2.6590000000000003,w,2021-01-20 22:00:00,1,0,0,3,1.431316
h,1.18896,0.547266,1.18896,0.547266,"{'att': 240, 'def': 24}","{'att': 294, 'def': 26}",3,4,0,1,1.9651,l,2021-01-23 16:00:00,0,0,1,0,0.641694
a,1.07049,1.03811,1.07049,1.03811,"{'att': 213, 'def': 17}","{'att': 191, 'def': 28}",3,4,2,1,1.4015000000000002,w,2021-01-30 16:00:00,1,0,0,3,0.03237999999999985
h,1.53188,1.3201,1.53188,1.3201,"{'att': 151, 'def': 29}","{'att': 291, 'def': 23}",7,7,2,2,1.4781,d,2021-02-03 20:00:00,0,1,0,1,0.21177999999999986
h,1.09008,0.549443,1.09008,0.549443,"{'att': 282, 'def': 21}","{'att': 337, 'def': 27}",3,4,0,0,1.9491,d,2021-02-06 20:00:00,0,1,0,1,0.5406369999999999
a,3.15679,0.679141,2.39676,0.679141,"{'att': 173, 'def': 26}","{'att': 303, 'def': 20}",8,1,1,1,2.8074999999999997,d,2021-02-13 18:00:00,0,1,0,1,1.717619
h,1.29752,0.88646,1.29752,0.88646,"{'att': 234, 'def': 27}","{'att': 279, 'def': 21}",4,2,2,1,1.7293,w,2021-02-21 14:00:00,1,0,0,3,0.41106
a,1.0798,1.71598,1.0798,0.955884,"{'att': 128, 'def': 26}","{'att': 245, 'def': 22}",3,2,2,2,0.8029000000000001,d,2021-02-28 14:00:00,0,1,0,1,0.12391600000000014
a,1.97268,1.73128,1.21258,0.971182,"{'att': 316, 'def': 16}","{'att': 158, 'def': 29}",4,7,3,2,1.5586,w,2021-03-03 18:00:00,1,0,0,3,0.241398
h,2.37531,1.46077,2.37531,0.700678,"{'att': 276, 'def': 30}","{'att': 245, 'def': 20}",6,1,2,2,2.0848999999999998,d,2021-03-14 14:00:00,0,1,0,1,1.674632
a,1.55355,2.11369,1.55355,2.11369,"{'att': 267, 'def': 17}","{'att': 178, 'def': 12}",9,7,2,1,0.9624,w,2021-03-21 12:00:00,1,0,0,3,-0.5601400000000001
h,0.672298,2.10812,0.672298,2.10812,"{'att': 359, 'def': 20}","{'att': 207, 'def': 27}",5,13,1,1,0.4164,d,2021-04-03 19:00:00,0,1,0,1,-1.435822
h,3.35961,1.94788,1.83955,1.94788,"{'att': 339, 'def': 18}","{'att': 195, 'def': 30}",7,9,4,1,2.3133,w,2021-04-11 13:00:00,1,0,0,3,-0.10833000000000004
a,1.06491,0.391745,0.304812,0.391745,"{'att': 177, 'def': 18}","{'att': 246, 'def': 17}",5,8,1,1,2.1182000000000003,d,2021-04-18 13:00:00,0,1,0,1,-0.08693299999999998
h,0.712516,1.45501,0.712516,0.69491,"{'att': 252, 'def': 23}","{'att': 185, 'def': 26}",1,10,2,1,0.6793,w,2021-04-25 13:00:00,1,0,0,3,0.01760600000000001
a,1.51498,1.37764,1.51498,1.37764,"{'att': 382, 'def': 28}","{'att': 219, 'def': 32}",7,9,1,2,1.5058,l,2021-05-01 15:00:00,0,0,1,0,0.13734000000000002
h,1.38117,1.24486,1.38117,0.484769,"{'att': 375, 'def': 18}","{'att': 337, 'def': 9}",3,4,0,3,1.4375,l,2021-05-07 19:00:00,0,0,1,0,0.896401
a,1.12553,2.80699,1.12553,2.0469,"{'att': 150, 'def': 23}","{'att': 315, 'def': 24}",6,4,0,3,0.3982,l,2021-05-16 19:00:00,0,0,1,0,-0.92137
h,0.23839,1.308,0.23839,1.308,"{'att': 322, 'def': 13}","{'att': 181, 'def': 23}",2,12,0,0,0.4444,d,2021-05-23 19:00:00,0,1,0,1,-1.06961
