h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
h,3.07214,0.326826,2.31211,0.326826,"{'att': 251, 'def': 35}","{'att': 261, 'def': 15}",2,4,3,1,2.9185,w,2020-08-23 13:00:00,1,0,0,3,1.985284
a,0.2149,1.39361,0.2149,1.39361,"{'att': 288, 'def': 43}","{'att': 219, 'def': 24}",1,2,0,2,0.3547,l,2020-08-30 13:00:00,0,0,1,0,-1.17871
h,0.919743,1.98746,0.159648,1.22737,"{'att': 228, 'def': 33}","{'att': 193, 'def': 27}",3,8,2,3,0.4905,l,2020-09-13 13:00:00,0,0,1,0,-1.067722
a,1.49951,1.21203,1.49951,1.21203,"{'att': 286, 'def': 19}","{'att': 225, 'def': 37}",1,10,2,3,1.6038000000000001,l,2020-09-20 13:00:00,0,0,1,0,0.28747999999999996
h,0.299841,0.818784,0.299841,0.818784,"{'att': 359, 'def': 20}","{'att': 185, 'def': 15}",4,11,1,1,0.7813,d,2020-09-27 15:00:00,0,1,0,1,-0.5189429999999999
a,0.853711,1.60054,0.853711,0.840447,"{'att': 303, 'def': 24}","{'att': 231, 'def': 25}",1,6,1,3,0.7021999999999999,l,2020-10-04 13:00:00,0,0,1,0,0.013263999999999943
a,2.81036,0.273331,2.05026,0.273331,"{'att': 180, 'def': 31}","{'att': 239, 'def': 25}",4,3,3,1,2.9358,w,2020-10-17 15:00:00,1,0,0,3,1.7769290000000002
h,0.846635,0.880426,0.846635,0.880426,"{'att': 313, 'def': 32}","{'att': 135, 'def': 28}",2,4,0,1,1.3052,l,2020-10-24 15:00:00,0,0,1,0,-0.033791000000000015
a,1.14876,0.377123,0.388669,0.377123,"{'att': 293, 'def': 28}","{'att': 246, 'def': 24}",3,3,0,0,2.1959,d,2020-11-01 14:00:00,0,1,0,1,0.011546
h,1.77629,1.46578,1.77629,1.46578,"{'att': 205, 'def': 26}","{'att': 183, 'def': 23}",3,4,0,2,1.5932000000000002,l,2020-11-08 14:00:00,0,0,1,0,0.31050999999999984
a,0.462287,3.37221,0.462287,3.37221,"{'att': 373, 'def': 19}","{'att': 253, 'def': 32}",2,17,0,4,0.087,l,2020-11-22 20:00:00,0,0,1,0,-2.909923
h,0.343499,1.47115,0.343499,0.711117,"{'att': 301, 'def': 18}","{'att': 204, 'def': 23}",6,3,0,1,0.3644,l,2020-11-29 14:00:00,0,0,1,0,-0.367618
a,0.33512,1.91353,0.33512,1.91353,"{'att': 261, 'def': 37}","{'att': 291, 'def': 30}",4,6,0,2,0.2714,l,2020-12-06 14:00:00,0,0,1,0,-1.5784099999999999
h,2.82061,0.562896,2.06058,0.562896,"{'att': 290, 'def': 24}","{'att': 230, 'def': 31}",7,5,3,0,2.7851999999999997,w,2020-12-13 14:00:00,1,0,0,3,1.497684
a,1.30249,2.80047,1.30249,2.04044,"{'att': 425, 'def': 15}","{'att': 128, 'def': 40}",3,12,0,2,0.4497,l,2020-12-16 20:00:00,0,0,1,0,-0.7379499999999999
h,1.0355,1.00048,1.0355,1.00048,"{'att': 336, 'def': 37}","{'att': 279, 'def': 14}",3,5,0,3,1.4122999999999999,l,2020-12-20 16:00:00,0,0,1,0,0.03502000000000005
a,2.13449,0.656687,1.3744,0.656687,"{'att': 292, 'def': 28}","{'att': 358, 'def': 14}",11,3,2,2,2.5265,d,2020-12-23 18:00:00,0,1,0,1,0.717713
h,0.61232,2.81772,0.61232,2.81772,"{'att': 307, 'def': 22}","{'att': 239, 'def': 22}",2,12,2,5,0.1131,l,2021-01-06 18:00:00,0,0,1,0,-2.2054
a,1.06734,1.61234,1.06734,1.61234,"{'att': 289, 'def': 23}","{'att': 284, 'def': 18}",4,6,1,2,0.8964000000000001,l,2021-01-09 20:00:00,0,0,1,0,-0.5450000000000002
h,0.895978,1.6704,0.895978,1.6704,"{'att': 210, 'def': 31}","{'att': 154, 'def': 20}",4,7,3,2,0.6984999999999999,w,2021-01-27 20:00:00,1,0,0,3,-0.774422
h,1.56057,2.64181,1.56057,1.12162,"{'att': 302, 'def': 18}","{'att': 171, 'def': 31}",5,7,3,2,0.6229,w,2021-01-31 14:00:00,1,0,0,3,0.43894999999999995
a,0.620552,1.03454,0.620552,1.03454,"{'att': 343, 'def': 15}","{'att': 240, 'def': 26}",4,11,1,1,0.9185000000000001,d,2021-02-03 18:00:00,0,1,0,1,-0.413988
h,1.11747,0.779858,1.11747,0.779858,"{'att': 309, 'def': 32}","{'att': 202, 'def': 29}",4,4,1,0,1.6966,w,2021-02-06 16:00:00,1,0,0,3,0.3376119999999999
a,1.43939,1.93864,0.679293,1.17854,"{'att': 409, 'def': 15}","{'att': 172, 'def': 46}",1,14,2,2,0.9673,d,2021-02-14 12:00:00,0,1,0,1,-0.4992469999999999
h,0.231568,1.04668,0.231568,1.04668,"{'att': 339, 'def': 21}","{'att': 287, 'def': 26}",0,3,1,4,0.5843,l,2021-02-21 16:00:00,0,0,1,0,-0.8151120000000001
a,0.3945,0.914735,0.3945,0.15464,"{'att': 260, 'def': 32}","{'att': 280, 'def': 23}",4,4,0,1,0.6424,l,2021-02-24 20:00:00,0,0,1,0,0.23986000000000002
h,0.858628,1.01869,0.858628,1.01869,"{'att': 242, 'def': 27}","{'att': 298, 'def': 21}",4,2,2,1,1.1758,w,2021-02-28 14:00:00,1,0,0,3,-0.16006200000000015
a,2.0525,0.6465,1.2924,0.6465,"{'att': 298, 'def': 23}","{'att': 267, 'def': 28}",6,3,1,1,2.4542,d,2021-03-03 20:00:00,0,1,0,1,0.6459
h,2.3105,0.511554,2.3105,0.511554,"{'att': 364, 'def': 26}","{'att': 311, 'def': 24}",4,2,1,1,2.6756,d,2021-03-14 14:00:00,0,1,0,1,1.7989460000000004
a,0.85463,1.39056,0.85463,1.39056,"{'att': 154, 'def': 14}","{'att': 374, 'def': 14}",4,5,1,1,0.873,d,2021-03-21 14:00:00,0,1,0,1,-0.53593
h,1.76108,0.231613,1.76108,0.231613,"{'att': 283, 'def': 20}","{'att': 198, 'def': 32}",3,5,1,0,2.6188000000000002,w,2021-04-04 13:00:00,1,0,0,3,1.529467
a,1.94788,3.35961,1.94788,1.83955,"{'att': 195, 'def': 30}","{'att': 339, 'def': 18}",9,7,1,4,0.5274,l,2021-04-11 13:00:00,0,0,1,0,0.10833000000000004
a,1.47384,2.44334,1.47384,2.44334,"{'att': 434, 'def': 16}","{'att': 156, 'def': 28}",4,17,2,3,0.6769000000000001,l,2021-04-17 15:00:00,0,0,1,0,-0.9695
h,2.10336,0.690014,2.10336,0.690014,"{'att': 298, 'def': 20}","{'att': 192, 'def': 27}",7,2,4,1,2.4215999999999998,w,2021-04-25 13:00:00,1,0,0,3,1.4133459999999998
h,2.41491,0.584175,1.65481,0.584175,"{'att': 356, 'def': 20}","{'att': 361, 'def': 22}",7,3,2,0,2.7025,w,2021-05-02 13:00:00,1,0,0,3,1.0706349999999998
a,0.61204,4.64266,0.61204,3.88256,"{'att': 399, 'def': 19}","{'att': 262, 'def': 30}",1,10,1,4,0.025300000000000003,l,2021-05-08 15:00:00,0,0,1,0,-3.27052
h,1.42765,0.0661912,0.667558,0.0661912,"{'att': 435, 'def': 29}","{'att': 206, 'def': 29}",4,2,2,1,2.7075,w,2021-05-16 19:00:00,1,0,0,3,0.6013668
a,0.521913,0.32396,0.521913,0.32396,"{'att': 335, 'def': 21}","{'att': 302, 'def': 20}",0,1,1,1,1.503,d,2021-05-23 19:00:00,0,1,0,1,0.19795299999999993
