h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
a,1.41617,0.267011,1.41617,0.267011,"{'att': 284, 'def': 25}","{'att': 221, 'def': 27}",3,3,2,0,2.4587,w,2021-08-08 13:00:00,1,0,0,3,1.149159
h,1.6418,0.977124,1.6418,0.977124,"{'att': 326, 'def': 29}","{'att': 204, 'def': 35}",7,1,3,0,1.9162999999999997,w,2021-08-15 11:00:00,1,0,0,3,0.6646759999999999
a,1.01295,0.603119,1.01295,0.603119,"{'att': 340, 'def': 15}","{'att': 316, 'def': 43}",1,6,1,1,1.7726,d,2021-08-22 13:00:00,0,1,0,1,0.40983100000000006
h,2.63179,1.28738,2.63179,1.28738,"{'att': 301, 'def': 19}","{'att': 343, 'def': 14}",9,8,2,0,2.3356999999999997,w,2021-08-29 13:00:00,1,0,0,3,1.34441
a,0.998328,1.47981,0.238233,0.719713,"{'att': 280, 'def': 21}","{'att': 345, 'def': 34}",1,5,1,1,0.8613000000000001,d,2021-09-12 13:00:00,0,1,0,1,-0.48148
h,0.609027,2.59886,0.609027,1.83877,"{'att': 140, 'def': 19}","{'att': 363, 'def': 27}",3,5,1,4,0.1587,l,2021-09-19 13:00:00,0,0,1,0,-1.229743
h,0.470168,0.494217,0.470168,0.494217,"{'att': 426, 'def': 27}","{'att': 303, 'def': 26}",3,1,0,0,1.2226,d,2021-09-22 19:00:00,0,1,0,1,-0.024049000000000043
a,1.28496,1.25966,0.524863,1.25966,"{'att': 214, 'def': 24}","{'att': 362, 'def': 23}",2,5,1,1,1.3656,d,2021-09-26 13:00:00,0,1,0,1,-0.734797
h,2.81377,0.895212,2.81377,0.895212,"{'att': 282, 'def': 27}","{'att': 383, 'def': 14}",3,2,3,2,2.7493,w,2021-10-03 13:00:00,1,0,0,3,1.918558
a,1.15895,2.48997,1.15895,1.72987,"{'att': 394, 'def': 18}","{'att': 155, 'def': 31}",1,10,1,2,0.4516,l,2021-10-15 19:00:00,0,0,1,0,-0.5709200000000001
a,0.675033,1.50388,0.675033,1.50388,"{'att': 305, 'def': 28}","{'att': 190, 'def': 35}",0,5,2,2,0.6065,d,2021-10-22 19:00:00,0,1,0,1,-0.8288470000000001
h,1.21195,0.897424,0.451853,0.897424,"{'att': 416, 'def': 18}","{'att': 270, 'def': 26}",3,5,1,2,1.6904,l,2021-10-31 12:00:00,0,0,1,0,-0.445571
a,1.15058,1.74491,1.15058,1.74491,"{'att': 296, 'def': 24}","{'att': 348, 'def': 22}",5,5,1,1,0.9127000000000001,d,2021-11-06 16:00:00,0,1,0,1,-0.59433
h,1.46206,0.420713,0.701963,0.420713,"{'att': 303, 'def': 21}","{'att': 364, 'def': 33}",3,2,1,0,2.3702,w,2021-11-21 14:00:00,1,0,0,3,0.28125
a,2.00176,1.60255,2.00176,1.60255,"{'att': 288, 'def': 21}","{'att': 311, 'def': 31}",6,4,2,2,1.6966,d,2021-11-26 20:00:00,0,1,0,1,0.39921000000000006
h,1.03304,3.50553,1.03304,3.50553,"{'att': 261, 'def': 19}","{'att': 247, 'def': 38}",0,10,1,3,0.138,l,2021-12-01 18:00:00,0,0,1,0,-2.4724899999999996
a,1.7715,1.34274,1.01141,0.582643,"{'att': 201, 'def': 23}","{'att': 284, 'def': 17}",4,1,2,1,1.6928,w,2021-12-05 14:00:00,1,0,0,3,0.4287669999999999
h,1.52675,1.7067,1.52675,0.946606,"{'att': 199, 'def': 18}","{'att': 452, 'def': 20}",3,2,0,1,1.2333,l,2021-12-12 14:00:00,0,0,1,0,0.5801440000000001
a,0.747023,0.998835,0.747023,0.998835,"{'att': 260, 'def': 27}","{'att': 265, 'def': 20}",4,2,1,4,1.0678,l,2021-12-22 19:45:00,0,0,1,0,-0.25181200000000004
a,0.554657,0.480599,0.554657,0.480599,"{'att': 275, 'def': 21}","{'att': 279, 'def': 33}",2,4,0,0,1.3854,d,2022-01-16 14:00:00,0,1,0,1,0.07405799999999996
h,2.29724,1.63676,0.777251,1.63676,"{'att': 295, 'def': 24}","{'att': 264, 'def': 29}",5,4,2,1,1.8899,w,2022-01-23 14:00:00,1,0,0,3,-0.859509
h,0.354099,0.352428,0.354099,0.352428,"{'att': 291, 'def': 25}","{'att': 347, 'def': 32}",4,5,0,1,1.2279,l,2022-01-26 18:00:00,0,0,1,0,0.001670999999999978
a,0.686866,2.34718,0.686866,2.34718,"{'att': 351, 'def': 12}","{'att': 257, 'def': 36}",2,5,2,5,0.2781,l,2022-02-04 20:00:00,0,0,1,0,-1.6603139999999998
h,0.258677,0.335367,0.258677,0.335367,"{'att': 174, 'def': 26}","{'att': 392, 'def': 22}",5,0,0,1,1.1006,l,2022-02-13 14:00:00,0,0,1,0,-0.07669000000000004
a,0.98327,1.29968,0.98327,1.29968,"{'att': 347, 'def': 26}","{'att': 260, 'def': 20}",5,5,0,1,1.0499,l,2022-02-20 12:00:00,0,0,1,0,-0.31640999999999997
h,0.601212,0.688779,0.601212,0.688779,"{'att': 248, 'def': 17}","{'att': 248, 'def': 29}",1,6,1,2,1.1644,l,2022-02-27 14:00:00,0,0,1,0,-0.08756700000000006
a,0.316774,2.39062,0.316774,2.39062,"{'att': 363, 'def': 12}","{'att': 296, 'def': 41}",1,7,0,2,0.1656,l,2022-03-06 14:00:00,0,0,1,0,-2.073846
h,1.88223,1.52385,1.88223,1.52385,"{'att': 204, 'def': 27}","{'att': 320, 'def': 16}",8,4,0,1,1.6378,l,2022-03-13 14:00:00,0,0,1,0,0.35838000000000014
h,1.2018,0.562622,0.4417,0.562622,"{'att': 205, 'def': 31}","{'att': 278, 'def': 23}",5,9,1,0,2.0169,w,2022-03-20 14:00:00,1,0,0,3,-0.12092199999999997
a,1.67709,1.58017,1.67709,1.58017,"{'att': 422, 'def': 23}","{'att': 219, 'def': 26}",4,11,2,3,1.4811999999999999,l,2022-04-03 15:05:00,0,0,1,0,0.0969199999999999
h,0.679878,0.898909,0.679878,0.898909,"{'att': 292, 'def': 16}","{'att': 145, 'def': 22}",5,7,1,1,1.1119999999999999,d,2022-04-10 13:00:00,0,1,0,1,-0.21903099999999998
a,0.417241,3.40116,0.417241,3.40116,"{'att': 280, 'def': 17}","{'att': 184, 'def': 22}",3,8,1,1,0.0738,d,2022-04-17 13:00:00,0,1,0,1,-2.983919
