h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
h,1.57764,1.84274,1.57764,1.08264,"{'att': 227, 'def': 23}","{'att': 260, 'def': 18}",6,2,3,2,1.1437,w,2022-08-07 13:00:00,1,0,0,3,0.4949999999999999
a,0.778496,3.3388,0.778496,1.81861,"{'att': 226, 'def': 13}","{'att': 291, 'def': 39}",1,21,2,5,0.1001,l,2022-08-13 19:00:00,0,0,1,0,-1.040114
h,0.602982,1.29185,0.602982,0.531756,"{'att': 206, 'def': 22}","{'att': 352, 'def': 22}",9,1,1,2,0.6632,l,2022-08-21 13:00:00,0,0,1,0,0.07122600000000001
a,2.2067,0.163077,2.2067,0.163077,"{'att': 213, 'def': 16}","{'att': 228, 'def': 30}",8,4,7,0,2.8042000000000002,w,2022-08-28 13:00:00,1,0,0,3,2.043623
h,1.82411,0.894201,1.82411,0.894201,"{'att': 256, 'def': 16}","{'att': 167, 'def': 18}",4,3,2,0,2.1776,w,2022-08-31 17:00:00,1,0,0,3,0.9299089999999999
h,0.460323,1.28228,0.460323,1.28228,"{'att': 301, 'def': 10}","{'att': 99, 'def': 26}",0,15,1,3,0.6851,l,2022-09-04 11:00:00,0,0,1,0,-0.821957
a,1.02641,2.91339,1.02641,2.15329,"{'att': 207, 'def': 19}","{'att': 274, 'def': 27}",3,2,1,2,0.253,l,2022-09-11 13:00:00,0,0,1,0,-1.12688
h,1.8232,0.617378,1.06317,0.617378,"{'att': 178, 'def': 18}","{'att': 177, 'def': 26}",3,5,2,1,2.3486000000000002,w,2022-09-17 15:00:00,1,0,0,3,0.44579199999999997
a,1.73475,1.92662,1.73475,1.92662,"{'att': 195, 'def': 23}","{'att': 242, 'def': 19}",13,11,2,4,1.2104000000000001,l,2022-10-02 13:00:00,0,0,1,0,-0.19186999999999999
h,0.564764,1.43544,0.564764,1.43544,"{'att': 178, 'def': 19}","{'att': 248, 'def': 23}",5,11,0,2,0.5142,l,2022-10-09 11:00:00,0,0,1,0,-0.870676
a,0.305429,2.31045,0.305429,2.31045,"{'att': 376, 'def': 21}","{'att': 176, 'def': 20}",1,12,0,1,0.1757,l,2022-10-15 19:00:00,0,0,1,0,-2.0050209999999997
h,0.807149,2.78494,0.807149,2.78494,"{'att': 301, 'def': 7}","{'att': 177, 'def': 37}",4,15,1,2,0.2573,l,2022-10-22 15:00:00,0,0,1,0,-1.9777910000000003
a,0.975256,1.53875,0.975256,1.53875,"{'att': 266, 'def': 19}","{'att': 243, 'def': 26}",2,8,0,3,0.9163000000000001,l,2022-10-30 14:00:00,0,0,1,0,-0.563494
a,1.22262,3.88422,0.462525,2.36403,"{'att': 207, 'def': 27}","{'att': 183, 'def': 30}",7,6,1,1,0.0765,d,2022-11-06 14:00:00,0,1,0,1,-1.901505
h,2.07463,2.12638,2.07463,2.12638,"{'att': 186, 'def': 36}","{'att': 158, 'def': 24}",7,7,1,1,1.3248,d,2022-11-13 14:00:00,0,1,0,1,-0.051750000000000185
a,1.99935,1.13229,1.99935,1.13229,"{'att': 268, 'def': 10}","{'att': 300, 'def': 37}",4,2,2,0,2.0165,w,2022-12-29 16:00:00,1,0,0,3,0.8670599999999999
h,1.10931,1.33992,0.349212,1.33992,"{'att': 268, 'def': 19}","{'att': 156, 'def': 22}",9,4,1,2,1.1965,l,2023-01-02 18:00:00,0,0,1,0,-0.9907079999999999
a,0.226284,3.47658,0.226284,3.47658,"{'att': 289, 'def': 28}","{'att': 209, 'def': 28}",2,11,1,6,0.037500000000000006,l,2023-01-11 20:00:00,0,0,1,0,-3.2502959999999996
h,1.10849,0.903599,1.10849,0.903599,"{'att': 237, 'def': 19}","{'att': 213, 'def': 27}",9,4,0,3,1.5178,l,2023-01-15 14:00:00,0,0,1,0,0.20489099999999993
a,0.78685,1.78521,0.78685,1.02512,"{'att': 279, 'def': 30}","{'att': 180, 'def': 23}",0,10,2,0,0.5502,w,2023-01-29 14:00:00,1,0,0,3,-0.23826999999999998
h,0.270069,4.0011,0.270069,4.0011,"{'att': 382, 'def': 18}","{'att': 205, 'def': 30}",3,9,1,3,0.019,l,2023-02-01 20:00:00,0,0,1,0,-3.731031
a,0.613708,1.51625,0.613708,1.51625,"{'att': 138, 'def': 26}","{'att': 330, 'def': 14}",5,2,0,2,0.5940000000000001,l,2023-02-05 14:00:00,0,0,1,0,-0.9025420000000001
h,3.94905,0.468613,3.18895,0.468613,"{'att': 287, 'def': 21}","{'att': 207, 'def': 32}",2,6,3,0,2.9543,w,2023-02-12 14:00:00,1,0,0,3,2.7203370000000002
a,1.08483,0.0856634,1.08483,0.0856634,"{'att': 246, 'def': 22}","{'att': 236, 'def': 22}",7,6,1,0,2.3379000000000003,w,2023-02-19 14:00:00,1,0,0,3,0.9991665999999999
h,0.645251,1.53537,0.645251,1.53537,"{'att': 331, 'def': 25}","{'att': 199, 'def': 22}",5,9,1,1,0.6226,d,2023-02-25 20:00:00,0,1,0,1,-0.8901189999999999
h,3.41548,0.955683,2.65539,0.955683,"{'att': 238, 'def': 32}","{'att': 345, 'def': 22}",4,3,5,0,2.7582,w,2023-03-05 14:00:00,1,0,0,3,1.699707
a,1.27414,0.191981,1.27414,0.191981,"{'att': 217, 'def': 30}","{'att': 264, 'def': 34}",3,1,1,0,2.5040999999999998,w,2023-03-12 14:00:00,1,0,0,3,1.082159
h,3.01981,1.40585,3.01981,1.40585,"{'att': 187, 'def': 31}","{'att': 243, 'def': 28}",7,6,2,1,2.4732,w,2023-03-19 14:00:00,1,0,0,3,1.61396
a,0.849684,1.43396,0.849684,0.67386,"{'att': 310, 'def': 21}","{'att': 138, 'def': 35}",1,9,1,1,0.7931,d,2023-03-31 19:00:00,0,1,0,1,0.17582399999999998
h,1.79324,2.20627,1.79324,2.20627,"{'att': 240, 'def': 26}","{'att': 228, 'def': 26}",7,2,1,2,1.0503999999999998,l,2023-04-09 13:00:00,0,0,1,0,-0.41303
a,0.515081,2.31737,0.515081,2.31737,"{'att': 296, 'def': 22}","{'att': 144, 'def': 26}",2,11,1,2,0.18380000000000002,l,2023-04-16 11:00:00,0,0,1,0,-1.802289
h,0.748138,1.32781,0.748138,1.32781,"{'att': 288, 'def': 17}","{'att': 126, 'def': 21}",3,10,1,0,0.8301,w,2023-04-23 15:00:00,1,0,0,3,-0.579672
a,2.11063,1.35206,2.11063,1.35206,"{'att': 245, 'def': 13}","{'att': 230, 'def': 31}",6,8,4,0,1.9405999999999999,w,2023-04-30 11:00:00,1,0,0,3,0.75857
a,2.30837,3.69552,1.54827,2.93543,"{'att': 300, 'def': 18}","{'att': 150, 'def': 30}",2,24,4,5,0.5956,l,2023-05-07 15:05:00,0,0,1,0,-1.3871600000000002
h,1.20401,0.582419,1.20401,0.582419,"{'att': 341, 'def': 38}","{'att': 207, 'def': 27}",5,6,1,1,1.9361,d,2023-05-14 13:00:00,0,1,0,1,0.621591
a,1.7036,0.751273,1.7036,0.751273,"{'att': 211, 'def': 16}","{'att': 355, 'def': 39}",5,8,3,0,2.1115,w,2023-05-20 15:00:00,1,0,0,3,0.952327
