h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
a,2.05387,1.16184,2.05387,1.16184,"{'att': 156, 'def': 25}","{'att': 351, 'def': 18}",10,1,1,2,2.0311,l,2023-08-13 18:45:00,0,0,1,0,0.8920299999999999
h,0.641589,1.91808,0.641589,1.91808,"{'att': 190, 'def': 33}","{'att': 273, 'def': 15}",10,3,1,4,0.47809999999999997,l,2023-08-19 15:00:00,0,0,1,0,-1.276491
a,0.25547,1.82327,0.25547,1.82327,"{'att': 324, 'def': 37}","{'att': 236, 'def': 23}",4,3,0,0,0.2342,d,2023-08-27 18:45:00,0,1,0,1,-1.5678
h,2.44259,4.91949,1.68249,4.15939,"{'att': 509, 'def': 24}","{'att': 198, 'def': 16}",8,17,1,4,0.2842,l,2023-09-03 18:45:00,0,0,1,0,-2.4769
h,1.83314,1.25165,1.83314,1.25165,"{'att': 231, 'def': 24}","{'att': 338, 'def': 28}",17,4,0,0,1.7876000000000003,d,2023-09-17 18:45:00,0,1,0,1,0.5814900000000001
a,0.254128,2.54509,0.254128,2.54509,"{'att': 218, 'def': 33}","{'att': 182, 'def': 33}",4,11,0,1,0.127,l,2023-09-23 19:00:00,0,0,1,0,-2.290962
a,0.389915,1.99596,0.389915,1.99596,"{'att': 308, 'def': 25}","{'att': 296, 'def': 26}",1,4,0,2,0.25029999999999997,l,2023-10-01 11:00:00,0,0,1,0,-1.606045
h,1.3787,1.07853,0.618603,1.07853,"{'att': 287, 'def': 39}","{'att': 257, 'def': 20}",3,3,3,3,1.6145,d,2023-10-08 13:00:00,0,1,0,1,-0.459927
h,1.73586,1.28994,1.73586,1.28994,"{'att': 193, 'def': 37}","{'att': 253, 'def': 21}",17,5,1,2,1.6768,l,2023-10-22 18:45:00,0,0,1,0,0.44591999999999987
h,1.8478,0.667193,1.8478,0.667193,"{'att': 189, 'def': 31}","{'att': 346, 'def': 26}",8,1,1,1,2.3482,d,2023-11-05 12:00:00,0,1,0,1,1.1806070000000002
a,2.07974,0.680277,2.07974,0.680277,"{'att': 229, 'def': 24}","{'att': 269, 'def': 14}",11,3,1,0,2.4459,w,2023-11-12 16:05:00,1,0,0,3,1.3994630000000001
