h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
a,2.06035,1.07028,2.06035,0.31018,"{'att': 256, 'def': 20}","{'att': 327, 'def': 12}",6,2,2,1,2.1475,w,2023-08-13 13:00:00,1,0,0,3,1.7501700000000002
h,1.15991,2.00415,0.399817,1.24405,"{'att': 473, 'def': 19}","{'att': 128, 'def': 19}",2,9,1,1,0.7102999999999999,d,2023-08-19 19:00:00,0,1,0,1,-0.8442330000000001
a,0.308716,2.84995,0.308716,2.84995,"{'att': 236, 'def': 35}","{'att': 369, 'def': 27}",7,2,0,2,0.0736,l,2023-08-27 13:00:00,0,0,1,0,-2.541234
h,0.64111,1.40431,0.64111,0.644213,"{'att': 334, 'def': 28}","{'att': 200, 'def': 29}",4,3,2,2,0.6414,d,2023-09-03 11:00:00,0,1,0,1,-0.003103000000000078
a,0.882315,1.16853,0.882315,1.16853,"{'att': 247, 'def': 16}","{'att': 200, 'def': 24}",9,13,0,0,1.1293,d,2023-09-17 15:05:00,0,1,0,1,-0.2862150000000001
a,0.649363,3.08782,0.649363,3.08782,"{'att': 207, 'def': 20}","{'att': 201, 'def': 30}",1,21,1,2,0.1686,l,2023-09-24 13:00:00,0,0,1,0,-2.4384569999999997
h,2.3397,0.598514,2.3397,0.598514,"{'att': 145, 'def': 20}","{'att': 379, 'def': 18}",14,4,3,0,2.6264000000000003,w,2023-10-01 13:00:00,1,0,0,3,1.7411860000000001
a,1.23903,1.61363,1.23903,1.61363,"{'att': 232, 'def': 25}","{'att': 195, 'def': 27}",10,4,1,1,1.0402,d,2023-10-08 13:00:00,0,1,0,1,-0.3745999999999998
h,0.900833,0.96583,0.900833,0.96583,"{'att': 266, 'def': 29}","{'att': 246, 'def': 29}",5,6,1,1,1.2867,d,2023-10-22 13:00:00,0,1,0,1,-0.06499699999999997
a,0.877804,3.2823,0.877804,3.2823,"{'att': 192, 'def': 20}","{'att': 287, 'def': 19}",5,6,0,3,0.1543,l,2023-10-29 14:00:00,0,0,1,0,-2.404496
h,2.31734,1.21056,1.55724,1.21056,"{'att': 254, 'def': 29}","{'att': 252, 'def': 14}",8,4,1,2,2.2278,l,2023-11-05 14:00:00,0,0,1,0,0.3466799999999999
a,0.41683,2.6899,0.41683,2.6899,"{'att': 320, 'def': 27}","{'att': 215, 'def': 23}",1,6,1,1,0.0495,d,2023-11-12 14:00:00,0,1,0,1,-2.27307
