h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
h,1.24183,1.0769,1.24183,1.0769,"{'att': 204, 'def': 23}","{'att': 264, 'def': 37}",8,4,1,3,1.5121,l,2015-08-23 22:45:00,0,0,1,0,0.16493000000000002
a,1.01877,1.05099,1.01877,1.05099,"{'att': 208, 'def': 25}","{'att': 232, 'def': 31}",6,1,1,2,1.2837,l,2015-08-29 22:45:00,0,0,1,0,-0.03222000000000014
h,1.29389,1.03333,1.29389,1.03333,"{'att': 355, 'def': 23}","{'att': 228, 'def': 38}",5,5,2,2,1.583,d,2015-09-13 17:00:00,0,1,0,1,0.2605599999999999
a,0.68218,0.991963,0.68218,0.991963,"{'att': 189, 'def': 27}","{'att': 259, 'def': 33}",2,3,2,1,0.9653,w,2015-09-19 20:00:00,1,0,0,3,-0.30978300000000003
h,0.719009,0.690699,0.719009,0.690699,"{'att': 248, 'def': 35}","{'att': 271, 'def': 42}",4,1,0,1,1.3322,l,2015-09-24 22:45:00,0,0,1,0,0.028310000000000057
a,1.10742,1.56653,1.10742,1.56653,"{'att': 102, 'def': 24}","{'att': 216, 'def': 34}",9,1,0,2,0.9429000000000001,l,2015-09-28 21:00:00,0,0,1,0,-0.4591099999999999
h,0.835463,0.298038,0.835463,0.298038,"{'att': 160, 'def': 27}","{'att': 240, 'def': 37}",2,4,1,0,1.8300999999999998,w,2015-10-04 14:30:00,1,0,0,3,0.5374249999999999
a,0.552993,1.59672,0.552993,1.59672,"{'att': 342, 'def': 23}","{'att': 247, 'def': 31}",4,5,1,3,0.526,l,2015-10-17 20:00:00,0,0,1,0,-1.043727
h,1.60235,0.550221,1.60235,0.550221,"{'att': 217, 'def': 28}","{'att': 193, 'def': 36}",1,5,2,0,2.3176,w,2015-10-24 17:00:00,1,0,0,3,1.0521289999999999
a,0.698332,0.578361,0.698332,0.578361,"{'att': 258, 'def': 33}","{'att': 293, 'def': 45}",6,6,1,1,1.4069,d,2015-10-29 23:45:00,0,1,0,1,0.11997099999999994
a,0.848186,1.12409,0.848186,1.12409,"{'att': 213, 'def': 26}","{'att': 257, 'def': 39}",9,5,1,0,1.1035000000000001,w,2015-11-03 00:00:00,1,0,0,3,-0.27590400000000004
h,0.478585,2.15262,0.478585,2.15262,"{'att': 348, 'def': 30}","{'att': 258, 'def': 36}",2,4,1,3,0.2118,l,2015-11-08 18:00:00,0,0,1,0,-1.6740350000000002
a,0.640222,1.62042,0.640222,1.62042,"{'att': 382, 'def': 30}","{'att': 198, 'def': 42}",5,6,2,2,0.5727,d,2015-11-22 18:00:00,0,1,0,1,-0.980198
h,0.283493,0.923335,0.283493,0.923335,"{'att': 288, 'def': 24}","{'att': 170, 'def': 42}",2,8,1,0,0.6911,w,2015-11-29 21:00:00,1,0,0,3,-0.639842
a,0.644992,1.40759,0.644992,1.40759,"{'att': 270, 'def': 21}","{'att': 238, 'def': 29}",6,3,1,0,0.7069000000000001,w,2015-12-06 18:00:00,1,0,0,3,-0.7625979999999999
h,1.76158,1.39607,1.76158,1.39607,"{'att': 164, 'def': 25}","{'att': 474, 'def': 31}",5,1,3,0,1.6381000000000001,w,2015-12-13 18:00:00,1,0,0,3,0.36551
a,1.9478,1.25861,1.9478,1.25861,"{'att': 219, 'def': 30}","{'att': 247, 'def': 36}",7,8,3,2,1.9034,w,2015-12-19 23:45:00,1,0,0,3,0.68919
h,0.506892,1.13955,0.506892,1.13955,"{'att': 267, 'def': 39}","{'att': 280, 'def': 22}",6,2,0,1,0.7096,l,2016-01-06 21:00:00,0,0,1,0,-0.632658
a,1.23208,1.94161,1.23208,1.94161,"{'att': 253, 'def': 41}","{'att': 255, 'def': 31}",5,2,1,0,0.8699999999999999,w,2016-01-10 18:00:00,1,0,0,3,-0.70953
a,0.941671,1.13429,0.941671,1.13429,"{'att': 182, 'def': 29}","{'att': 361, 'def': 31}",2,1,1,1,1.1691,d,2016-01-17 18:00:00,0,1,0,1,-0.19261899999999998
h,1.30659,1.18014,1.30659,1.18014,"{'att': 174, 'def': 24}","{'att': 346, 'def': 41}",9,5,2,2,1.4637000000000002,d,2016-01-23 23:45:00,0,1,0,1,0.12644999999999995
a,0.239824,2.68666,0.239824,2.68666,"{'att': 406, 'def': 32}","{'att': 271, 'def': 37}",2,8,1,5,0.1004,l,2016-01-31 18:00:00,0,0,1,0,-2.446836
h,2.10015,0.665742,1.33885,0.665742,"{'att': 84, 'def': 27}","{'att': 295, 'def': 40}",9,1,1,1,2.4886999999999997,d,2016-02-03 23:45:00,0,1,0,1,0.6731080000000002
a,0.588857,0.983654,0.588857,0.983654,"{'att': 160, 'def': 28}","{'att': 292, 'def': 33}",6,3,0,0,0.9305,d,2016-02-07 21:00:00,0,1,0,1,-0.39479700000000006
h,2.54317,1.02693,2.54317,0.26563,"{'att': 84, 'def': 18}","{'att': 225, 'def': 30}",19,2,1,2,2.4055,l,2016-02-13 18:00:00,0,0,1,0,2.27754
a,1.49386,0.982567,0.732562,0.982567,"{'att': 205, 'def': 29}","{'att': 273, 'def': 42}",1,7,2,3,1.8406,l,2016-02-21 18:00:00,0,0,1,0,-0.2500049999999999
h,0.332954,1.08467,0.332954,1.08467,"{'att': 215, 'def': 22}","{'att': 272, 'def': 32}",2,5,1,3,0.595,l,2016-02-27 21:00:00,0,0,1,0,-0.751716
a,1.03143,1.05898,1.03143,1.05898,"{'att': 175, 'def': 28}","{'att': 325, 'def': 49}",2,5,0,1,1.295,l,2016-03-06 18:00:00,0,0,1,0,-0.027549999999999963
h,1.83798,0.754732,1.83798,0.754732,"{'att': 172, 'def': 40}","{'att': 323, 'def': 32}",15,6,1,1,2.2304999999999997,d,2016-03-12 21:00:00,0,1,0,1,1.083248
