h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
h,1.03572,0.380583,1.03572,0.380583,"{'att': 143, 'def': 32}","{'att': 322, 'def': 16}",9,4,1,0,1.9348999999999998,w,2015-08-23 22:45:00,1,0,0,3,0.655137
a,3.03344,0.866071,2.27214,0.866071,"{'att': 160, 'def': 34}","{'att': 359, 'def': 26}",5,3,2,1,2.7984999999999998,w,2015-08-30 22:45:00,1,0,0,3,1.4060689999999998
h,1.85902,0.825596,1.85902,0.825596,"{'att': 162, 'def': 19}","{'att': 195, 'def': 25}",3,5,1,0,2.1658,w,2015-09-13 22:45:00,1,0,0,3,1.033424
a,1.36927,0.885744,1.36927,0.885744,"{'att': 172, 'def': 9}","{'att': 252, 'def': 44}",5,9,1,0,1.8248000000000002,w,2015-09-20 14:30:00,1,0,0,3,0.483526
h,0.838775,0.240971,0.838775,0.240971,"{'att': 188, 'def': 27}","{'att': 296, 'def': 19}",8,6,1,0,1.8996999999999997,w,2015-09-23 22:45:00,1,0,0,3,0.597804
h,1.0519,3.14215,1.0519,2.38085,"{'att': 559, 'def': 26}","{'att': 242, 'def': 40}",1,3,1,4,0.0673,l,2015-09-27 22:45:00,0,0,1,0,-1.32895
a,1.91353,2.38692,1.91353,2.38692,"{'att': 153, 'def': 28}","{'att': 329, 'def': 21}",11,3,1,1,1.0213999999999999,d,2015-10-04 17:00:00,0,1,0,1,-0.47339
h,0.360147,0.900473,0.360147,0.900473,"{'att': 273, 'def': 27}","{'att': 254, 'def': 16}",3,5,0,0,0.747,d,2015-10-18 22:45:00,0,1,0,1,-0.540326
a,2.04874,1.06069,2.04874,1.06069,"{'att': 222, 'def': 26}","{'att': 259, 'def': 19}",10,2,1,1,2.2018,d,2015-10-24 22:45:00,0,1,0,1,0.9880500000000001
a,1.26761,0.662582,1.26761,0.662582,"{'att': 233, 'def': 22}","{'att': 365, 'def': 28}",5,5,1,0,1.9124,w,2015-10-27 23:45:00,1,0,0,3,0.6050279999999999
