h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
h,1.40755,2.67392,0.646247,1.91262,"{'att': 198, 'def': 26}","{'att': 372, 'def': 20}",2,2,5,2,0.5572,w,2015-08-23 22:45:00,1,0,0,3,-1.266373
a,1.36084,1.71418,0.599543,1.71418,"{'att': 320, 'def': 11}","{'att': 238, 'def': 24}",4,11,2,2,1.1287,d,2015-08-30 22:45:00,0,1,0,1,-1.114637
h,1.29105,0.262969,1.29105,0.262969,"{'att': 225, 'def': 22}","{'att': 321, 'def': 24}",3,3,2,0,2.3289,w,2015-09-14 22:45:00,1,0,0,3,1.028081
a,0.798391,2.63119,0.798391,2.63119,"{'att': 283, 'def': 21}","{'att': 253, 'def': 23}",5,13,0,2,0.2343,l,2015-09-20 17:00:00,0,0,1,0,-1.832799
h,0.187797,1.4457,0.187797,1.4457,"{'att': 237, 'def': 17}","{'att': 115, 'def': 30}",1,16,2,1,0.3433,w,2015-09-23 22:45:00,1,0,0,3,-1.257903
a,0.78253,2.02949,0.78253,2.02949,"{'att': 152, 'def': 36}","{'att': 212, 'def': 37}",5,12,1,2,0.5049,l,2015-09-28 23:00:00,0,0,1,0,-1.24696
h,2.38692,1.91353,2.38692,1.91353,"{'att': 329, 'def': 21}","{'att': 153, 'def': 28}",3,11,1,1,1.7315,d,2015-10-04 17:00:00,0,1,0,1,0.47339
a,1.40095,1.23144,1.40095,1.23144,"{'att': 112, 'def': 22}","{'att': 209, 'def': 17}",16,6,0,2,1.5002,l,2015-10-18 17:00:00,0,0,1,0,0.16950999999999983
h,2.84874,0.629179,2.84874,0.629179,"{'att': 272, 'def': 23}","{'att': 229, 'def': 16}",9,9,4,1,2.7541,w,2015-10-25 15:30:00,1,0,0,3,2.2195609999999997
h,0.578361,0.698332,0.578361,0.698332,"{'att': 293, 'def': 45}","{'att': 258, 'def': 33}",6,6,1,1,1.1843000000000001,d,2015-10-29 23:45:00,0,1,0,1,-0.11997099999999994
a,0.959375,1.56286,0.959375,1.56286,"{'att': 230, 'def': 20}","{'att': 247, 'def': 30}",3,6,1,1,0.8821000000000001,d,2015-11-02 22:00:00,0,1,0,1,-0.6034849999999999
h,0.329683,2.70882,0.329683,1.94752,"{'att': 337, 'def': 41}","{'att': 275, 'def': 25}",2,7,0,2,0.091,l,2015-11-08 23:45:00,0,0,1,0,-1.617837
a,0.432258,0.710226,0.432258,0.710226,"{'att': 150, 'def': 15}","{'att': 319, 'def': 33}",2,5,0,1,0.9628999999999999,l,2015-11-22 18:00:00,0,0,1,0,-0.27796800000000005
a,1.14859,3.69609,0.387288,2.93479,"{'att': 222, 'def': 30}","{'att': 223, 'def': 37}",2,8,1,4,0.1004,l,2015-11-28 23:45:00,0,0,1,0,-2.547502
h,0.631223,2.65301,0.631223,2.65301,"{'att': 189, 'def': 30}","{'att': 262, 'def': 24}",10,7,1,3,0.22699999999999998,l,2015-12-06 21:00:00,0,0,1,0,-2.0217870000000002
a,0.420474,0.821242,0.420474,0.821242,"{'att': 293, 'def': 21}","{'att': 214, 'def': 23}",0,5,1,1,0.9247000000000001,d,2015-12-14 23:45:00,0,1,0,1,-0.400768
h,1.59365,0.647545,1.59365,0.647545,"{'att': 176, 'def': 31}","{'att': 266, 'def': 23}",9,2,2,0,2.0955,w,2015-12-20 21:00:00,1,0,0,3,0.946105
a,1.17866,2.02544,1.17866,2.02544,"{'att': 273, 'def': 21}","{'att': 179, 'def': 37}",3,5,3,2,0.7035,w,2016-01-05 23:45:00,1,0,0,3,-0.8467800000000001
h,0.76502,1.24169,0.76502,1.24169,"{'att': 255, 'def': 26}","{'att': 226, 'def': 22}",3,7,1,2,0.9074,l,2016-01-10 23:45:00,0,0,1,0,-0.4766699999999999
a,2.30542,1.3392,2.30542,0.577901,"{'att': 133, 'def': 29}","{'att': 301, 'def': 30}",9,3,1,2,2.1313,l,2016-01-17 18:00:00,0,0,1,0,1.7275189999999998
h,0.564595,3.3808,0.564595,2.6195,"{'att': 341, 'def': 21}","{'att': 252, 'def': 19}",10,12,2,4,0.0933,l,2016-01-24 18:00:00,0,0,1,0,-2.0549049999999998
a,1.44633,1.49711,1.44633,0.735812,"{'att': 242, 'def': 28}","{'att': 322, 'def': 22}",3,1,2,3,1.2610999999999999,l,2016-01-31 18:00:00,0,0,1,0,0.7105179999999999
h,0.758631,1.84523,0.758631,1.84523,"{'att': 285, 'def': 30}","{'att': 187, 'def': 34}",2,2,2,2,0.5069,d,2016-02-03 23:45:00,0,1,0,1,-1.0865989999999999
a,1.14306,1.46365,1.14306,1.46365,"{'att': 318, 'def': 19}","{'att': 278, 'def': 26}",9,11,1,2,1.0998999999999999,l,2016-02-07 23:45:00,0,0,1,0,-0.32058999999999993
h,0.923922,0.22159,0.923922,0.22159,"{'att': 208, 'def': 21}","{'att': 249, 'def': 30}",4,3,0,0,2.0672,d,2016-02-14 18:00:00,0,1,0,1,0.702332
a,0.931898,1.91305,0.931898,1.91305,"{'att': 171, 'def': 29}","{'att': 260, 'def': 24}",7,4,1,3,0.5498,l,2016-02-20 23:45:00,0,0,1,0,-0.9811519999999999
h,1.30627,0.49477,1.30627,0.49477,"{'att': 152, 'def': 33}","{'att': 108, 'def': 29}",2,7,2,0,2.0464,w,2016-02-28 18:00:00,1,0,0,3,0.8115000000000001
a,2.77424,1.17161,2.77424,1.17161,"{'att': 195, 'def': 22}","{'att': 322, 'def': 35}",5,5,3,0,2.46,w,2016-03-05 21:00:00,1,0,0,3,1.6026299999999998
a,0.754732,1.83798,0.754732,1.83798,"{'att': 323, 'def': 32}","{'att': 172, 'def': 40}",6,15,1,1,0.5574,d,2016-03-12 21:00:00,0,1,0,1,-1.083248
h,1.18347,2.61414,1.18347,1.85284,"{'att': 116, 'def': 24}","{'att': 287, 'def': 33}",8,2,0,1,0.45840000000000003,l,2016-03-20 18:00:00,0,0,1,0,-0.66937
a,0.259248,1.06589,0.259248,1.06589,"{'att': 321, 'def': 28}","{'att': 174, 'def': 31}",2,9,1,1,0.583,d,2016-04-03 17:00:00,0,1,0,1,-0.8066420000000001
h,2.12831,1.58974,2.12831,1.58974,"{'att': 181, 'def': 19}","{'att': 192, 'def': 17}",8,8,2,0,1.7577000000000003,w,2016-04-10 17:00:00,1,0,0,3,0.53857
h,0.354318,1.43637,0.354318,1.43637,"{'att': 263, 'def': 22}","{'att': 148, 'def': 22}",4,3,0,1,0.41100000000000003,l,2016-04-17 22:45:00,0,0,1,0,-1.082052
a,0.150904,3.28685,0.150904,2.52555,"{'att': 261, 'def': 13}","{'att': 92, 'def': 22}",2,6,0,0,0.0236,d,2016-04-20 20:30:00,0,1,0,1,-2.374646
h,1.72396,3.45462,1.72396,2.69332,"{'att': 295, 'def': 32}","{'att': 176, 'def': 17}",2,9,2,1,0.3707,w,2016-04-24 17:00:00,1,0,0,3,-0.96936
a,0.446755,1.29682,0.446755,1.29682,"{'att': 131, 'def': 30}","{'att': 284, 'def': 39}",6,6,0,2,0.5887,l,2016-05-01 17:00:00,0,0,1,0,-0.8500650000000001
h,0.694054,2.20008,0.694054,2.20008,"{'att': 150, 'def': 39}","{'att': 260, 'def': 26}",3,7,0,3,0.3873,l,2016-05-08 17:00:00,0,0,1,0,-1.5060259999999999
a,0.173253,2.78687,0.173253,2.02557,"{'att': 304, 'def': 15}","{'att': 181, 'def': 32}",0,10,0,5,0.0469,l,2016-05-14 19:00:00,0,0,1,0,-1.8523170000000002
