h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
a,0.867178,1.82451,0.867178,1.82451,"{'att': 243, 'def': 27}","{'att': 122, 'def': 30}",1,13,1,0,0.6727000000000001,w,2015-08-23 20:00:00,1,0,0,3,-0.9573320000000001
h,2.23566,0.791464,2.23566,0.791464,"{'att': 161, 'def': 41}","{'att': 284, 'def': 20}",8,0,0,1,2.4824,l,2015-08-30 22:45:00,0,0,1,0,1.4441960000000003
a,0.611595,1.33653,0.611595,1.33653,"{'att': 285, 'def': 24}","{'att': 191, 'def': 21}",5,3,0,2,0.6568,l,2015-09-13 20:00:00,0,0,1,0,-0.724935
h,0.991963,0.68218,0.991963,0.68218,"{'att': 259, 'def': 33}","{'att': 189, 'def': 27}",3,2,1,2,1.6781,l,2015-09-19 20:00:00,0,0,1,0,0.30978300000000003
h,1.06772,0.650335,1.06772,0.650335,"{'att': 227, 'def': 35}","{'att': 163, 'def': 31}",6,2,2,3,1.7543,l,2015-09-22 22:45:00,0,0,1,0,0.417385
a,1.75506,1.61378,1.75506,1.61378,"{'att': 198, 'def': 27}","{'att': 224, 'def': 38}",7,11,2,1,1.4824,w,2015-09-27 17:00:00,1,0,0,3,0.14128000000000007
h,1.36533,1.41836,1.36533,0.657057,"{'att': 328, 'def': 28}","{'att': 111, 'def': 32}",2,5,1,1,1.3208,d,2015-10-04 17:00:00,0,1,0,1,0.7082729999999999
a,0.839325,1.10503,0.839325,0.343733,"{'att': 242, 'def': 29}","{'att': 257, 'def': 18}",2,3,1,1,1.0058,d,2015-10-18 17:00:00,0,1,0,1,0.495592
h,2.10451,0.430149,2.10451,0.430149,"{'att': 244, 'def': 20}","{'att': 190, 'def': 27}",10,5,1,0,2.6043,w,2015-10-25 18:00:00,1,0,0,3,1.6743609999999998
a,0.538201,2.09363,0.538201,2.09363,"{'att': 361, 'def': 27}","{'att': 172, 'def': 18}",3,10,1,3,0.3301,l,2015-10-28 23:45:00,0,0,1,0,-1.5554290000000002
h,1.35495,0.249152,1.35495,0.249152,"{'att': 211, 'def': 30}","{'att': 198, 'def': 20}",9,2,0,0,2.3432,d,2015-11-01 18:00:00,0,1,0,1,1.105798
a,0.298595,1.1988,0.298595,1.1988,"{'att': 292, 'def': 17}","{'att': 190, 'def': 23}",3,7,0,1,0.5448,l,2015-11-08 21:00:00,0,0,1,0,-0.9002050000000001
h,0.710226,0.432258,0.710226,0.432258,"{'att': 319, 'def': 33}","{'att': 150, 'def': 15}",5,2,1,0,1.6151,w,2015-11-22 18:00:00,1,0,0,3,0.27796800000000005
a,1.83753,1.91846,1.83753,1.91846,"{'att': 209, 'def': 25}","{'att': 199, 'def': 31}",7,5,3,2,1.2791,w,2015-11-29 18:00:00,1,0,0,3,-0.08092999999999995
a,0.925195,2.02848,0.925195,1.26718,"{'att': 323, 'def': 30}","{'att': 233, 'def': 28}",4,9,0,3,0.5383,l,2015-12-06 18:00:00,0,0,1,0,-0.341985
h,1.56304,1.76294,1.56304,1.76294,"{'att': 200, 'def': 20}","{'att': 268, 'def': 22}",9,4,0,4,1.2047,l,2015-12-12 23:45:00,0,0,1,0,-0.19989999999999997
a,1.52143,0.50199,1.52143,0.50199,"{'att': 208, 'def': 17}","{'att': 211, 'def': 26}",1,5,1,0,2.2554,w,2015-12-20 21:00:00,1,0,0,3,1.01944
h,1.91362,1.10135,1.91362,1.10135,"{'att': 249, 'def': 17}","{'att': 125, 'def': 27}",2,4,2,1,2.0293,w,2016-01-06 15:30:00,1,0,0,3,0.81227
a,0.326424,1.49909,0.326424,1.49909,"{'att': 154, 'def': 17}","{'att': 292, 'def': 35}",1,4,1,2,0.3995,l,2016-01-09 18:00:00,0,0,1,0,-1.172666
h,0.338728,2.68244,0.338728,1.92118,"{'att': 370, 'def': 14}","{'att': 222, 'def': 29}",2,12,0,4,0.0827,l,2016-01-17 18:00:00,0,0,1,0,-1.5824520000000002
