h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
a,0.38438,1.73535,0.38438,1.73535,"{'att': 248, 'def': 27}","{'att': 292, 'def': 24}",3,9,0,1,0.3808,l,2016-08-21 22:45:00,0,0,1,0,-1.35097
h,1.02444,2.39624,1.02444,2.39624,"{'att': 231, 'def': 24}","{'att': 178, 'def': 26}",1,7,1,3,0.4246,l,2016-08-28 22:45:00,0,0,1,0,-1.3718000000000001
a,0.521587,0.636904,0.521587,0.636904,"{'att': 254, 'def': 24}","{'att': 225, 'def': 32}",4,2,1,2,1.1921,l,2016-09-12 22:45:00,0,0,1,0,-0.115317
h,1.13821,0.612635,1.13821,0.612635,"{'att': 413, 'def': 33}","{'att': 115, 'def': 34}",2,6,1,1,1.8442,d,2016-09-18 17:00:00,0,1,0,1,0.5255749999999999
a,1.20964,2.21659,0.448467,2.21659,"{'att': 474, 'def': 16}","{'att': 129, 'def': 27}",4,6,0,4,0.6764,l,2016-09-21 22:45:00,0,0,1,0,-1.7681230000000001
h,0.659193,2.1441,0.659193,2.1441,"{'att': 254, 'def': 30}","{'att': 278, 'def': 20}",5,4,1,3,0.3156,l,2016-09-26 21:00:00,0,0,1,0,-1.4849069999999998
a,1.25433,0.586739,1.25433,0.586739,"{'att': 249, 'def': 26}","{'att': 186, 'def': 21}",3,2,1,2,1.9226,l,2016-10-02 17:00:00,0,0,1,0,0.6675909999999999
a,0.634162,2.05142,0.634162,2.05142,"{'att': 305, 'def': 26}","{'att': 170, 'def': 27}",1,15,1,2,0.3994,l,2016-10-16 17:00:00,0,0,1,0,-1.417258
h,1.78468,2.32041,1.78468,2.32041,"{'att': 283, 'def': 31}","{'att': 214, 'def': 26}",6,5,1,2,0.9520000000000001,l,2016-10-23 17:00:00,0,0,1,0,-0.5357299999999998
a,0.725924,1.41393,0.725924,1.41393,"{'att': 339, 'def': 20}","{'att': 94, 'def': 23}",3,3,1,1,0.7639,d,2016-10-26 22:45:00,0,1,0,1,-0.6880059999999999
h,1.72351,0.659158,0.962214,0.659158,"{'att': 331, 'def': 24}","{'att': 114, 'def': 25}",1,6,2,0,2.3144,w,2016-10-30 18:00:00,1,0,0,3,0.303056
a,0.248518,2.49682,0.248518,1.73552,"{'att': 336, 'def': 11}","{'att': 95, 'def': 33}",1,4,0,3,0.0987,l,2016-11-06 21:00:00,0,0,1,0,-1.487002
h,1.36886,1.0138,1.36886,1.0138,"{'att': 349, 'def': 14}","{'att': 120, 'def': 17}",3,2,0,2,1.6280000000000001,l,2016-11-20 18:00:00,0,0,1,0,0.35505999999999993
h,0.573257,1.42112,0.573257,1.42112,"{'att': 354, 'def': 25}","{'att': 126, 'def': 19}",7,3,1,1,0.593,d,2016-11-27 18:00:00,0,1,0,1,-0.8478629999999999
a,0.765682,1.58497,0.765682,0.823796,"{'att': 290, 'def': 23}","{'att': 92, 'def': 30}",4,7,1,2,0.6012,l,2016-12-04 15:30:00,0,0,1,0,-0.058114
h,1.27078,1.0284,0.509481,0.267102,"{'att': 363, 'def': 23}","{'att': 94, 'def': 23}",1,5,2,1,1.5231,w,2016-12-10 21:00:00,1,0,0,3,0.24237899999999996
a,1.00404,2.19719,1.00404,2.19719,"{'att': 279, 'def': 33}","{'att': 158, 'def': 20}",7,5,0,2,0.5849,l,2016-12-18 18:00:00,0,0,1,0,-1.19315
a,0.484413,2.08654,0.484413,1.32524,"{'att': 344, 'def': 19}","{'att': 114, 'def': 29}",3,8,0,1,0.2439,l,2017-01-08 18:00:00,0,0,1,0,-0.840827
h,0.977165,1.04914,0.977165,1.04914,"{'att': 235, 'def': 23}","{'att': 185, 'def': 12}",8,9,0,1,1.2842,l,2017-01-14 21:00:00,0,0,1,0,-0.07197500000000001
a,1.55254,2.48976,1.55254,1.7285,"{'att': 276, 'def': 22}","{'att': 132, 'def': 26}",1,6,2,2,0.6475000000000001,d,2017-01-22 17:00:00,0,1,0,1,-0.1759599999999999
h,2.47879,0.208541,1.71749,0.208541,"{'att': 329, 'def': 31}","{'att': 165, 'def': 22}",7,5,4,1,2.8558999999999997,w,2017-01-29 14:00:00,1,0,0,3,1.5089489999999999
a,0.384211,0.765782,0.384211,0.765782,"{'att': 302, 'def': 34}","{'att': 139, 'def': 20}",3,4,0,1,0.8871,l,2017-02-05 17:00:00,0,0,1,0,-0.38157099999999994
h,0.124749,1.84465,0.124749,1.84465,"{'att': 560, 'def': 22}","{'att': 93, 'def': 19}",0,14,0,2,0.17409999999999998,l,2017-02-08 20:00:00,0,0,1,0,-1.719901
h,0.45353,2.34892,0.45353,1.58762,"{'att': 289, 'def': 18}","{'att': 114, 'def': 31}",2,12,0,2,0.196,l,2017-02-12 11:30:00,0,0,1,0,-1.13409
a,0.178478,1.87331,0.178478,1.87331,"{'att': 294, 'def': 39}","{'att': 164, 'def': 23}",3,3,0,1,0.1974,l,2017-02-18 17:00:00,0,0,1,0,-1.6948320000000001
h,1.07246,0.814299,1.07246,0.814299,"{'att': 205, 'def': 24}","{'att': 223, 'def': 15}",4,2,1,2,1.5572,l,2017-02-26 14:00:00,0,0,1,0,0.258161
h,1.25058,0.848716,1.25058,0.848716,"{'att': 176, 'def': 27}","{'att': 112, 'def': 25}",5,4,0,0,1.6832,d,2017-03-05 14:00:00,0,1,0,1,0.401864
a,0.247221,3.48367,0.247221,1.96107,"{'att': 602, 'def': 13}","{'att': 104, 'def': 27}",1,12,0,3,0.0317,l,2017-03-12 14:00:00,0,0,1,0,-1.7138490000000002
h,0.747159,2.82105,0.747159,2.82105,"{'att': 379, 'def': 29}","{'att': 92, 'def': 22}",3,12,0,1,0.2722,l,2017-03-19 14:00:00,0,0,1,0,-2.073891
a,0.815658,1.02274,0.815658,1.02274,"{'att': 283, 'def': 19}","{'att': 162, 'def': 11}",4,1,2,1,1.1569,w,2017-04-02 14:00:00,1,0,0,3,-0.207082
h,2.01501,1.90585,1.25371,1.90585,"{'att': 320, 'def': 24}","{'att': 83, 'def': 20}",4,5,2,1,1.4409999999999998,w,2017-04-09 14:00:00,1,0,0,3,-0.6521399999999999
a,0.471117,2.66452,0.471117,1.90323,"{'att': 372, 'def': 20}","{'att': 85, 'def': 20}",2,10,1,1,0.1547,d,2017-04-15 14:00:00,0,1,0,1,-1.432113
a,1.47185,1.65401,1.47185,1.65401,"{'att': 337, 'def': 23}","{'att': 177, 'def': 15}",2,5,2,1,1.2001,w,2017-04-23 14:00:00,1,0,0,3,-0.18215999999999988
h,0.522385,2.17357,0.522385,2.17357,"{'att': 268, 'def': 26}","{'att': 103, 'def': 25}",6,6,1,1,0.1825,d,2017-04-30 14:00:00,0,1,0,1,-1.651185
a,0.468848,0.723682,0.468848,0.723682,"{'att': 287, 'def': 28}","{'att': 161, 'def': 25}",4,3,1,0,1.0006,w,2017-05-07 14:00:00,1,0,0,3,-0.25483400000000006
h,0.905799,1.30692,0.905799,1.30692,"{'att': 241, 'def': 16}","{'att': 128, 'def': 17}",8,3,1,0,0.9926999999999999,w,2017-05-14 14:00:00,1,0,0,3,-0.40112100000000006
a,0.261461,1.53587,0.261461,1.53587,"{'att': 368, 'def': 27}","{'att': 110, 'def': 16}",1,7,0,3,0.3673,l,2017-05-21 14:00:00,0,0,1,0,-1.2744090000000001
h,0.993998,1.09216,0.993998,0.330857,"{'att': 288, 'def': 25}","{'att': 173, 'def': 19}",3,5,3,1,1.2005000000000001,w,2017-05-28 19:45:00,1,0,0,3,0.663141
