h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
a,1.67953,0.351218,0.918235,0.351218,"{'att': 213, 'def': 26}","{'att': 316, 'def': 29}",8,5,1,0,2.4876,w,2016-08-21 22:45:00,1,0,0,3,0.5670170000000001
h,0.54343,1.45854,0.54343,1.45854,"{'att': 329, 'def': 28}","{'att': 186, 'def': 22}",6,9,2,1,0.4752,w,2016-08-28 22:45:00,1,0,0,3,-0.91511
a,0.835114,3.29973,0.835114,3.29973,"{'att': 390, 'def': 26}","{'att': 139, 'def': 25}",4,12,1,3,0.1553,l,2016-09-10 20:00:00,0,0,1,0,-2.464616
h,2.29731,1.40462,1.53601,1.40462,"{'att': 255, 'def': 25}","{'att': 210, 'def': 29}",3,5,2,0,2.1513,w,2016-09-18 17:00:00,1,0,0,3,0.13139000000000012
a,0.435427,0.195009,0.435427,0.195009,"{'att': 193, 'def': 22}","{'att': 227, 'def': 20}",1,4,1,2,1.5367000000000002,l,2016-09-21 22:45:00,0,0,1,0,0.24041800000000002
h,1.51059,0.611892,1.51059,0.611892,"{'att': 243, 'def': 26}","{'att': 282, 'def': 29}",3,3,1,0,2.1852,w,2016-09-25 17:00:00,1,0,0,3,0.8986980000000001
a,1.17991,1.41957,1.17991,0.658268,"{'att': 251, 'def': 19}","{'att': 220, 'def': 19}",2,1,3,4,1.1169,l,2016-10-02 20:00:00,0,0,1,0,0.521642
h,2.05142,0.634162,2.05142,0.634162,"{'att': 170, 'def': 27}","{'att': 305, 'def': 26}",15,1,2,1,2.4213999999999998,w,2016-10-16 17:00:00,1,0,0,3,1.417258
a,0.638691,1.39945,0.638691,1.39945,"{'att': 283, 'def': 26}","{'att': 267, 'def': 31}",5,9,1,1,0.6923,d,2016-10-23 20:00:00,0,1,0,1,-0.7607590000000001
h,1.00699,2.21845,1.00699,1.45715,"{'att': 292, 'def': 21}","{'att': 152, 'def': 20}",5,10,1,3,0.5196,l,2016-10-26 22:45:00,0,0,1,0,-0.4501599999999999
a,1.2589,1.78915,1.2589,1.78915,"{'att': 267, 'def': 22}","{'att': 225, 'def': 25}",3,3,1,2,0.8968,l,2016-10-30 18:00:00,0,0,1,0,-0.5302500000000001
h,1.04128,1.3028,1.04128,1.3028,"{'att': 233, 'def': 21}","{'att': 259, 'def': 28}",3,4,0,3,1.0557,l,2016-11-06 18:00:00,0,0,1,0,-0.26152
a,1.14682,2.54447,1.14682,1.78317,"{'att': 248, 'def': 22}","{'att': 170, 'def': 37}",4,5,2,3,0.45209999999999995,l,2016-11-20 15:30:00,0,0,1,0,-0.63635
a,0.520212,1.23939,0.520212,1.23939,"{'att': 511, 'def': 28}","{'att': 171, 'def': 31}",1,5,1,1,0.6755,d,2016-11-28 22:00:00,0,1,0,1,-0.719178
h,2.75094,1.20881,1.22834,1.20881,"{'att': 311, 'def': 37}","{'att': 180, 'def': 29}",4,13,3,0,2.5345,w,2016-12-04 18:00:00,1,0,0,3,0.019530000000000047
a,1.21595,1.70698,1.21595,1.70698,"{'att': 308, 'def': 32}","{'att': 214, 'def': 37}",9,2,1,2,1.0082,l,2016-12-12 22:00:00,0,0,1,0,-0.49102999999999986
h,0.574257,2.31308,0.574257,2.31308,"{'att': 254, 'def': 21}","{'att': 191, 'def': 34}",8,8,0,1,0.3026,l,2016-12-18 15:30:00,0,0,1,0,-1.7388229999999998
a,1.42871,2.18282,0.667414,2.18282,"{'att': 338, 'def': 24}","{'att': 144, 'def': 17}",2,11,3,4,0.7023999999999999,l,2016-12-22 23:45:00,0,0,1,0,-1.515406
h,0.61014,2.06808,0.61014,2.06808,"{'att': 286, 'def': 27}","{'att': 219, 'def': 30}",3,11,0,0,0.3775,d,2017-01-08 18:00:00,0,1,0,1,-1.4579400000000002
h,1.48319,1.32792,1.48319,1.32792,"{'att': 198, 'def': 16}","{'att': 299, 'def': 18}",6,2,4,1,1.4686,w,2017-01-15 18:00:00,1,0,0,3,0.15527000000000002
a,1.21807,2.0633,1.21807,1.302,"{'att': 198, 'def': 31}","{'att': 242, 'def': 25}",4,2,3,1,0.7263,w,2017-01-22 17:00:00,1,0,0,3,-0.08393000000000006
h,0.62385,1.53659,0.62385,1.53659,"{'att': 343, 'def': 29}","{'att': 232, 'def': 21}",5,7,0,2,0.6052,l,2017-01-29 17:00:00,0,0,1,0,-0.9127399999999999
a,0.916538,0.771433,0.916538,0.771433,"{'att': 248, 'def': 23}","{'att': 171, 'def': 13}",2,4,1,0,1.5375999999999999,w,2017-02-05 14:00:00,1,0,0,3,0.14510499999999993
h,2.00872,2.83627,2.00872,2.07497,"{'att': 381, 'def': 19}","{'att': 193, 'def': 19}",3,4,1,3,0.8011,l,2017-02-12 14:00:00,0,0,1,0,-0.06625000000000014
a,2.0648,1.62501,2.0648,1.62501,"{'att': 165, 'def': 19}","{'att': 237, 'def': 17}",5,5,2,1,1.6875,w,2017-02-19 14:00:00,1,0,0,3,0.4397899999999999
h,1.24336,2.24079,0.482102,1.47949,"{'att': 216, 'def': 38}","{'att': 189, 'def': 28}",13,12,0,1,0.6151,l,2017-02-26 14:00:00,0,0,1,0,-0.9973879999999999
a,0.848716,1.25058,0.848716,1.25058,"{'att': 112, 'def': 25}","{'att': 176, 'def': 27}",4,5,0,0,1.0085,d,2017-03-05 14:00:00,0,1,0,1,-0.401864
h,0.64108,1.36613,0.64108,1.36613,"{'att': 180, 'def': 21}","{'att': 265, 'def': 33}",5,7,0,1,0.7167000000000001,l,2017-03-12 11:30:00,0,0,1,0,-0.7250500000000001
