h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
a,2.0921,0.302867,1.3308,0.302867,"{'att': 76, 'def': 18}","{'att': 420, 'def': 11}",18,3,3,0,2.6848,w,2017-08-20 19:45:00,1,0,0,3,1.027933
h,1.42114,0.559323,1.42114,0.559323,"{'att': 266, 'def': 27}","{'att': 232, 'def': 22}",2,8,2,1,2.1486,w,2017-08-27 19:45:00,1,0,0,3,0.861817
a,1.20558,2.35955,1.20558,1.59825,"{'att': 243, 'def': 18}","{'att': 320, 'def': 20}",6,10,1,4,0.5742,l,2017-09-10 15:00:00,0,0,1,0,-0.39266999999999985
h,2.77644,0.221787,2.77644,0.221787,"{'att': 243, 'def': 24}","{'att': 337, 'def': 19}",11,1,2,1,2.8870999999999998,w,2017-09-17 14:00:00,1,0,0,3,2.554653
h,2.13498,0.158147,0.612387,0.158147,"{'att': 225, 'def': 34}","{'att': 314, 'def': 15}",3,1,2,0,2.8561000000000005,w,2017-09-20 19:45:00,1,0,0,3,0.45424
a,0.270138,1.73266,0.270138,1.73266,"{'att': 212, 'def': 22}","{'att': 277, 'def': 21}",4,3,0,2,0.2511,l,2017-09-24 11:30:00,0,0,1,0,-1.462522
h,0.781639,1.18948,0.781639,1.18948,"{'att': 320, 'def': 24}","{'att': 211, 'def': 14}",6,6,0,2,0.9885,l,2017-10-01 17:00:00,0,0,1,0,-0.4078410000000001
a,0.839877,2.24514,0.839877,1.48384,"{'att': 180, 'def': 17}","{'att': 271, 'def': 25}",6,4,2,3,0.4159,l,2017-10-15 19:45:00,0,0,1,0,-0.6439630000000001
h,0.724916,0.410308,0.724916,0.410308,"{'att': 232, 'def': 28}","{'att': 241, 'def': 26}",6,3,0,0,1.6011,d,2017-10-22 14:00:00,0,1,0,1,0.314608
a,1.43727,0.735034,1.43727,0.735034,"{'att': 265, 'def': 32}","{'att': 346, 'def': 11}",6,3,4,1,1.9346,w,2017-10-25 19:45:00,1,0,0,3,0.7022360000000001
h,1.18528,0.463087,1.18528,0.463087,"{'att': 250, 'def': 40}","{'att': 287, 'def': 20}",5,5,0,2,2.0608,l,2017-10-28 17:00:00,0,0,1,0,0.7221929999999999
a,1.21969,0.30335,1.21969,0.30335,"{'att': 196, 'def': 24}","{'att': 234, 'def': 32}",10,3,2,0,2.1751,w,2017-11-05 19:45:00,1,0,0,3,0.9163399999999999
a,0.308691,1.55302,0.308691,1.55302,"{'att': 299, 'def': 16}","{'att': 382, 'def': 28}",2,9,1,2,0.39649999999999996,l,2017-11-18 19:45:00,0,0,1,0,-1.244329
h,1.16035,1.00238,1.16035,1.00238,"{'att': 205, 'def': 25}","{'att': 226, 'def': 32}",5,3,0,0,1.415,d,2017-11-26 14:00:00,0,1,0,1,0.15796999999999994
a,1.74779,1.20398,1.74779,1.20398,"{'att': 210, 'def': 16}","{'att': 252, 'def': 16}",9,11,2,2,1.842,d,2017-12-03 11:30:00,0,1,0,1,0.5438099999999999
