h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
h,0.757926,0.625722,0.757926,0.625722,"{'att': 270, 'def': 39}","{'att': 251, 'def': 11}",6,2,0,0,1.4277,d,2017-08-20 19:45:00,0,1,0,1,0.132204
a,1.36642,0.772094,1.36642,0.772094,"{'att': 262, 'def': 19}","{'att': 267, 'def': 26}",7,10,2,1,1.8941,w,2017-08-27 19:45:00,1,0,0,3,0.594326
h,2.35955,1.20558,1.59825,1.20558,"{'att': 320, 'def': 20}","{'att': 243, 'def': 18}",10,6,4,1,2.2293,w,2017-09-10 15:00:00,1,0,0,3,0.39266999999999985
a,3.11315,0.548626,3.11315,0.548626,"{'att': 268, 'def': 24}","{'att': 334, 'def': 29}",8,3,3,2,2.8714999999999997,w,2017-09-17 19:45:00,1,0,0,3,2.564524
h,0.282218,2.65015,0.282218,1.88886,"{'att': 516, 'def': 11}","{'att': 308, 'def': 34}",3,8,1,4,0.0657,l,2017-09-20 19:45:00,0,0,1,0,-1.606642
a,2.15974,0.349857,1.39844,0.349857,"{'att': 246, 'def': 23}","{'att': 363, 'def': 32}",8,6,3,0,2.7046,w,2017-09-24 14:00:00,1,0,0,3,1.0485829999999998
h,4.08123,1.72059,3.31993,0.959287,"{'att': 277, 'def': 24}","{'att': 292, 'def': 13}",8,4,6,1,2.6829,w,2017-10-01 14:00:00,1,0,0,3,2.3606429999999996
a,1.68134,2.32779,0.920043,1.5665,"{'att': 319, 'def': 22}","{'att': 260, 'def': 29}",4,8,2,1,0.8592,w,2017-10-14 17:00:00,1,0,0,3,-0.646457
h,2.06641,0.637448,1.30524,0.637448,"{'att': 297, 'def': 16}","{'att': 331, 'def': 24}",4,3,3,0,2.4724,w,2017-10-22 19:45:00,1,0,0,3,0.6677919999999999
a,2.73733,0.887713,1.97603,0.887713,"{'att': 303, 'def': 25}","{'att': 363, 'def': 31}",5,4,2,1,2.6226,w,2017-10-25 19:45:00,1,0,0,3,1.088317
a,2.92387,0.603107,2.92387,0.603107,"{'att': 309, 'def': 23}","{'att': 338, 'def': 17}",11,3,5,1,2.8304000000000005,w,2017-10-29 11:30:00,1,0,0,3,2.320763
a,1.18881,1.56699,0.427509,0.805695,"{'att': 209, 'def': 22}","{'att': 213, 'def': 22}",7,3,1,2,1.0033,l,2017-11-18 17:00:00,0,0,1,0,-0.3781860000000001
h,1.74404,1.28061,1.74404,0.519312,"{'att': 262, 'def': 28}","{'att': 277, 'def': 17}",6,7,1,1,1.7454,d,2017-11-26 17:00:00,0,1,0,1,1.224728
a,2.13576,1.19278,2.13576,1.19278,"{'att': 183, 'def': 20}","{'att': 252, 'def': 33}",7,14,2,1,2.0852000000000004,w,2017-12-03 19:45:00,1,0,0,3,0.9429799999999999
h,1.41644,1.06702,1.41644,1.06702,"{'att': 264, 'def': 23}","{'att': 221, 'def': 22}",8,8,1,3,1.6354,l,2017-12-11 20:00:00,0,0,1,0,0.34941999999999984
a,1.05616,2.43027,1.05616,1.66897,"{'att': 249, 'def': 30}","{'att': 271, 'def': 24}",11,9,3,3,0.44420000000000004,d,2017-12-17 19:45:00,0,1,0,1,-0.6128100000000001
h,3.72101,0.484935,3.72101,0.484935,"{'att': 204, 'def': 29}","{'att': 315, 'def': 23}",19,4,4,0,2.9114000000000004,w,2017-12-23 11:30:00,1,0,0,3,3.236075
a,1.10057,0.748664,1.10057,0.748664,"{'att': 306, 'def': 22}","{'att': 215, 'def': 30}",16,6,0,0,1.6751,d,2017-12-30 17:00:00,0,1,0,1,0.35190600000000005
a,2.24817,2.23468,2.24817,1.47343,"{'att': 263, 'def': 22}","{'att': 230, 'def': 28}",9,6,5,2,1.3897,w,2018-01-06 14:00:00,1,0,0,3,0.77474
h,1.16224,0.362077,1.16224,0.362077,"{'att': 370, 'def': 19}","{'att': 349, 'def': 26}",10,4,5,1,2.0615,w,2018-01-21 14:00:00,1,0,0,3,0.800163
h,1.28935,0.788178,1.28935,0.788178,"{'att': 375, 'def': 22}","{'att': 279, 'def': 27}",5,6,3,0,1.7896,w,2018-01-24 18:00:00,1,0,0,3,0.501172
a,0.518186,1.22642,0.518186,1.22642,"{'att': 311, 'def': 28}","{'att': 339, 'def': 23}",10,0,1,2,0.6598,l,2018-01-28 14:00:00,0,0,1,0,-0.708234
h,0.94123,0.82567,0.94123,0.82567,"{'att': 181, 'def': 25}","{'att': 321, 'def': 19}",11,2,1,2,1.3823,l,2018-02-05 19:45:00,0,0,1,0,0.11556
a,0.791653,2.0372,0.791653,2.0372,"{'att': 540, 'def': 33}","{'att': 242, 'def': 30}",0,7,1,4,0.4618,l,2018-02-10 19:45:00,0,0,1,0,-1.2455469999999997
h,2.118,0.122699,2.118,0.122699,"{'att': 196, 'def': 42}","{'att': 237, 'def': 28}",14,2,2,0,2.7596,w,2018-02-19 19:45:00,1,0,0,3,1.995301
a,1.38796,0.707073,0.626657,0.707073,"{'att': 250, 'def': 24}","{'att': 518, 'def': 25}",3,3,3,0,2.0332,w,2018-02-25 14:00:00,1,0,0,3,-0.08041599999999993
h,0.184789,1.026,0.184789,1.026,"{'att': 431, 'def': 36}","{'att': 197, 'def': 25}",3,3,0,1,0.45139999999999997,l,2018-03-03 17:00:00,0,0,1,0,-0.841211
a,0.785043,1.5722,0.785043,0.8109,"{'att': 170, 'def': 27}","{'att': 331, 'def': 26}",7,0,2,2,0.5602,d,2018-03-11 14:00:00,0,1,0,1,-0.025856999999999908
h,1.01292,0.892032,1.01292,0.892032,"{'att': 245, 'def': 37}","{'att': 259, 'def': 10}",10,3,1,1,1.3780000000000001,d,2018-03-18 19:45:00,0,1,0,1,0.120888
h,3.7189,0.256318,2.9576,0.256318,"{'att': 152, 'def': 29}","{'att': 239, 'def': 10}",13,3,6,2,2.9468,w,2018-03-31 14:00:00,1,0,0,3,2.701282
a,1.19356,0.775993,1.19356,0.775993,"{'att': 198, 'def': 16}","{'att': 362, 'def': 22}",7,5,2,1,1.7043,w,2018-04-08 16:00:00,1,0,0,3,0.4175669999999999
h,0.630028,0.698758,0.630028,0.698758,"{'att': 226, 'def': 26}","{'att': 149, 'def': 20}",6,6,0,0,1.2472,d,2018-04-15 18:45:00,0,1,0,1,-0.06872999999999996
a,1.60459,1.32723,1.60459,0.565936,"{'att': 173, 'def': 34}","{'att': 235, 'def': 21}",9,5,4,3,1.5433,w,2018-04-18 18:45:00,1,0,0,3,1.038654
h,2.64031,0.281901,2.64031,0.281901,"{'att': 302, 'def': 29}","{'att': 222, 'def': 19}",7,3,4,0,2.8975,w,2018-04-22 13:00:00,1,0,0,3,2.358409
a,2.82005,0.334166,2.05875,0.334166,"{'att': 287, 'def': 23}","{'att': 206, 'def': 19}",15,6,1,0,2.8477,w,2018-04-29 18:45:00,1,0,0,3,1.724584
h,1.52503,2.95623,1.52503,2.95623,"{'att': 336, 'def': 29}","{'att': 210, 'def': 24}",6,13,1,1,0.4876,d,2018-05-06 14:00:00,0,1,0,1,-1.4312
a,2.57237,0.911544,1.81107,0.911544,"{'att': 133, 'def': 22}","{'att': 280, 'def': 31}",7,6,2,2,2.5149,d,2018-05-13 14:00:00,0,1,0,1,0.8995259999999999
h,1.47009,2.13248,1.47009,1.37118,"{'att': 335, 'def': 16}","{'att': 165, 'def': 29}",7,7,2,3,0.772,l,2018-05-20 14:00:00,0,0,1,0,0.09890999999999983
