h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
a,1.18063,0.496521,1.18063,0.496521,"{'att': 155, 'def': 24}","{'att': 263, 'def': 17}",10,4,1,0,1.9586999999999999,w,2018-08-19 19:00:00,1,0,0,3,0.6841090000000001
h,2.22995,2.35383,2.22995,2.35383,"{'att': 189, 'def': 23}","{'att': 277, 'def': 21}",6,8,3,3,1.3179,d,2018-08-27 21:30:00,0,1,0,1,-0.12387999999999977
a,0.311589,1.69218,0.311589,1.69218,"{'att': 308, 'def': 14}","{'att': 306, 'def': 20}",7,9,1,2,0.3365,l,2018-08-31 21:30:00,0,0,1,0,-1.380591
h,2.72023,1.17626,2.72023,1.17626,"{'att': 334, 'def': 21}","{'att': 344, 'def': 14}",6,5,2,2,2.3994,d,2018-09-16 10:30:00,0,1,0,1,1.5439699999999998
a,3.20497,0.885381,3.20497,0.885381,"{'att': 126, 'def': 19}","{'att': 295, 'def': 8}",7,2,0,2,2.7426999999999997,l,2018-09-23 13:00:00,0,0,1,0,2.3195889999999997
h,2.53238,0.48896,2.53238,0.48896,"{'att': 242, 'def': 17}","{'att': 442, 'def': 13}",17,2,4,0,2.7800000000000002,w,2018-09-26 19:00:00,1,0,0,3,2.04342
h,2.45713,0.885573,2.45713,0.885573,"{'att': 258, 'def': 13}","{'att': 210, 'def': 21}",5,12,3,1,2.431,w,2018-09-29 13:00:00,1,0,0,3,1.5715569999999999
a,0.863839,1.99899,0.863839,1.23773,"{'att': 241, 'def': 15}","{'att': 313, 'def': 20}",7,6,2,0,0.5264,w,2018-10-06 18:30:00,1,0,0,3,-0.373891
h,1.6265,1.89155,1.6265,1.13025,"{'att': 184, 'def': 25}","{'att': 320, 'def': 17}",13,4,0,2,1.1482999999999999,l,2018-10-20 13:00:00,0,0,1,0,0.4962500000000001
a,0.784661,2.03999,0.784661,2.03999,"{'att': 320, 'def': 10}","{'att': 241, 'def': 33}",3,11,1,1,0.5047,d,2018-10-28 18:30:00,0,1,0,1,-1.255329
a,1.98078,1.22535,1.98078,0.464053,"{'att': 136, 'def': 36}","{'att': 253, 'def': 16}",8,3,1,1,1.9351,d,2018-11-03 17:00:00,0,1,0,1,1.516727
h,3.04114,0.632158,3.04114,0.632158,"{'att': 258, 'def': 24}","{'att': 265, 'def': 24}",8,2,4,1,2.8648000000000002,w,2018-11-11 14:00:00,1,0,0,3,2.408982
a,1.25017,1.36766,1.25017,1.36766,"{'att': 85, 'def': 23}","{'att': 320, 'def': 22}",6,1,0,1,1.2439999999999998,l,2018-11-24 14:00:00,0,0,1,0,-0.1174900000000001
h,1.71663,2.20984,0.955367,2.20984,"{'att': 307, 'def': 18}","{'att': 201, 'def': 19}",6,8,2,2,1.0316,d,2018-12-02 19:30:00,0,1,0,1,-1.254473
a,1.77887,1.49265,1.77887,1.49265,"{'att': 251, 'def': 24}","{'att': 167, 'def': 24}",6,9,2,2,1.5897999999999999,d,2018-12-08 17:00:00,0,1,0,1,0.2862199999999999
h,1.87358,2.14236,1.87358,2.14236,"{'att': 185, 'def': 20}","{'att': 276, 'def': 19}",9,11,3,2,1.1484,w,2018-12-16 19:30:00,1,0,0,3,-0.26878
a,0.253011,2.27872,0.253011,2.27872,"{'att': 268, 'def': 30}","{'att': 217, 'def': 22}",5,6,0,1,0.15389999999999998,l,2018-12-22 19:30:00,0,0,1,0,-2.025709
h,4.11791,0.591453,3.35665,0.591453,"{'att': 236, 'def': 26}","{'att': 209, 'def': 22}",10,1,3,1,2.9331,w,2018-12-26 17:00:00,1,0,0,3,2.765197
a,1.71801,0.478268,1.71801,0.478268,"{'att': 156, 'def': 27}","{'att': 309, 'def': 16}",5,4,2,0,2.3309,w,2018-12-29 14:00:00,1,0,0,3,1.2397420000000001
h,3.06196,1.4063,2.30066,1.4063,"{'att': 155, 'def': 30}","{'att': 169, 'def': 38}",11,2,3,2,2.4497999999999998,w,2019-01-19 14:00:00,1,0,0,3,0.89436
a,1.86431,2.35929,1.86431,1.59799,"{'att': 352, 'def': 24}","{'att': 215, 'def': 30}",7,15,3,3,1.0413,d,2019-01-27 14:00:00,0,1,0,1,0.2663199999999999
h,1.7818,0.781258,1.7818,0.781258,"{'att': 363, 'def': 23}","{'att': 230, 'def': 17}",7,3,1,1,2.2061,d,2019-02-03 19:30:00,0,1,0,1,1.000542
a,1.53137,1.12095,1.53137,1.12095,"{'att': 293, 'def': 12}","{'att': 294, 'def': 33}",8,5,3,0,1.6971,w,2019-02-08 19:30:00,1,0,0,3,0.41042
h,1.75554,2.36382,0.994237,2.36382,"{'att': 182, 'def': 26}","{'att': 173, 'def': 25}",10,5,2,1,0.9906,w,2019-02-18 19:30:00,1,0,0,3,-1.369583
a,2.30167,1.66099,2.30167,1.66099,"{'att': 200, 'def': 27}","{'att': 277, 'def': 35}",6,6,3,2,1.8891000000000002,w,2019-02-23 19:30:00,1,0,0,3,0.6406800000000001
a,1.23076,2.14667,1.23076,1.38537,"{'att': 132, 'def': 18}","{'att': 231, 'def': 25}",5,6,0,3,0.5475,l,2019-03-02 19:30:00,0,0,1,0,-0.15460999999999991
h,1.14262,0.191518,1.14262,0.191518,"{'att': 254, 'def': 19}","{'att': 350, 'def': 12}",4,6,2,1,2.2957,w,2019-03-11 19:30:00,1,0,0,3,0.951102
a,1.57775,1.21905,0.816451,0.457791,"{'att': 253, 'def': 31}","{'att': 251, 'def': 17}",13,3,1,2,1.6841,l,2019-03-16 17:00:00,0,0,1,0,0.35866000000000003
