h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
a,1.94511,1.94205,1.18381,1.18075,"{'att': 226, 'def': 30}","{'att': 313, 'def': 31}",4,2,4,3,1.3776,w,2019-08-24 19:45:00,1,0,0,3,0.0030600000000000627
a,1.58762,2.0077,1.58762,2.0077,"{'att': 261, 'def': 27}","{'att': 321, 'def': 22}",5,7,3,4,1.042,l,2019-08-31 18:45:00,0,0,1,0,-0.4200799999999998
h,1.72924,1.69786,1.72924,1.69786,"{'att': 186, 'def': 22}","{'att': 455, 'def': 20}",9,7,2,0,1.3342999999999998,w,2019-09-14 16:00:00,1,0,0,3,0.031380000000000186
a,3.0665,1.37591,2.3052,0.614611,"{'att': 243, 'def': 20}","{'att': 395, 'def': 18}",7,6,4,1,2.5754,w,2019-09-22 13:00:00,1,0,0,3,1.6905890000000001
h,1.89418,0.534885,1.89418,0.534885,"{'att': 167, 'def': 24}","{'att': 360, 'def': 18}",7,0,0,1,2.3591,l,2019-09-25 19:00:00,0,0,1,0,1.359295
h,2.50124,1.14541,2.50124,1.14541,"{'att': 247, 'def': 28}","{'att': 339, 'def': 18}",14,5,2,1,2.3353,w,2019-09-29 10:30:00,1,0,0,3,1.35583
a,0.840858,0.48114,0.840858,0.48114,"{'att': 167, 'def': 32}","{'att': 281, 'def': 20}",8,4,0,0,1.6724999999999999,d,2019-10-06 17:00:00,0,1,0,1,0.359718
h,2.28168,1.73959,2.28168,1.73959,"{'att': 207, 'def': 19}","{'att': 264, 'def': 30}",7,4,2,0,1.784,w,2019-10-19 17:00:00,1,0,0,3,0.5420900000000002
a,0.898916,0.470344,0.898916,0.470344,"{'att': 165, 'def': 21}","{'att': 323, 'def': 22}",8,2,1,1,1.7698,d,2019-10-27 14:00:00,0,1,0,1,0.42857200000000006
h,3.19908,1.33873,3.19908,1.33873,"{'att': 307, 'def': 23}","{'att': 307, 'def': 27}",8,9,2,2,2.5477,d,2019-10-30 18:00:00,0,1,0,1,1.86035
a,1.6515,2.21085,1.6515,0.688255,"{'att': 200, 'def': 24}","{'att': 310, 'def': 35}",6,4,1,2,0.9048,l,2019-11-02 14:00:00,0,0,1,0,0.963245
h,0.883505,1.23282,0.883505,1.23282,"{'att': 407, 'def': 35}","{'att': 182, 'def': 17}",6,5,0,0,0.9989999999999999,d,2019-11-09 19:45:00,0,1,0,1,-0.34931500000000004
a,1.2322,0.794979,1.2322,0.794979,"{'att': 263, 'def': 33}","{'att': 311, 'def': 31}",7,8,1,1,1.7468,d,2019-11-23 17:00:00,0,1,0,1,0.43722099999999997
h,1.74594,1.47641,1.74594,1.47641,"{'att': 218, 'def': 20}","{'att': 281, 'def': 28}",11,2,1,2,1.5516,l,2019-12-01 17:00:00,0,0,1,0,0.26953000000000005
a,1.07747,0.56859,1.07747,0.56859,"{'att': 165, 'def': 27}","{'att': 283, 'def': 19}",17,2,1,1,1.7671,d,2019-12-07 17:00:00,0,1,0,1,0.5088799999999999
h,1.88263,1.29277,1.88263,1.29277,"{'att': 131, 'def': 23}","{'att': 377, 'def': 15}",13,5,1,2,1.7565,l,2019-12-14 17:00:00,0,0,1,0,0.58986
a,1.80188,1.38422,1.80188,1.38422,"{'att': 375, 'def': 17}","{'att': 232, 'def': 29}",7,6,2,1,1.6996000000000002,w,2019-12-22 19:45:00,1,0,0,3,0.4176599999999999
h,1.69175,1.24209,1.69175,1.24209,"{'att': 343, 'def': 20}","{'att': 326, 'def': 34}",10,4,1,3,1.6989999999999998,l,2020-01-06 19:45:00,0,0,1,0,0.44966000000000017
a,0.994893,1.4953,0.994893,1.4953,"{'att': 235, 'def': 18}","{'att': 470, 'def': 21}",3,8,0,1,0.9517,l,2020-01-11 17:00:00,0,0,1,0,-0.500407
h,0.580972,0.78573,0.580972,0.78573,"{'att': 160, 'def': 17}","{'att': 354, 'def': 9}",4,5,0,2,1.0921,l,2020-01-18 19:45:00,0,0,1,0,-0.204758
h,1.26806,0.652726,1.26806,0.652726,"{'att': 304, 'def': 19}","{'att': 345, 'def': 31}",3,3,2,1,1.8998,w,2020-01-26 19:45:00,1,0,0,3,0.6153339999999999
a,1.62063,1.72735,1.62063,0.966049,"{'att': 185, 'def': 14}","{'att': 355, 'def': 35}",9,6,4,2,1.2177,w,2020-02-03 19:45:00,1,0,0,3,0.654581
h,3.48129,1.83334,3.48129,1.83334,"{'att': 255, 'def': 39}","{'att': 267, 'def': 12}",20,6,2,3,2.4147999999999996,l,2020-02-09 14:00:00,0,0,1,0,1.64795
a,1.11984,0.287568,1.11984,0.287568,"{'att': 309, 'def': 20}","{'att': 388, 'def': 21}",2,3,1,0,2.1129,w,2020-02-16 17:00:00,1,0,0,3,0.8322719999999999
a,1.42319,1.28069,0.661932,1.28069,"{'att': 151, 'def': 21}","{'att': 485, 'def': 17}",4,7,2,1,1.4607,w,2020-02-21 19:45:00,1,0,0,3,-0.6187580000000001
h,2.15689,0.824974,2.15689,0.824974,"{'att': 261, 'def': 21}","{'att': 440, 'def': 23}",13,3,2,1,2.346,w,2020-02-29 19:45:00,1,0,0,3,1.331916
a,1.74552,1.44987,1.74552,1.44987,"{'att': 262, 'def': 23}","{'att': 307, 'def': 28}",4,4,2,0,1.5982999999999998,w,2020-06-23 17:30:00,1,0,0,3,0.29564999999999997
h,1.95132,0.530265,1.95132,0.530265,"{'att': 239, 'def': 22}","{'att': 472, 'def': 21}",7,2,3,1,2.4228,w,2020-06-28 17:30:00,1,0,0,3,1.421055
a,0.663009,1.06912,0.663009,1.06912,"{'att': 325, 'def': 17}","{'att': 340, 'def': 21}",6,4,0,2,0.9183000000000001,l,2020-07-02 17:30:00,0,0,1,0,-0.4061110000000001
h,2.34423,0.696395,2.34423,0.696395,"{'att': 279, 'def': 20}","{'att': 406, 'def': 18}",10,7,2,1,2.5545,w,2020-07-05 19:45:00,1,0,0,3,1.6478350000000002
a,1.58643,0.458319,1.58643,0.458319,"{'att': 200, 'def': 15}","{'att': 368, 'def': 18}",12,3,2,1,2.2398000000000002,w,2020-07-08 17:30:00,1,0,0,3,1.128111
h,1.96716,1.28706,1.96716,0.525761,"{'att': 406, 'def': 16}","{'att': 334, 'def': 27}",7,5,2,2,1.9341,d,2020-07-12 19:45:00,0,1,0,1,1.441399
a,0.874604,0.67381,0.874604,0.67381,"{'att': 268, 'def': 14}","{'att': 350, 'def': 37}",5,10,1,1,1.5079,d,2020-07-15 17:30:00,0,1,0,1,0.20079400000000003
h,1.1326,0.842771,1.1326,0.842771,"{'att': 269, 'def': 23}","{'att': 392, 'def': 17}",11,3,2,1,1.5488,w,2020-07-19 17:30:00,1,0,0,3,0.289829
a,1.52569,2.01358,0.764396,0.49098,"{'att': 214, 'def': 30}","{'att': 362, 'def': 8}",13,1,1,2,0.8843999999999999,l,2020-07-22 17:30:00,0,0,1,0,0.27341599999999994
h,2.4361,0.636029,2.4361,0.636029,"{'att': 335, 'def': 20}","{'att': 285, 'def': 24}",5,3,2,0,2.5833999999999997,w,2020-07-25 19:45:00,1,0,0,3,1.8000710000000002
a,1.16883,0.592135,1.16883,0.592135,"{'att': 277, 'def': 16}","{'att': 299, 'def': 14}",4,5,0,2,1.8548,l,2020-07-28 19:45:00,0,0,1,0,0.5766950000000001
h,1.92539,1.0997,1.16409,1.0997,"{'att': 285, 'def': 22}","{'att': 321, 'def': 13}",14,4,3,1,2.0262000000000002,w,2020-08-01 18:45:00,1,0,0,3,0.06439000000000017
