h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
h,2.35462,0.617878,2.35462,0.617878,"{'att': 322, 'def': 34}","{'att': 192, 'def': 28}",9,2,1,0,2.6197,w,2020-09-19 16:00:00,1,0,0,3,1.736742
a,2.25332,1.69563,2.25332,1.69563,"{'att': 339, 'def': 14}","{'att': 193, 'def': 37}",9,17,3,4,1.7862000000000002,l,2020-09-26 18:45:00,0,0,1,0,0.55769
h,2.02799,2.18148,2.02799,1.42022,"{'att': 156, 'def': 19}","{'att': 287, 'def': 23}",5,6,1,2,1.2767,l,2020-10-02 18:45:00,0,0,1,0,0.6077699999999999
a,1.08362,0.925627,1.08362,0.925627,"{'att': 251, 'def': 31}","{'att': 289, 'def': 37}",6,2,2,2,1.4691999999999998,d,2020-10-18 13:00:00,0,1,0,1,0.15799300000000005
h,1.20434,2.6861,1.20434,2.6861,"{'att': 248, 'def': 20}","{'att': 192, 'def': 30}",5,8,3,2,0.3608,w,2020-10-25 17:00:00,1,0,0,3,-1.4817600000000002
a,0.37308,3.6279,0.37308,3.6279,"{'att': 201, 'def': 28}","{'att': 339, 'def': 35}",3,9,0,2,0.0349,l,2020-11-01 17:00:00,0,0,1,0,-3.25482
a,0.814627,0.131692,0.814627,0.131692,"{'att': 259, 'def': 31}","{'att': 429, 'def': 26}",3,3,0,0,2.0498000000000003,d,2020-11-07 19:45:00,0,1,0,1,0.682935
h,1.21172,0.565303,1.21172,0.565303,"{'att': 170, 'def': 35}","{'att': 306, 'def': 29}",8,5,0,1,1.9847000000000001,l,2020-11-22 11:30:00,0,0,1,0,0.6464169999999999
a,0.602734,2.85768,0.602734,1.33517,"{'att': 190, 'def': 24}","{'att': 267, 'def': 28}",4,7,0,2,0.1239,l,2020-11-29 14:00:00,0,0,1,0,-0.732436
h,2.79212,1.37691,2.79212,1.37691,"{'att': 222, 'def': 15}","{'att': 322, 'def': 32}",9,4,1,1,2.3721,d,2020-12-07 19:45:00,0,1,0,1,1.41521
a,0.461794,2.8038,0.461794,2.8038,"{'att': 264, 'def': 22}","{'att': 253, 'def': 25}",2,15,0,3,0.1254,l,2020-12-13 14:00:00,0,0,1,0,-2.342006
h,1.71835,1.7103,0.957053,1.7103,"{'att': 378, 'def': 26}","{'att': 134, 'def': 19}",9,8,1,1,1.355,d,2020-12-16 19:45:00,0,1,0,1,-0.7532469999999999
h,1.68253,1.24682,0.921229,0.485524,"{'att': 133, 'def': 31}","{'att': 190, 'def': 22}",3,2,1,1,1.7772999999999999,d,2020-12-19 14:00:00,0,1,0,1,0.43570499999999995
a,1.53117,0.388088,1.53117,0.388088,"{'att': 308, 'def': 24}","{'att': 216, 'def': 16}",7,0,3,0,2.399,w,2020-12-22 19:45:00,1,0,0,3,1.143082
