h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
a,0.967177,2.20707,0.967177,2.20707,"{'att': 362, 'def': 16}","{'att': 277, 'def': 31}",11,12,0,4,0.5689,l,2021-08-21 16:30:00,0,0,1,0,-1.239893
h,0.339332,1.15407,0.339332,1.15407,"{'att': 309, 'def': 24}","{'att': 223, 'def': 37}",2,15,1,2,0.5820000000000001,l,2021-08-29 16:30:00,0,0,1,0,-0.814738
a,1.25494,1.83111,1.25494,1.06981,"{'att': 308, 'def': 18}","{'att': 227, 'def': 17}",6,6,3,2,0.8659999999999999,w,2021-09-12 13:00:00,1,0,0,3,0.18513000000000002
h,1.28373,1.12359,0.522469,1.12359,"{'att': 356, 'def': 18}","{'att': 202, 'def': 34}",1,12,1,2,1.5241,l,2021-09-18 13:00:00,0,0,1,0,-0.6011210000000001
a,1.69881,2.2881,0.937512,1.5268,"{'att': 297, 'def': 17}","{'att': 191, 'def': 26}",2,10,2,2,0.9032,d,2021-09-21 16:30:00,0,1,0,1,-0.5892879999999999
h,1.43713,2.07264,0.675836,1.31134,"{'att': 234, 'def': 23}","{'att': 220, 'def': 21}",3,8,3,3,0.877,d,2021-09-25 18:45:00,0,1,0,1,-0.635504
a,1.58603,0.547267,1.58603,0.547267,"{'att': 162, 'def': 26}","{'att': 219, 'def': 19}",5,10,0,1,2.2401,l,2021-10-02 13:00:00,0,0,1,0,1.038763
h,1.38414,2.8217,1.38414,2.8217,"{'att': 299, 'def': 33}","{'att': 170, 'def': 27}",5,10,2,2,0.5102,d,2021-10-17 13:00:00,0,1,0,1,-1.43756
a,2.35473,2.2411,2.35473,2.2411,"{'att': 205, 'def': 24}","{'att': 126, 'def': 24}",3,7,2,3,1.4515000000000002,l,2021-10-22 16:30:00,0,0,1,0,0.11363000000000012
a,1.0654,2.40615,0.3041,2.40615,"{'att': 202, 'def': 26}","{'att': 256, 'def': 32}",5,9,1,1,0.3879,d,2021-10-26 16:30:00,0,1,0,1,-2.1020499999999998
