h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
a,1.59632,0.709672,0.835025,0.709672,"{'att': 170, 'def': 24}","{'att': 289, 'def': 29}",5,5,1,2,2.1631,l,2022-08-14 16:30:00,0,0,1,0,0.12535300000000005
h,1.13475,2.46808,1.13475,2.46808,"{'att': 139, 'def': 16}","{'att': 166, 'def': 27}",4,4,1,1,0.49119999999999997,d,2022-08-21 18:45:00,0,1,0,1,-1.3333300000000001
a,0.505259,2.83694,0.505259,2.83694,"{'att': 203, 'def': 20}","{'att': 283, 'def': 35}",1,11,0,2,0.14150000000000001,l,2022-08-27 18:45:00,0,0,1,0,-2.3316809999999997
h,1.96131,1.19651,1.20001,1.19651,"{'att': 177, 'def': 25}","{'att': 196, 'def': 25}",2,6,1,1,1.9782000000000002,d,2022-09-01 18:45:00,0,1,0,1,0.0035000000000000586
a,1.02319,1.06255,1.02319,1.06255,"{'att': 156, 'def': 8}","{'att': 273, 'def': 19}",4,10,2,2,1.3429,d,2022-09-04 13:00:00,0,1,0,1,-0.03936000000000006
h,1.25233,1.17879,1.25233,1.17879,"{'att': 236, 'def': 11}","{'att': 168, 'def': 19}",7,4,2,1,1.3973,w,2022-09-11 13:00:00,1,0,0,3,0.07353999999999994
h,1.7821,1.66438,1.7821,1.66438,"{'att': 108, 'def': 17}","{'att': 201, 'def': 24}",2,3,0,1,1.4559,l,2022-09-17 13:00:00,0,0,1,0,0.11772000000000005
a,0.330255,2.51162,0.330255,2.51162,"{'att': 231, 'def': 23}","{'att': 291, 'def': 15}",0,6,0,3,0.1483,l,2022-10-02 18:45:00,0,0,1,0,-2.181365
h,0.669175,0.823033,0.669175,0.823033,"{'att': 163, 'def': 25}","{'att': 206, 'def': 30}",3,3,1,1,1.1430999999999998,d,2022-10-08 18:45:00,0,1,0,1,-0.15385800000000005
a,1.05317,4.47916,1.05317,4.47916,"{'att': 228, 'def': 17}","{'att': 350, 'def': 17}",7,19,2,3,0.102,l,2022-10-16 16:00:00,0,0,1,0,-3.4259900000000005
h,2.1232,0.336101,1.3619,0.336101,"{'att': 189, 'def': 18}","{'att': 228, 'def': 17}",6,3,2,0,2.7173,w,2022-10-23 13:00:00,1,0,0,3,1.0257990000000001
a,1.16962,1.09073,1.16962,0.329429,"{'att': 310, 'def': 25}","{'att': 265, 'def': 19}",5,4,2,1,1.3586,w,2022-10-31 19:45:00,1,0,0,3,0.8401910000000001
h,2.44593,1.01138,2.44593,0.250079,"{'att': 214, 'def': 19}","{'att': 301, 'def': 20}",5,1,2,1,2.5218,w,2022-11-06 11:30:00,1,0,0,3,2.195851
a,0.657702,2.78307,0.657702,2.02177,"{'att': 344, 'def': 10}","{'att': 256, 'def': 16}",3,9,1,6,0.1624,l,2022-11-09 19:45:00,0,0,1,0,-1.364068
h,0.761979,0.793558,0.761979,0.793558,"{'att': 260, 'def': 24}","{'att': 336, 'def': 14}",4,9,3,0,1.3187,w,2022-11-12 19:45:00,1,0,0,3,-0.031579000000000024
a,0.752989,2.08071,0.752989,1.31941,"{'att': 226, 'def': 27}","{'att': 374, 'def': 17}",7,1,0,1,0.4021,l,2023-01-04 15:30:00,0,0,1,0,-0.566421
h,0.386319,0.685431,0.386319,0.685431,"{'att': 262, 'def': 18}","{'att': 284, 'def': 26}",2,7,1,2,0.9345,l,2023-01-09 19:45:00,0,0,1,0,-0.299112
a,1.96519,2.44779,1.96519,2.44779,"{'att': 193, 'def': 24}","{'att': 203, 'def': 16}",9,9,2,1,1.0718999999999999,w,2023-01-15 14:00:00,1,0,0,3,-0.4825999999999999
h,0.850469,1.79982,0.850469,1.03852,"{'att': 121, 'def': 23}","{'att': 372, 'def': 19}",7,3,1,1,0.6017,d,2023-01-23 17:30:00,0,1,0,1,-0.18805100000000008
h,1.86506,0.485936,1.86506,0.485936,"{'att': 206, 'def': 23}","{'att': 309, 'def': 24}",7,1,2,0,2.3914999999999997,w,2023-01-27 17:30:00,1,0,0,3,1.379124
a,1.82438,1.33534,1.06308,1.33534,"{'att': 274, 'def': 41}","{'att': 162, 'def': 21}",8,9,2,1,1.7884,w,2023-02-05 17:00:00,1,0,0,3,-0.27225999999999995
h,0.435137,0.771658,0.435137,0.771658,"{'att': 168, 'def': 36}","{'att': 254, 'def': 16}",6,0,0,1,0.8823000000000001,l,2023-02-12 14:00:00,0,0,1,0,-0.33652099999999996
a,0.714025,2.60391,0.714025,1.08131,"{'att': 219, 'def': 24}","{'att': 349, 'def': 33}",6,5,2,1,0.1828,w,2023-02-18 14:00:00,1,0,0,3,-0.367285
h,1.06501,1.14705,1.06501,1.14705,"{'att': 317, 'def': 20}","{'att': 276, 'def': 27}",5,6,1,0,1.2566000000000002,w,2023-02-26 11:30:00,1,0,0,3,-0.08203999999999989
a,0.420593,1.03473,0.420593,1.03473,"{'att': 223, 'def': 12}","{'att': 335, 'def': 23}",4,8,0,1,0.7421,l,2023-03-06 19:45:00,0,0,1,0,-0.6141369999999999
h,1.09225,0.559995,1.09225,0.559995,"{'att': 311, 'def': 23}","{'att': 441, 'def': 22}",4,9,0,0,1.7914,d,2023-03-11 19:45:00,0,1,0,1,0.5322549999999999
a,0.363647,0.713612,0.363647,0.713612,"{'att': 244, 'def': 27}","{'att': 370, 'def': 13}",3,1,2,2,0.9160999999999999,d,2023-03-18 17:00:00,0,1,0,1,-0.349965
h,1.29647,0.765574,1.29647,0.765574,"{'att': 275, 'def': 36}","{'att': 313, 'def': 21}",2,7,3,0,1.839,w,2023-04-02 10:30:00,1,0,0,3,0.530896
a,1.48593,1.36434,1.48593,1.36434,"{'att': 273, 'def': 21}","{'att': 322, 'def': 21}",3,14,2,0,1.4304999999999999,w,2023-04-08 14:30:00,1,0,0,3,0.12158999999999986
h,0.76877,1.40673,0.76877,1.40673,"{'att': 220, 'def': 22}","{'att': 250, 'def': 28}",1,10,1,1,0.8513999999999999,d,2023-04-15 13:00:00,0,1,0,1,-0.6379600000000001
a,1.54636,1.58693,1.54636,0.825634,"{'att': 105, 'def': 22}","{'att': 394, 'def': 14}",14,1,1,2,1.2892000000000001,l,2023-04-21 18:45:00,0,0,1,0,0.720726
h,1.94769,2.45408,1.18639,1.69278,"{'att': 203, 'def': 21}","{'att': 313, 'def': 14}",3,12,1,1,0.9472,d,2023-04-30 18:45:00,0,1,0,1,-0.5063899999999999
a,1.83365,1.46309,1.07235,1.46309,"{'att': 118, 'def': 21}","{'att': 342, 'def': 18}",2,4,1,3,1.6549,l,2023-05-04 18:45:00,0,0,1,0,-0.3907400000000001
a,0.293231,0.308471,0.293231,0.308471,"{'att': 277, 'def': 16}","{'att': 364, 'def': 18}",2,7,1,1,1.1905000000000001,d,2023-05-08 18:45:00,0,1,0,1,-0.015239999999999976
h,0.303645,1.35745,0.303645,1.35745,"{'att': 130, 'def': 20}","{'att': 458, 'def': 19}",5,5,0,0,0.4144,d,2023-05-14 16:00:00,0,1,0,1,-1.053805
a,2.89722,0.994736,2.89722,0.994736,"{'att': 225, 'def': 19}","{'att': 449, 'def': 27}",9,5,5,1,2.5433000000000003,w,2023-05-20 13:00:00,1,0,0,3,1.9024839999999998
h,1.9362,2.0181,1.9362,2.0181,"{'att': 316, 'def': 30}","{'att': 362, 'def': 28}",7,7,2,2,1.3104,d,2023-05-28 13:00:00,0,1,0,1,-0.08190000000000008
a,0.775712,1.21291,0.775712,1.21291,"{'att': 195, 'def': 12}","{'att': 391, 'def': 20}",3,3,3,2,0.9613,w,2023-06-04 19:00:00,1,0,0,3,-0.437198
